window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,stock,name,industry,driver_score,driver_share,same_driver_score,cross_driver_score,same_driver_share,cross_driver_share,support_change_score,persistent_change_score,support_change_share,persistent_change_share,support_turnover,driver_rank
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000001,平安银行,银行,0.014060024709076338,0.18932323568893777,0.00028066718487213465,0.013779357524204203,0.019962069105821142,0.9800379308941788,0.0007700973080872577,0.01328992740098908,0.05477211626734393,0.9452278837326561,2,2
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000568,泸州老窖,食品饮料,0.0025603779772278143,0.03447640052314757,0.001792981652495603,0.0007673963247322111,0.7002800635072285,0.29971993649277145,0.0005441136376203088,0.0020162643396075056,0.21251301271128506,0.787486987288715,3,9
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000725,京东方A,电子,0.0036026029076181108,0.048510330065945045,0.002232906636646669,0.0013696962709714422,0.6198037069045095,0.3801962930954907,2.8816196912472605e-05,0.0035737867107056382,0.007998715831694219,0.9920012841683058,1,5
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,000858,五粮液,食品饮料,0.002353276813901313,0.03168770966611051,0.0009751884966494657,0.0013780883172518474,0.41439599918242387,0.585604000817576,6.853696836051911e-05,0.0022847398455407937,0.0291240571256456,0.9708759428743542,3,10
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002415,海康威视,电子,0.0018916657534312432,0.025471952481730935,0.00038156376214123366,0.0015101019912900095,0.20170781304737642,0.7982921869526236,0.00015293523101222182,0.0017387305224190214,0.08084685718648582,0.9191531428135142,2,11
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002460,赣锋锂业,新能源,0.0016640721948753146,0.022407324231116802,0.0,0.0016640721948753146,0.0,1.0,6.746194166583533e-06,0.001657326000708731,0.004054027335688408,0.9959459726643115,1,12
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,002475,立讯精密,电子,0.0028552316666702036,0.038446710369332865,0.0021887354832387453,0.0006664961834314581,0.7665701907093472,0.2334298092906527,0.0006600701207697598,0.002195161545900444,0.23117918187687353,0.7688208181231265,2,8
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600030,中信证券,非银金融,0.003549268517906685,0.04779216353049482,0.00046308502193329363,0.0030861834959733914,0.13047336925818606,0.869526630741814,2.4437822265661664e-05,0.003524830695641023,0.006885312323474131,0.9931146876765259,2,6
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600036,招商银行,银行,0.004313138381455712,0.058077943051139044,0.0003059395454302387,0.004007198836025473,0.0709320031895156,0.9290679968104844,0.0,0.004313138381455712,0.0,1.0,0,4
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600519,贵州茅台,食品饮料,0.003481156004719913,0.04687500430394661,0.0010445325707979449,0.0024366234339219684,0.3000533642794862,0.6999466357205139,0.0003958861633644838,0.003085269841355429,0.11372261479454611,0.886277385205454,1,7
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,600887,伊利股份,食品饮料,0.009137631108289275,0.12304145431810332,0.0005912669205851101,0.008546364187704165,0.06470680568935833,0.9352931943106417,0.0006218934897899503,0.008515737618499324,0.06805850251776904,0.9319414974822308,2,3
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601288,农业银行,银行,0.00016702383238851565,0.002249035335232916,8.510448991385267e-05,8.191934247466298e-05,0.5095350088476616,0.49046499115233844,2.8771464017624648e-06,0.00016414668598675318,0.017225963268941814,0.9827740367310582,1,14
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601318,中国平安,非银金融,0.02297594850105306,0.30937932210273666,0.00046308502193329363,0.022512863479119766,0.020155208039053057,0.979844791960947,2.8771464017624648e-06,0.022973071354651296,0.00012522427100803243,0.9998747757289919,1,1
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,601398,工商银行,银行,0.00010353207689258628,0.0013940962551969806,8.66236144287537e-05,1.690846246383258e-05,0.8366838281301459,0.1633161718698542,0.0,0.00010353207689258628,0.0,1.0,0,15
1,2,2024-01-16,2024-02-21,R1,R1,Within R1,603501,韦尔股份,电子,0.0015497041697217569,0.02086731807682834,0.001548884395467285,8.197742544719407e-07,0.9994710124225715,0.0005289875774284893,8.197742544719407e-07,0.001548884395467285,0.0005289875774284893,0.9994710124225715,1,13
2,3,2024-02-21,2024-03-20,R1,R1,Within R1,000001,平安银行,银行,0.0023350589010692115,0.10378066738736008,0.0015114157212194749,0.0008236431798497369,0.6472709191735615,0.3527290808264386,1.9034946596727446e-05,0.002316023954472484,0.008151805758737581,0.9918481942412624,1,3
