window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,pair_key,stock_i,name_i,industry_i,stock_j,name_j,industry_j,relation,partial_prev,partial_curr,delta_partial,abs_delta_partial,transition_energy,selected_prev,selected_curr,support_change
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600030|600519,600519,贵州茅台,食品饮料,600030,中信证券,非银金融,Cross,0.006973324621194,0.0488159680846868,0.0418426434634928,0.0418426434634928,0.0017508068120129765,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002415|603501,002415,海康威视,电子,603501,韦尔股份,电子,Same,0.1841380267523814,0.1433588364398099,-0.04077919031257149,0.04077919031257149,0.0016629423625489244,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600036|600519,600036,招商银行,银行,600519,贵州茅台,食品饮料,Cross,0.0645962357880494,0.1050690580240513,0.04047282223600189,0.04047282223600189,0.001638049339747009,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000001|600887,000001,平安银行,银行,600887,伊利股份,食品饮料,Cross,0.069489407993757,0.0290972407817136,-0.040392167212043396,0.040392167212043396,0.0016315271720856736,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000725|601318,000725,京东方A,电子,601318,中国平安,非银金融,Cross,0.0861363788767869,0.0490482456271854,-0.03708813324960151,0.03708813324960151,0.001375529627940197,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000858|600519,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,Same,0.3144303932813731,0.2803767062223833,-0.03405368705898981,0.03405368705898981,0.0011596536023116102,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002415|002460,002460,赣锋锂业,新能源,002415,海康威视,电子,Cross,0.1489189814883077,0.1153018600275178,-0.033617121460789906,0.033617121460789906,0.0011301108553095013,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000001|000568,000001,平安银行,银行,000568,泸州老窖,食品饮料,Cross,0.0589664477144474,0.0265715822846278,-0.032394865429819605,0.032394865429819605,0.0010494273062161214,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000001|601288,000001,平安银行,银行,601288,农业银行,银行,Same,0.0614008996656882,0.0933154073977842,0.031914507732096,0.031914507732096,0.0010185358037820152,True,True,Persistent
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000858|002460,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,Cross,0.0378166327596332,0.0062882279277348,-0.0315284048318984,0.0315284048318984,0.0009940403112440744,True,True,Persistent
