analysis_date,window,eligible_stock_count,possible_unordered_pairs,density_fraction,density_percent,approximate_edge_count,approximate_mean_degree,is_primary_density,important_note
2016-04-29,60,2246,2521135,0.01,1.0,25211,22.449688334817452,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-04-29,60,2246,2521135,0.02,2.0,50422,44.899376669634904,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-05-31,60,2265,2563980,0.002,0.2,5127,4.527152317880795,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-05-31,60,2265,2563980,0.005,0.5,12819,11.319205298013244,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-05-31,60,2265,2563980,0.01,1.0,25639,22.639293598233994,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-05-31,60,2265,2563980,0.02,2.0,51279,45.2794701986755,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-06-30,60,2284,2607186,0.002,0.2,5214,4.565674255691769,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-06-30,60,2284,2607186,0.005,0.5,13035,11.414185639229421,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-06-30,60,2284,2607186,0.01,1.0,26071,22.8292469352014,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-06-30,60,2284,2607186,0.02,2.0,52143,45.65936952714536,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-07-29,60,2332,2717946,0.002,0.2,5435,4.661234991423671,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-07-29,60,2332,2717946,0.005,0.5,13589,11.654373927958833,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-07-29,60,2332,2717946,0.01,1.0,27179,23.30960548885077,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-07-29,60,2332,2717946,0.02,2.0,54358,46.61921097770154,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-08-31,60,2409,2900436,0.002,0.2,5800,4.815276048152761,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-08-31,60,2409,2900436,0.005,0.5,14502,12.039850560398506,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-08-31,60,2409,2900436,0.01,1.0,29004,24.07970112079701,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-08-31,60,2409,2900436,0.02,2.0,58008,48.15940224159402,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-09-30,60,2429,2948806,0.002,0.2,5897,4.8554960889254835,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-09-30,60,2429,2948806,0.005,0.5,14744,12.13997529847674,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-09-30,60,2429,2948806,0.01,1.0,29488,24.27995059695348,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-09-30,60,2429,2948806,0.02,2.0,58976,48.55990119390696,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-10-31,60,2451,3002475,0.002,0.2,6004,4.89922480620155,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-10-31,60,2451,3002475,0.005,0.5,15012,12.249694002447981,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-10-31,60,2451,3002475,0.01,1.0,30024,24.499388004895962,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-10-31,60,2451,3002475,0.02,2.0,60049,48.99959200326398,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-11-30,60,2460,3024570,0.002,0.2,6049,4.917886178861789,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-11-30,60,2460,3024570,0.005,0.5,15122,12.294308943089431,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-11-30,60,2460,3024570,0.01,1.0,30245,24.589430894308943,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-11-30,60,2460,3024570,0.02,2.0,60491,49.17967479674797,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-12-30,60,2499,3121251,0.002,0.2,6242,4.995598239295719,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-12-30,60,2499,3121251,0.005,0.5,15606,12.489795918367347,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-12-30,60,2499,3121251,0.01,1.0,31212,24.979591836734695,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-12-30,60,2499,3121251,0.02,2.0,62425,49.95998399359744,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-01-26,60,2537,3216916,0.002,0.2,6433,5.071344107213244,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-01-26,60,2537,3216916,0.005,0.5,16084,12.679542767047694,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-01-26,60,2537,3216916,0.01,1.0,32169,25.35987386677178,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-01-26,60,2537,3216916,0.02,2.0,64338,50.71974773354356,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-02-28,60,2579,3324331,0.002,0.2,6648,5.155486622721985,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-02-28,60,2579,3324331,0.005,0.5,16621,12.889492051182629,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-02-28,60,2579,3324331,0.01,1.0,33243,25.779759596742924,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-02-28,60,2579,3324331,0.02,2.0,66486,51.55951919348585,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-03-31,60,2663,3544453,0.002,0.2,7088,5.323319564401052,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-03-31,60,2663,3544453,0.005,0.5,17722,13.309800976342471,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-03-31,60,2663,3544453,0.01,1.0,35444,26.619601952684942,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-03-31,60,2663,3544453,0.02,2.0,70889,53.2399549380398,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-04-28,60,2696,3632860,0.002,0.2,7265,5.38946587537092,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-04-28,60,2696,3632860,0.005,0.5,18164,13.474777448071217,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-04-28,60,2696,3632860,0.01,1.0,36328,26.949554896142434,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-04-28,60,2696,3632860,0.02,2.0,72657,53.89985163204748,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-05-31,60,2699,3640951,0.002,0.2,7281,5.395331604297888,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-05-31,60,2699,3640951,0.005,0.5,18204,13.489440533530937,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-05-31,60,2699,3640951,0.01,1.0,36409,26.979622082252686,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-05-31,60,2699,3640951,0.02,2.0,72819,53.95998517969618,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-06-30,60,2750,3779875,0.002,0.2,7559,5.497454545454546,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-06-30,60,2750,3779875,0.005,0.5,18899,13.744727272727273,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-06-30,60,2750,3779875,0.01,1.0,37798,27.489454545454546,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-06-30,60,2750,3779875,0.02,2.0,75597,54.97963636363637,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-07-31,60,2783,3871153,0.002,0.2,7742,5.563780093424362,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-07-31,60,2783,3871153,0.005,0.5,19355,13.909450233560905,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-07-31,60,2783,3871153,0.01,1.0,38711,27.819619116061805,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-07-31,60,2783,3871153,0.02,2.0,77423,55.6399568810636,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-08-31,60,2834,4014361,0.002,0.2,8028,5.665490472829922,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-08-31,60,2834,4014361,0.005,0.5,20071,14.164431898376852,False,Approximation only. Step 2 will use the exact common valid pair universe.
2017-08-31,60,2834,4014361,0.01,1.0,40143,28.329569513055752,True,Approximation only. Step 2 will use the exact common valid pair universe.
2017-08-31,60,2834,4014361,0.02,2.0,80287,56.65984474241355,False,Approximation only. Step 2 will use the exact common valid pair universe.
