analysis_date,window,raw_all_mean_corr,residual_all_mean_corr,raw_same_cross_gap,residual_same_cross_gap,raw_top1_same_enrichment,residual_top1_same_enrichment,raw_residual_top1_overlap,raw_residual_top5_overlap,raw_residual_pair_corr,raw_residual_sign_change_share,overall_corr_reduction_fraction,pc1_evr,ew_market_r2_median,pc1_ew_factor_corr
2015-04-30,60,0.2702890276763428,0.0022252559872927,0.0513249753646749,0.0493049452661213,3.2256683148698517,3.954045031130785,0.2929292929292929,0.3921370967741935,0.671736707309756,0.459251045814223,0.9917671242283748,0.2942432247252613,0.2874233639891255,0.9982046626135498
2015-05-29,60,0.3404824908084651,0.0027028244517382,0.0382975023207973,0.0523405911966163,2.321566613406376,4.537607471657917,0.4010152284263959,0.4259634888438134,0.6859181190914524,0.4825837854281803,0.9920617813699598,0.3534149988075321,0.3617135347836932,0.9986936920880588
2015-06-30,60,0.4984604552873918,0.0014937748189653,0.0297041343717963,0.0497498644820921,3.18332316605263,4.456652432473682,0.2842639593908629,0.3932926829268293,0.5848813161371573,0.5069091648039017,0.9970032230177536,0.5063615674788057,0.5292226714067612,0.9996298097239212
2015-07-31,60,0.6402532503919353,0.0086917020355589,0.0250420119939271,0.0428102347918681,1.9902618550220597,2.432542267249184,0.2804232804232804,0.3308668076109937,0.5020092133683217,0.510860948152846,0.9864245874109372,0.6216694342971613,0.6842608260884029,0.9940973140000868
2015-08-31,60,0.6833602716757393,0.0054080853848882,0.0304480786716838,0.0544853212945114,1.7201998878910396,2.1502498598638,0.1534391534391534,0.3195767195767195,0.4642701177545243,0.5178543088398667,0.9920860406888646,0.6625745117356296,0.7336349849832208,0.9932145171431748
2015-09-30,60,0.6962293663284459,0.0026033965928629,0.0323383518677209,0.0491871488585935,1.3494249061777766,2.8026517282153818,0.1658031088082901,0.3212435233160621,0.4215945327792066,0.5227213845276958,0.9962607199311456,0.6782976075366031,0.7496050214604637,0.9918312995583304
2015-10-30,60,0.681399027897547,0.0029393181179382,0.0352855923102027,0.0431212539877779,1.9993051375341304,1.599444110027304,0.1565656565656565,0.2802419354838709,0.4245690556077313,0.5139918317954923,0.995686348237086,0.6859725405621636,0.7252627980291245,0.999827365965584
2015-11-30,60,0.6192271265562017,0.0025454974873406,0.0379412985887371,0.0561478349465837,2.005529828767963,3.609953691782333,0.2222222222222222,0.2973790322580645,0.4257275491567591,0.5125050423557886,0.9958892345341888,0.6287038353168934,0.660974492874276,0.9997185181769987
2015-12-31,60,0.4479059016692389,0.0037146298090994,0.042145615828283,0.062617846209102,3.7715996498060567,4.36711538398596,0.3888888888888889,0.4143145161290322,0.6011465231587114,0.5009076240419524,0.9917066736668216,0.4621731819907154,0.4708465947131568,0.9981436149010402
2016-01-29,60,0.6105924102001996,0.0052190291829934,0.0226491797156355,0.0387534968980411,2.085152515749046,2.4823244235107693,0.3065326633165829,0.3903420523138833,0.5637492103667358,0.5079724359941653,0.9914525154656242,0.6157175411797857,0.6350108721619558,0.9992361453782432
2016-02-29,60,0.6532829867463446,0.0079034544861354,0.0300638704135099,0.0492608434908889,2.291020101574044,3.187506228276931,0.2864321608040201,0.3266331658291457,0.4944667715008268,0.4996983712045043,0.9879019434969548,0.6579054228719788,0.6835630134481749,0.999549484657556
2016-03-31,60,0.6988279067850629,0.0042171750545264,0.023733465608682,0.0499982596184946,2.3008170347319816,2.5008880812304146,0.1909547738693467,0.2796780684104628,0.3976730657320351,0.5054298642533936,0.993965359692163,0.7048398470762445,0.7454007595909665,0.9996370491338644
2016-04-29,60,0.5913314205993551,0.0018583874112708,0.0265681241251991,0.0379886716164072,1.635477252328026,2.044346565410033,0.1658291457286432,0.2678751258811682,0.4084179032627522,0.5118621870750013,0.9968572828256154,0.6040354827744735,0.6350783635936277,0.9995590417497892
2016-05-31,60,0.5211513733120114,0.001781373585757,0.0242045640811739,0.0418420844996034,2.0418246027130995,2.5522807533913743,0.1666666666666666,0.2731854838709677,0.4367868840057441,0.5154005141906538,0.9965818499634068,0.5364577620672134,0.555914128528007,0.9994610253887952
2016-06-30,60,0.4904900389390022,0.0052628648566858,0.0290247176331108,0.0413842364266658,2.6261255162181376,2.929139998858692,0.1909547738693467,0.2809667673716012,0.4732210625211928,0.4986650546571961,0.9892701901386824,0.5072813731261026,0.5209486888275097,0.998587096282914
