analysis_date,window,density_fraction,degree_spearman_raw_residual,strength_spearman_raw_residual,median_abs_degree_percentile_change,p90_abs_degree_percentile_change,median_abs_strength_percentile_change,p90_abs_strength_percentile_change,top1pct_degree_hub_overlap,top1pct_degree_hub_jaccard,top1pct_strength_hub_overlap,top1pct_strength_hub_jaccard,top5pct_degree_hub_overlap,top5pct_degree_hub_jaccard,top5pct_strength_hub_overlap,top5pct_strength_hub_jaccard
2015-04-30,60,0.01,0.31204809619649976,0.32283848649556873,0.22604113817214966,0.5600098967552185,0.22428500652313232,0.5549423694610596,0.0,0.0,0.0,0.0,0.06,0.030927835051546393,0.07,0.03626943005181347
2015-05-29,60,0.01,0.36736035456887817,0.37931447500967225,0.22178684175014496,0.5446708798408508,0.22100314497947693,0.5394460558891296,0.1,0.05263157894736842,0.15,0.08108108108108109,0.1875,0.10344827586206896,0.1875,0.10344827586206896
2015-06-30,60,0.01,0.23735822462592157,0.24858412676422728,0.23390677571296692,0.604606032371521,0.23335182666778564,0.5976136922836304,0.0,0.0,0.0,0.0,0.02197802197802198,0.011111111111111112,0.02197802197802198,0.011111111111111112
2015-07-31,60,0.01,0.21196574947684585,0.2195107602724244,0.2340966761112213,0.6172390580177307,0.23711830377578735,0.6099235415458679,0.0,0.0,0.0,0.0,0.06329113924050633,0.032679738562091505,0.06329113924050633,0.032679738562091505
2015-08-31,60,0.01,0.13915741779295143,0.14663323709127324,0.24528875946998596,0.634650468826294,0.24620062112808228,0.6364741325378418,0.0,0.0,0.0,0.0,0.012048192771084338,0.006060606060606061,0.012048192771084338,0.006060606060606061
2015-09-30,60,0.01,0.17603143270172233,0.1792071033586808,0.24081403017044067,0.6233463883399963,0.24137932062149048,0.6201242208480835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-30,60,0.01,0.11425767306659641,0.11727435244835284,0.2516564726829529,0.6609836220741272,0.2515290379524231,0.6599387526512146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-30,60,0.01,0.1685954625971927,0.17859985098009168,0.25012272596359253,0.6306331157684326,0.25331372022628784,0.6229256987571716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,60,0.01,0.5032892419055542,0.5104421569551041,0.15738558769226074,0.49306273460388184,0.16139686107635498,0.4856535494327545,0.18181818181818182,0.1,0.13636363636363635,0.07317073170731707,0.2169811320754717,0.12169312169312169,0.19811320754716982,0.1099476439790576
2016-01-29,60,0.01,0.4762331525434296,0.4802399704129066,0.17348796129226685,0.49408820271492004,0.17348796129226685,0.4906775653362274,0.09090909090909091,0.047619047619047616,0.09090909090909091,0.047619047619047616,0.20909090909090908,0.116751269035533,0.20909090909090908,0.116751269035533
