analysis_date,window,density_fraction,network_id,n_nodes,n_edges,realized_density,isolated_node_count,isolated_node_share,n_connected_components,giant_component_size,giant_component_share,second_largest_component_size,second_largest_component_share,degree_mean,degree_median,degree_std,degree_cv,degree_p90,degree_p95,degree_p99,degree_max,degree_gini,degree_hhi,top1pct_degree_share,top5pct_degree_share,strength_mean,strength_median,strength_std,strength_cv,strength_p95,strength_p99,strength_max,strength_gini,strength_hhi,top1pct_strength_share,top5pct_strength_share,degree_assortativity,triangle_count,transitivity,mean_local_clustering,mean_local_clustering_degree_ge2
2015-04-30,60,0.01,B0_RAW_POSITIVE,1993,19683,0.00991572914840496,367,0.18414450577019567,382,1594,0.7997992975413949,5,0.002508780732563974,19.75213246362268,6.0,34.03542584517098,1.7231266501403688,55.799999999999955,88.79999999999973,174.0,289,0.7057238311022991,0.001991553162279964,0.10458263476096123,0.3507087334247828,13.238340182215858,4.4463114738464355,22.953162431363967,1.7338399010322172,59.53954527378077,116.84938343763346,198.4708161354065,0.7069114752444803,0.002010135876774415,0.10604447288682661,0.3530413649771844,0.15047386948966465,153812.0,0.30288804256643126,0.27638939684976105,0.3860154645561134
2015-05-29,60,0.01,B0_RAW_POSITIVE,1914,18070,0.00987032026922432,357,0.1865203761755486,362,1548,0.8087774294670846,3,0.001567398119122257,18.88192267502612,6.0,31.262291747911473,1.655673115813574,54.0,81.0,153.21999999999935,293,0.6924203391085058,0.001954677882146201,0.10553403431101273,0.33281682346430547,13.179669428208031,4.247635900974274,21.97270791915458,1.6671668465467795,56.435491997003545,107.52700429141487,207.5783302783966,0.6938815994568739,0.0019746318151644374,0.10719099056473973,0.335173513350753,0.10774665870486935,115308.0,0.274884936174541,0.2601874730224892,0.361654918928863
2015-06-30,60,0.01,B0_RAW_POSITIVE,1802,15971,0.009842232179557417,469,0.2602663706992231,485,1295,0.718645948945616,6,0.003329633740288568,17.725860155382907,4.0,32.72976982682861,1.8464418392068485,51.0,84.0,164.99,280,0.7369599074237705,0.002446918682338274,0.12049965562582181,0.37292592824494397,14.028151494416756,3.1792299449443817,25.98722794104592,1.8525055101799341,66.5918890416622,131.3966881799698,224.07906407117844,0.7377520642393218,0.0024593655190050046,0.12137561664644096,0.3738912099623548,0.04882490222730652,121546.0,0.29589698729382286,0.28582126004732344,0.44554490536788655
2015-07-31,60,0.01,B0_RAW_POSITIVE,1572,11651,0.009435490271346268,529,0.33651399491094147,546,1004,0.638676844783715,5,0.0031806615776081423,14.823155216284988,3.0,27.54751663013126,1.8584111296269135,49.0,79.0,130.28999999999996,201,0.7561996010782635,0.0028331373579651275,0.10368208737447429,0.3753325894772981,13.138370064454527,2.6501033008098602,24.452751225669232,1.861170838217248,70.6981377750635,115.5362254542112,179.17363786697388,0.7565719903105783,0.0028396672322075663,0.10400424250214904,0.37609739174706314,0.15653076230826185,88323.0,0.34978390066559123,0.2746553602807178,0.4802649903907546
2015-08-31,60,0.01,B0_RAW_POSITIVE,1645,12766,0.009440980927236556,566,0.34407294832826746,581,1030,0.6261398176291794,14,0.00851063829787234,15.520972644376899,2.0,31.249603294199503,2.0133791876452367,49.0,80.79999999999995,153.79999999999973,261,0.7730137566208113,0.003072155473096044,0.1330878897070343,0.40674447751840825,14.191818454780115,1.888053297996521,28.639529172971105,2.018030970747423,73.84675675630565,140.7026578879354,240.41234856843948,0.7734066248461742,0.003083555622429049,0.13374599619578892,0.40765796870902676,0.04709473911111483,118175.0,0.3586215337803732,0.30154470179689064,0.5277032281445586
2015-09-30,60,0.01,B0_RAW_POSITIVE,1769,15090,0.00964959623889561,625,0.35330695308083665,650,1087,0.614471452798191,4,0.0022611644997173543,17.06048615036744,2.0,34.36694324500802,2.0144175811934786,57.0,87.59999999999991,153.27999999999975,291,0.7785223087703288,0.002859173652584164,0.1294565937707091,0.39850894632206757,15.802230995209491,1.8814141154289246,31.90554890952886,2.019053443732164,81.02008975744239,142.3133831429479,270.99201279878616,0.7789725687172999,0.0028697438149500906,0.1300330016822609,0.3994582334394582,0.03839913891422249,158257.0,0.36889055681945326,0.3008442852093847,0.5408470940400423
2015-10-30,60,0.01,B0_RAW_POSITIVE,1962,19104,0.00993065074768381,683,0.34811416921508664,707,1222,0.6228338430173292,7,0.003567787971457696,19.474006116207953,3.0,41.589268630196685,2.1356298432905647,58.90000000000009,108.0,220.38999999999987,386,0.7929318323267716,0.0028343092902921923,0.13300879396984924,0.4383898659966499,17.682342989911362,2.689079701900482,37.87241127004553,2.1418208713434406,98.05582157969472,200.77888444304446,353.7476033568382,0.7934468350908896,0.0028478066487881626,0.1337444407230989,0.4397336431351664,-0.023169980607133184,253484.0,0.37100087767614387,0.29794011556685607,0.5382675016042096
2015-11-30,60,0.01,B0_RAW_POSITIVE,2037,20591,0.009929757251167739,740,0.3632793323514973,759,1252,0.6146293568973982,5,0.002454590083456063,20.216985763377515,2.0,42.81222539469583,2.117636421956083,64.0,99.19999999999982,223.91999999999962,380,0.7908606042451927,0.002692382923708866,0.1393570006313438,0.4236316837453256,17.731605860551433,1.7634093165397644,37.68389309472256,2.1252385932263573,87.04766484498965,197.21194873094532,337.0298135280609,0.7914406467660837,0.0027082175150411137,0.14029457698877426,0.4251001273539282,-0.04096069321551435,268755.0,0.3563614810571706,0.30284225039859175,0.5542584582766679
2015-12-31,60,0.01,B0_RAW_POSITIVE,2119,22259,0.009919247636274348,642,0.3029731005191128,662,1434,0.6767343086361491,3,0.001415762151958471,21.00896649362907,4.0,39.18653030634422,1.8652288449423469,64.20000000000005,96.0,194.64000000000033,364,0.7503474741280529,0.002113770006609231,0.12060290219686419,0.36843523967833236,16.514092494092385,3.07180917263031,30.94684663686725,1.873965926249833,76.09740819334978,155.0490942454339,289.6121609210968,0.7515659426932639,0.0021291874906773918,0.12184312004784191,0.36987130839526766,0.03401135834609029,241656.0,0.3498321455404566,0.30738516724911447,0.5057058768640322
2016-01-29,60,0.01,B0_RAW_POSITIVE,2199,24016,0.009937513991180539,893,0.406093678944975,905,1278,0.5811732605729877,5,0.002273760800363802,21.842655752614824,2.0,44.77842757027535,2.050045016385649,71.0,120.0,223.01999999999998,337,0.7950112991217919,0.0023659320460243916,0.11846269153897401,0.4121627248500999,19.018922364944867,1.712697148323059,39.10738219511244,2.056235439879288,104.45800365805619,194.77475296139713,296.5501573085785,0.7956044384216672,0.0023774916708574675,0.11930170093834999,0.4136235452063387,0.07086510730917131,375486.0,0.41640885813957185,0.28691654025871893,0.5553956619972913
