analysis_date,window,isolated_node_share_raw,n_connected_components_raw,giant_component_share_raw,degree_cv_raw,degree_gini_raw,degree_hhi_raw,top1pct_degree_share_raw,top5pct_degree_share_raw,strength_cv_raw,strength_gini_raw,strength_hhi_raw,top1pct_strength_share_raw,top5pct_strength_share_raw,degree_assortativity_raw,transitivity_raw,mean_local_clustering_raw,isolated_node_share_residual,n_connected_components_residual,giant_component_share_residual,degree_cv_residual,degree_gini_residual,degree_hhi_residual,top1pct_degree_share_residual,top5pct_degree_share_residual,strength_cv_residual,strength_gini_residual,strength_hhi_residual,top1pct_strength_share_residual,top5pct_strength_share_residual,degree_assortativity_residual,transitivity_residual,mean_local_clustering_residual,isolated_node_share_residual_minus_raw,n_connected_components_residual_minus_raw,giant_component_share_residual_minus_raw,degree_cv_residual_minus_raw,degree_gini_residual_minus_raw,degree_hhi_residual_minus_raw,top1pct_degree_share_residual_minus_raw,top5pct_degree_share_residual_minus_raw,strength_cv_residual_minus_raw,strength_gini_residual_minus_raw,strength_hhi_residual_minus_raw,top1pct_strength_share_residual_minus_raw,top5pct_strength_share_residual_minus_raw,degree_assortativity_residual_minus_raw,transitivity_residual_minus_raw,mean_local_clustering_residual_minus_raw
2015-04-30,60,0.18414450577019567,382,0.7997992975413949,1.7231266501403688,0.7057238311022991,0.001991553162279964,0.10458263476096123,0.3507087334247828,1.7338399010322172,0.7069114752444803,0.002010135876774415,0.10604447288682661,0.3530413649771844,0.15047386948966465,0.30288804256643126,0.27638939684976105,0.0035122930255895636,8,0.9964877069744105,0.9689274922845325,0.45545572690924363,0.0009728150954865992,0.056241426611796985,0.20888584057308338,1.041773916659596,0.4775780470112494,0.0010463085265590944,0.060874996503987304,0.22442311603578785,0.5387308700436553,0.3012693197328952,0.1951584853107255,-0.1806322127446061,-374,0.19668840943301558,-0.7541991578558364,-0.25026810419305545,-0.0010187380667933646,-0.04834120814916425,-0.14182289285169944,-0.6920659843726211,-0.22933342823323088,-0.0009638273502153205,-0.04516947638283931,-0.12861824894139656,0.3882570005539906,-0.0016187228335360349,-0.08123091153903556
2015-05-29,60,0.1865203761755486,362,0.8087774294670846,1.655673115813574,0.6924203391085058,0.001954677882146201,0.10553403431101273,0.33281682346430547,1.6671668465467795,0.6938815994568739,0.0019746318151644374,0.10719099056473973,0.335173513350753,0.10774665870486935,0.274884936174541,0.2601874730224892,0.008359456635318705,17,0.9916405433646813,1.1320562791675333,0.5163559338205828,0.0011920331343796445,0.06707249584947426,0.23793580520199226,1.2033925663237945,0.5367220888071025,0.001279077151872188,0.07190785587753439,0.2527034214592024,0.49573234031773844,0.3236496678664943,0.19401499171718797,-0.1781609195402299,-345,0.18286311389759669,-0.5236168366460408,-0.176064405287923,-0.0007626447477665564,-0.038461538461538464,-0.09488101826231321,-0.46377428022298495,-0.1571595106497714,-0.0006955546632922494,-0.03528313468720534,-0.08247009189155063,0.38798568161286906,0.04876473169195328,-0.0661724813053012
2015-06-30,60,0.2602663706992231,485,0.718645948945616,1.8464418392068485,0.7369599074237705,0.002446918682338274,0.12049965562582181,0.37292592824494397,1.8525055101799341,0.7377520642393218,0.0024593655190050046,0.12137561664644096,0.3738912099623548,0.04882490222730652,0.29589698729382286,0.28582126004732344,0.01220865704772475,23,0.9877913429522752,1.1347917142209873,0.5258901209051838,0.001269562838326641,0.06624506918790307,0.2357397783482562,1.2208264651130016,0.5486115890280197,0.0013820295548947323,0.07283713283726939,0.25434880524361314,0.5214011521405175,0.35379323118423406,0.20629812402723252,-0.24805771365149834,-462,0.26914539400665927,-0.7116501249858611,-0.21106978651858666,-0.001177355844011633,-0.054254586437918736,-0.13718614989668776,-0.6316790450669325,-0.18914047521130217,-0.0010773359641102723,-0.04853848380917157,-0.11954240471874167,0.472576249913211,0.0578962438904112,-0.07952313602009092
2015-07-31,60,0.33651399491094147,546,0.638676844783715,1.8584111296269135,0.7561996010782635,0.0028331373579651275,0.10368208737447429,0.3753325894772981,1.861170838217248,0.7565719903105783,0.0028396672322075663,0.10400424250214904,0.37609739174706314,0.15653076230826185,0.34978390066559123,0.2746553602807178,0.12595419847328243,212,0.8562340966921119,1.5857608614969805,0.6861192882132015,0.0022357744973636423,0.08067976997682602,0.31804136983949877,1.6397729315904748,0.697434331157718,0.002346600042733346,0.08457738314431901,0.3310258985250563,0.5531068596451317,0.4758836502654772,0.26409218097634857,-0.21055979643765904,-334,0.21755725190839692,-0.272650268129933,-0.070080312865062,-0.0005973628606014852,-0.02300231739764827,-0.05729121963779932,-0.22139790662677328,-0.05913765915286029,-0.0004930671894742204,-0.019426859357830034,-0.04507149322200682,0.3965760973368699,0.12609974959988596,-0.01056317930436923
2015-08-31,60,0.34407294832826746,581,0.6261398176291794,2.0133791876452367,0.7730137566208113,0.003072155473096044,0.1330878897070343,0.40674447751840825,2.018030970747423,0.7734066248461742,0.003083555622429049,0.13374599619578892,0.40765796870902676,0.04709473911111483,0.3586215337803732,0.30154470179689064,0.11063829787234042,193,0.8759878419452888,1.6267908710982717,0.6825722009498063,0.002216686041512871,0.08491305028983237,0.3335813880620398,1.6673314558969712,0.6916726168771574,0.0022978688047559353,0.0875264110857637,0.3430120904175365,0.5874071688563012,0.48623870015104037,0.2848047312952392,-0.23343465045592704,-388,0.24984802431610942,-0.386588316546965,-0.09044155567100498,-0.000855469431583173,-0.04817483941720194,-0.07316308945636846,-0.3506995148504517,-0.08173400796901675,-0.0007856868176731135,-0.04621958511002522,-0.06464587829149027,0.5403124297451863,0.12761716637066717,-0.016739970501651436
2015-09-30,60,0.35330695308083665,650,0.614471452798191,2.0144175811934786,0.7785223087703288,0.002859173652584164,0.1294565937707091,0.39850894632206757,2.019053443732164,0.7789725687172999,0.0028697438149500906,0.1300330016822609,0.3994582334394582,0.03839913891422249,0.36889055681945326,0.3008442852093847,0.13566986998304126,264,0.8343697003957038,1.7045303884838947,0.7101837814267586,0.002207701438815747,0.08840291583830351,0.3474155069582505,1.749690358245833,0.7193239090611954,0.0022958826171500454,0.09211250271980839,0.35672635134207503,0.5446148853176942,0.5315363620115658,0.29095693723450333,-0.2176370830977954,-386,0.21989824759751275,-0.30988719270958387,-0.06833852734357015,-0.0006514722137684168,-0.04105367793240558,-0.05109343936381705,-0.2693630854863309,-0.05964865965610455,-0.0005738611978000452,-0.037920498962452504,-0.042731882097383156,0.5062157464034717,0.16264580519211258,-0.009887347974881389
2015-10-30,60,0.34811416921508664,707,0.6228338430173292,2.1356298432905647,0.7929318323267716,0.0028343092902921923,0.13300879396984924,0.4383898659966499,2.1418208713434406,0.7934468350908896,0.0028478066487881626,0.1337444407230989,0.4397336431351664,-0.023169980607133184,0.37100087767614387,0.29794011556685607,0.10244648318042814,209,0.8899082568807339,1.7041279441575714,0.7013110382869154,0.0019898328491634613,0.08809673366834171,0.34840871021775544,1.766079357282249,0.7132406746290385,0.0020994068788065656,0.09310350931038479,0.36288882142054335,0.588950090238608,0.5421795181277672,0.27276123749809034,-0.2456676860346585,-498,0.2670744138634047,-0.4315018991329933,-0.09162079403985612,-0.000844476441128731,-0.04491206030150753,-0.08998115577889448,-0.3757415140611915,-0.08020616046185114,-0.000748399769981597,-0.04064093141271412,-0.07684482171462304,0.6121200708457412,0.17117864045162334,-0.02517887806876573
2015-11-30,60,0.3632793323514973,759,0.6146293568973982,2.117636421956083,0.7908606042451927,0.002692382923708866,0.1393570006313438,0.4236316837453256,2.1252385932263573,0.7914406467660837,0.0027082175150411137,0.14029457698877426,0.4251001273539282,-0.04096069321551435,0.3563614810571706,0.30284225039859175,0.042709867452135494,88,0.9572901325478645,1.3996110123912082,0.6222158295514335,0.0014525827128162704,0.07461997960273906,0.2778883978437181,1.480551403878323,0.6398263300347355,0.001567026244244513,0.08179021459597395,0.29771444158197785,0.5239915670918551,0.4969772979471056,0.27502764806038066,-0.3205694648993618,-671,0.3426607756504664,-0.7180254095648748,-0.16864477469375916,-0.0012398002108925956,-0.06473702102860474,-0.1457432859016075,-0.6446871893480344,-0.15161431673134818,-0.0011411912707966006,-0.05850436239280031,-0.12738568577195036,0.5649522603073694,0.14061581688993502,-0.027814602338211092
2015-12-31,60,0.3029731005191128,662,0.6767343086361491,1.8652288449423469,0.7503474741280529,0.002113770006609231,0.12060290219686419,0.36843523967833236,1.873965926249833,0.7515659426932639,0.0021291874906773918,0.12184312004784191,0.36987130839526766,0.03401135834609029,0.3498321455404566,0.30738516724911447,0.042000943841434636,91,0.9570552147239264,1.4773903335500458,0.6492391971890581,0.0015019736657230368,0.07560986567231233,0.2930275394222562,1.5532382608699993,0.6670735988526817,0.001610452616814752,0.07963716229047928,0.31206277071879457,0.4846383216881932,0.5068045121500376,0.2677363843353398,-0.26097215667767815,-571,0.28032090608777727,-0.3878385113923011,-0.10110827693899482,-0.0006117963408861942,-0.04499303652455186,-0.07540770025607618,-0.32072766537983366,-0.08449234384058224,-0.0005187348738626399,-0.04220595775736263,-0.05780853767647309,0.45062696334210295,0.15697236660958103,-0.03964878291377466
2016-01-29,60,0.406093678944975,905,0.5811732605729877,2.050045016385649,0.7950112991217919,0.0023659320460243916,0.11846269153897401,0.4121627248500999,2.056235439879288,0.7956044384216672,0.0023774916708574675,0.11930170093834999,0.4136235452063387,0.07086510730917131,0.41640885813957185,0.28691654025871893,0.05911778080945884,140,0.9308776716689404,1.5095014862011538,0.6651590504011422,0.0014909480385827613,0.07967604930046636,0.2926590606262492,1.5557110079079624,0.6773041216529709,0.0015553600455325187,0.08116569866235883,0.3024555772933958,0.4200478607776609,0.45598453162343067,0.2682955256273605,-0.34697589813551616,-765,0.34970441109595274,-0.5405435301844954,-0.1298522487206497,-0.0008749840074416303,-0.038786642238507654,-0.11950366422385073,-0.5005244319713258,-0.11830031676869623,-0.0008221316253249488,-0.03813600227599116,-0.11116796791294292,0.3491827534684896,0.03957567348385882,-0.018621014631358457
