window,network_id,n_nodes_mean,n_nodes_median,n_edges_mean,n_edges_median,isolated_node_share_mean,isolated_node_share_median,n_connected_components_mean,n_connected_components_median,giant_component_share_mean,giant_component_share_median,second_largest_component_share_mean,second_largest_component_share_median,degree_median_mean,degree_median_median,degree_cv_mean,degree_cv_median,degree_p95_mean,degree_p95_median,degree_p99_mean,degree_p99_median,degree_max_mean,degree_max_median,degree_gini_mean,degree_gini_median,degree_hhi_mean,degree_hhi_median,top1pct_degree_share_mean,top1pct_degree_share_median,top5pct_degree_share_mean,top5pct_degree_share_median,strength_median_mean,strength_median_median,strength_cv_mean,strength_cv_median,strength_p95_mean,strength_p95_median,strength_p99_mean,strength_p99_median,strength_max_mean,strength_max_median,strength_gini_mean,strength_gini_median,strength_hhi_mean,strength_hhi_median,top1pct_strength_share_mean,top1pct_strength_share_median,top5pct_strength_share_mean,top5pct_strength_share_median,degree_assortativity_mean,degree_assortativity_median,transitivity_mean,transitivity_median,mean_local_clustering_mean,mean_local_clustering_median
60,B0_RAW_POSITIVE,3903.8115942028985,4017.0,81888.51449275362,80650.5,0.3049115069826278,0.31775072310014674,1179.4492753623188,1081.0,0.6735938292795923,0.6600934490626799,0.0024497411571834066,0.0015769776801548565,5.695652173913044,4.0,2.0429378396633195,2.0824963217344186,222.12789855072452,224.79999999999973,379.41485507246375,384.645,570.7536231884058,587.0,0.7838841594498992,0.7929103003372915,0.0015006788099719906,0.001356597279496381,0.11634375197771626,0.12022596927149468,0.41236532697447326,0.4203489640189958,3.8131751643790714,2.760990172624588,2.0596601010989177,2.099668160285593,166.8084709101936,157.0454873770472,288.57610188448126,272.9514314982297,437.6881067310122,431.1351460814476,0.7857255648328694,0.793944014812893,0.0015187944610654531,0.0013739753333536777,0.11842870508572477,0.12160936834714144,0.4164015227343267,0.4225751378251221,0.10623067082347525,0.09404064989272459,0.4250402561013191,0.42287183761665303,0.3119102225352848,0.30448029622966877
60,M1_RESIDUAL_POSITIVE,3903.8115942028985,4017.0,81888.51449275362,80650.5,0.020224653870594623,0.00426123123890131,87.92753623188406,17.0,0.9780732770860989,0.9957387687610987,0.000399248289347126,0.00030320322696110485,23.347826086956523,24.0,1.0905665209008069,1.0482430592632783,133.08659420289848,126.0,203.39934782608694,195.3449999999998,286.57971014492756,275.5,0.5140863761424542,0.5104206761942546,0.000641944228257525,0.0005315124789544477,0.05911954996314261,0.05698721514527012,0.22415180871693532,0.21385834309327884,11.071729470314324,11.607997074723244,1.1440363481766989,1.0970381769062958,70.40890647337054,62.97424705028533,110.79390008354096,97.57043869972213,159.14693135541418,146.25226178765297,0.5298714565773275,0.5228376458716347,0.0006775140010441003,0.0005651755132957668,0.0632865415738278,0.060870362131757415,0.2357614454740386,0.22437300065378288,0.4520611343625777,0.46348811147312907,0.37544938090277735,0.37020144661540566,0.27390496432138417,0.2666783584664085
120,B0_RAW_POSITIVE,3875.4518518518516,3971.0,80907.19259259259,78728.0,0.3233449843486606,0.3619986403806934,1221.888888888889,1134.0,0.6577706977381182,0.6180469715698393,0.0026744790407957912,0.0016339869281045752,5.5777777777777775,3.0,2.121300411983512,2.2089033457359686,216.92703703703694,216.09999999999945,397.7597037037037,400.90000000000055,651.3629629629629,670.0,0.7917541606934039,0.8087039930277045,0.0016411948747631327,0.0013459550206428804,0.12729741086236235,0.13273786010036723,0.4311244210097594,0.4479770181537273,3.401808782749706,2.0689387917518616,2.1405548756585797,2.221960698365109,150.68246406751643,138.72254046201704,280.75080208344804,260.9583788377047,465.6739231396605,456.18162965774536,0.7936040036400267,0.8097126644561552,0.0016631862413813594,0.0013627410867106517,0.1297762027619667,0.13452683816566408,0.4354093548163797,0.4513102047270916,0.010047954264864725,-0.021945124046872034,0.42079801023252894,0.41538526233872036,0.3491269673664494,0.3411146006763655
120,M1_RESIDUAL_POSITIVE,3875.4518518518516,3971.0,80907.19259259259,78728.0,0.04360366182261572,0.023015873015873017,167.98518518518517,91.0,0.9523459614250723,0.976984126984127,0.0006084983320583741,0.0004116920543433512,20.248148148148147,22.0,1.2438981036893573,1.1648787732054755,142.90222222222218,141.04999999999973,221.30140740740734,215.51999999999953,319.74074074074076,304.0,0.5770664619080108,0.5654279614959608,0.000783906493975141,0.0005864350627503373,0.0665964402783281,0.06392315400297156,0.2503955768073116,0.23561239921270016,7.964500532106117,8.17145386338234,1.3134075954287743,1.2243218539601908,64.09478001784393,61.484247237443874,102.77635786818573,95.0657803565262,151.48562624631106,134.97060623764992,0.5956811481083802,0.5831595218101033,0.0008400105103308684,0.0006308952897923349,0.07212413626840845,0.07065084812201929,0.26598155045585037,0.2503485330950487,0.42061074272973425,0.43459466382575246,0.41475014631638,0.4206975335371236,0.2991417203288832,0.2931606105823442
252,B0_RAW_POSITIVE,3779.9147286821703,3829.0,77488.30232558139,73235.0,0.3132828310151008,0.3467629897193665,1138.9767441860465,1076.0,0.6688613101814235,0.6304529035843289,0.002399637231710024,0.0013864131511190335,6.496124031007752,3.0,2.13408714103529,2.26367083794778,197.88255813953475,197.0,398.37480620155026,382.8000000000002,726.2945736434109,733.0,0.7843675509566176,0.8094373269341251,0.0017419619136431318,0.0013258204874189805,0.13613310363359515,0.138603329273244,0.433586153975374,0.4591060573332922,3.7173246820998744,2.217466354370117,2.1525396961373087,2.2669566888547066,126.43488051282567,119.20111238360403,258.3030631649956,241.88425999403177,479.0607258072195,469.7684038281441,0.7859947960644686,0.8106723216187028,0.0017642115435459393,0.0013526753270318404,0.138539045300542,0.1409601500423845,0.43709711396981926,0.4626042992092296,-0.05140112388559981,-0.046617908866176,0.401872886126773,0.3997757380064661,0.39467392741084084,0.38290835222697633
252,M1_RESIDUAL_POSITIVE,3779.9147286821703,3829.0,77488.30232558139,73235.0,0.08946018859240272,0.07017543859649122,320.7596899224806,281.0,0.9039359086475828,0.9274650547789951,0.0009985573654957586,0.0006523157208088715,17.344961240310077,19.0,1.362597323806092,1.2942477350085237,145.2507751937984,145.0,228.20379844961232,228.1399999999976,331.5813953488372,309.0,0.6294806267165698,0.6158487552005545,0.0009284928279379199,0.0006588872212904579,0.07185776246860541,0.06858644085089018,0.26884212192875606,0.25577980269598616,5.854775316782238,5.875019744038582,1.4429686272980604,1.3898160906522148,56.335202080305905,52.1871180295944,91.78552785156077,84.35008013397464,135.75171227626097,115.45415988564491,0.6485920679569323,0.6413872935497316,0.001004542980198086,0.0007165778184669945,0.07850677240135596,0.07594010815907136,0.28764813683434715,0.2783430913126018,0.40226091711388823,0.42206372882631227,0.4591521084161392,0.4530793720111359,0.3442537329105434,0.3474290433699895
