analysis_date,universe_n,adv20_n,adv20_mean,adv20_p01,adv20_p05,adv20_p10,adv20_p25,adv20_p50,adv20_p75,adv20_p90,adv20_p95,adv20_p99,adv60_n,adv60_mean,adv60_p01,adv60_p05,adv60_p10,adv60_p25,adv60_p50,adv60_p75,adv60_p90,adv60_p95,adv60_p99
2017-09-29,2978,2978,166957794.48510194,15391813.55390541,22488024.281000026,28197776.875,43248877.298749164,82360067.07499999,170478308.9238751,362978753.3987003,588864983.7113231,1508428756.8373206,2972,162818184.5679574,15826228.94667532,23134794.95250794,28176476.86776675,42691218.42754179,78076536.38800004,161602642.66066664,362748160.86500007,598749844.8291665,1363932960.8609998
2017-10-31,3029,3029,138841782.23575768,11240974.450020216,18622611.509000093,24029536.088400267,37774728.997499846,71078064.80849953,144504271.5,290905227.61740035,452614851.3090002,1134397742.080077,3020,158620362.38584664,15867613.302084988,23697321.00154997,29227889.999999646,43889663.90416667,79742107.32650019,164988670.15508437,339613314.86666644,543647334.2499493,1250959020.9542713
2017-11-30,3062,3062,153533770.89253235,10068361.157859916,14788742.3475,18476251.176300004,29712679.09625034,58811022.29299927,134351267.66400033,307738266.8297,559315694.5252514,1621991715.599499,3054,156828342.69736278,15248396.068603167,21643837.22584166,27145916.061666667,41864305.69508335,76974265.07116711,157920883.75416666,317989257.9027337,515624878.1969489,1378998315.2964947
2017-12-29,3110,3110,111041939.29251526,6514597.043430072,10301342.619199695,12820547.84665001,20755835.079000283,41854103.44950028,98611259.03312454,238049006.75679716,411343173.5120184,1060504544.2088398,3102,136777096.14373785,11433526.920666615,16723406.689641636,20201206.034666874,32606012.63524984,61671367.254666775,131332802.4925834,280905951.55646676,447504882.539875,1321850514.8689888
2018-01-31,3149,3149,154358178.50829387,7619971.759680107,12787114.094100265,16232441.964200135,26174341.59850006,52908603.25,129866875.40050659,333664290.10879993,538846576.1340002,1743620879.2359998,3140,140277791.40365738,9994084.85663831,13980000.434166666,17564225.500316646,28101284.54629062,54870827.41466828,126330714.232875,289872684.8873019,490116650.8983327,1385336743.313169
2018-02-28,3134,3134,133767973.1554625,5863910.3761701435,10613582.59502487,13048023.675,21878949.325,44096431.32150097,102994651.16962223,266072868.0876507,507991768.00314975,1576000555.8335013,3129,133122024.89261803,8429533.925333334,12315306.366666667,15521124.427533468,24701352.366666667,48744157.80383301,117910131.5,271174683.02510023,484339148.1433328,1417629993.6773303
2018-03-30,3130,3130,138624516.7187315,7550149.2265600925,14346176.001725081,18112785.129849512,30636731.374625012,61489847.67524882,139744435.60150018,306119074.15034956,461647788.37713,1327526395.44415,3126,142959159.8014317,9482289.556291485,14341025.374041652,17838266.411499787,28901238.054166667,57885814.990166605,132813099.29704374,301547138.1666666,474021585.5725029,1491282553.1698751
2018-04-27,3138,3138,136147177.34528998,7261592.733561081,13145427.320899183,17446673.263599854,29384689.463000108,60890181.66775169,141322881.89237517,301523566.045997,469353603.5407509,1178065612.2462938,3135,137866701.87362036,10271558.944933148,14839712.51238322,18367104.51339994,30644942.335416667,59598539.22333323,131981470.78491643,295743972.6547,467835795.2366666,1337457130.9693475
2018-05-31,3168,3168,118802876.66901878,6528463.232035644,11593443.181149941,15700836.652499657,28688729.559875205,60275211.7300003,129839017.41075154,259512079.72600085,407172355.51749945,940719393.9039993,3168,132735114.43980059,9860810.393166667,14889732.86255839,19539255.083333336,32672262.460125208,66154190.66558336,139772700.5863336,296753898.63500017,437582834.67299086,1135418113.7788332
2018-06-29,3172,3172,98282506.35547303,5228211.417719757,8918327.314575272,11546050.667052118,20975120.273501206,44015265.125,97738813.11149979,222867178.7390006,343384548.6344999,820547215.5539999,3170,119003231.22664826,8264520.562500175,12693051.083366662,16702230.242416687,29402341.04404165,58526813.969749704,125884135.9002498,266031949.41959986,400264395.03895754,924730748.3557689
2018-07-31,3217,3217,96956642.77928534,5886475.942320083,9164370.090400161,11961044.403100356,21108288.15,44429115.142499544,97249846.49749985,209711632.88819972,336404163.6972997,854418579.3560022,3216,106003500.21465094,7273575.087275085,11240008.13454183,14969023.499416986,25909784.77758341,51494351.496416226,111620325.89820871,237634331.9849167,358148020.02145827,835272190.3612905
2018-08-31,3298,3298,78757615.0169853,4548772.2572248345,6848394.123449726,8854393.005,15559864.484750366,33243120.305249788,75061322.4375,168071757.88000003,286805056.5921006,793136215.194998,3294,93218258.4242792,6214317.4706666665,9569299.155158412,12285102.898333333,21022318.520833336,42678164.999750525,91103941.00416666,202045113.64829987,316435329.0420464,830543132.1986532
2018-09-28,3362,3362,71838241.28386226,3793642.580520012,5782887.628099976,7811079.751299629,13660555.634374905,29071170.142499544,69619531.8709999,160421866.97770146,250892000.95562395,688414623.3569996,3358,84808737.75755581,5364881.890181675,8224983.410808704,10628260.661266588,18645969.650416628,38053031.0,84442846.34812546,179802300.28946593,295833498.7367087,778768816.2521665
