analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,strategy_nav_cny,leg_gross_notional_cny,strategy_gross_exposure,turnover,total_abs_trade_weight,trade_notional_cny
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,2000000000.0,2000000000.0,2.0,0.8504800078231296,1.7009600156462592,3401920031.2925186
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,5000000000.0,5000000000.0,2.0,0.8504800078231296,1.7009600156462592,8504800078.231296
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,10000000000.0,10000000000.0,2.0,0.8504800078231296,1.7009600156462592,17009600156.462591
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,100000000.0,100000000.0,2.0,0.8549081000099833,1.7098162000199666,170981620.00199667
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,500000000.0,500000000.0,2.0,0.8549081000099833,1.7098162000199666,854908100.0099833
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,1000000000.0,1000000000.0,2.0,0.8549081000099833,1.7098162000199666,1709816200.0199666
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,2000000000.0,2000000000.0,2.0,0.8549081000099833,1.7098162000199666,3419632400.039933
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,5000000000.0,5000000000.0,2.0,0.8549081000099833,1.7098162000199666,8549081000.099833
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,10000000000.0,10000000000.0,2.0,0.8549081000099833,1.7098162000199666,17098162000.199665
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,100000000.0,100000000.0,2.0,0.49014094017148613,0.9802818803429723,98028188.03429723
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,500000000.0,500000000.0,2.0,0.49014094017148613,0.9802818803429723,490140940.17148614
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,1000000000.0,1000000000.0,2.0,0.49014094017148613,0.9802818803429723,980281880.3429723
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,2000000000.0,2000000000.0,2.0,0.49014094017148613,0.9802818803429723,1960563760.6859446
