stock,name,industry,possible_incident_pairs,degree_R3,degree_R4,persistent_degree,lost_degree,gained_degree,absent_degree,support_turnover,support_turnover_rate,net_degree_change,retention_from_R3,driver_score,same_driver_score,cross_driver_score,same_driver_share,cross_driver_share,support_change_score,persistent_change_score,support_change_share,persistent_change_share,mean_abs_delta,max_abs_delta,driver_share,driver_rank,turnover_rank,cross_driver_rank
000725,京东方A,电子,14,6,2,2,4,0,8,4,0.2857142857142857,-4,0.3333333333333333,0.16050427546437418,0.12639389504894008,0.0341103804154341,0.7874799265206782,0.21252007347932175,0.08326985975403269,0.07723441571034151,0.5188015055244769,0.48119849447552315,0.06229443980188438,0.2403438369602254,0.20262331464520955,1,3,4
600030,中信证券,非银金融,14,8,8,5,3,3,3,6,0.42857142857142855,0,0.625,0.11710483754217679,0.0012418486475042146,0.11586298889467257,0.010604588790424196,0.9893954112095757,0.06367367900086626,0.05343115854131051,0.5437322687709923,0.4562677312290075,0.06999122675592777,0.1745293027920648,0.1478351294701267,2,1,1
002475,立讯精密,电子,14,3,3,2,1,1,10,2,0.14285714285714285,0,0.6666666666666666,0.07614714210051149,0.05647819776078398,0.01966894433972751,0.7416981938236735,0.25830180617632653,0.07573683799990513,0.0004103041006063535,0.9946116940270093,0.005388305972990645,0.028861562843953588,0.2374523630467825,0.09612944134058356,3,12,9
002415,海康威视,电子,14,5,3,3,2,0,9,2,0.14285714285714285,-2,0.6,0.06834031541846639,0.05776517904593703,0.010575136372529353,0.845257717823295,0.15474228217670508,0.00994972589901765,0.058390589519448734,0.1455908688464893,0.8544091311535107,0.02625974275467447,0.2403438369602254,0.08627397116946184,4,12,12
002460,赣锋锂业,新能源,14,6,2,2,4,0,8,4,0.2857142857142857,-4,0.3333333333333333,0.057152578402321824,0.0,0.057152578402321824,0.0,1.0,0.026376369812914215,0.030776208589407612,0.4615079590502373,0.5384920409497628,0.03354161630312273,0.1745293027920648,0.07215038255456989,5,3,2
603501,韦尔股份,电子,14,5,4,2,3,2,7,5,0.35714285714285715,-1,0.4,0.05620443261719329,0.012339702493132274,0.043864730124061016,0.2195503436032816,0.7804496563967185,0.05610984049173669,9.459212545660244e-05,0.9983169988370693,0.0016830011629308062,0.02959825693725902,0.1729679090636128,0.07095342726354233,6,2,3
000858,五粮液,食品饮料,14,6,5,4,2,1,7,3,0.21428571428571427,-1,0.6666666666666666,0.04939457896104643,0.024245261290663383,0.025149317670383052,0.49084862753428243,0.5091513724657176,0.008308579130636463,0.041085999830409975,0.16820831972651853,0.8317916802734816,0.038240718891646215,0.1297718711421955,0.06235655271882937,7,8,7
000001,平安银行,银行,14,6,8,5,1,3,5,4,0.2857142857142857,2,0.8333333333333334,0.034253964926326236,0.01916024397233299,0.015093720953993247,0.5593584279525897,0.4406415720474103,0.009934163207160205,0.02431980171916603,0.2900149874190244,0.7099850125809757,0.03296040090795861,0.1098583492726662,0.04324278523442531,8,3,10
601318,中国平安,非银金融,14,9,5,5,4,0,5,4,0.2857142857142857,-4,0.5555555555555556,0.030975753759286042,0.0012418486475042146,0.02973390511178183,0.04009099042931047,0.9599090095706896,0.0014669089587221146,0.029508844800563927,0.047356683234297675,0.9526433167657024,0.027709058662263926,0.1297718711421955,0.039104315957823016,9,3,6
601398,工商银行,银行,14,3,4,3,0,1,10,1,0.07142857142857142,1,1.0,0.030921644126657568,0.001003746560819334,0.029917897565838233,0.03246096995062444,0.9675390300493755,0.029917897565838233,0.0010037465608193341,0.9675390300493755,0.032460969950624446,0.01563706312950053,0.1729679090636128,0.039036007041529694,10,15,5
600036,招商银行,银行,14,5,7,4,1,3,6,4,0.2857142857142857,2,0.8,0.02898470467331308,0.016845271725132883,0.012139432948180194,0.5811779666205374,0.41882203337946255,0.009933750855570295,0.019050953817742786,0.3427238941204925,0.6572761058795076,0.028277439600030818,0.094548893036691,0.03659078188370607,11,3,11
600887,伊利股份,食品饮料,14,5,6,4,1,2,7,3,0.21428571428571427,1,0.8,0.028941132847452918,0.005623362776617575,0.023317770070835343,0.19430347824523675,0.8056965217547633,0.022593705679599507,0.006347427167853409,0.7806779989812306,0.2193220010187694,0.02475537403481311,0.1447201181655488,0.03653577607307962,12,8,8
600519,贵州茅台,食品饮料,14,7,6,5,2,1,6,3,0.21428571428571427,-1,0.7142857142857143,0.0255418606556394,0.017407430502439408,0.00813443015319999,0.6815255449526545,0.3184744550473454,0.0037912089315490175,0.021750651724090384,0.14843119624928167,0.8515688037507184,0.02232858543617503,0.1282605670463769,0.032244477309269284,13,8,13
601288,农业银行,银行,14,4,2,2,2,0,10,2,0.14285714285714285,-2,0.5,0.02110238886306766,0.021100917986160737,1.4708769069229668e-06,0.9999302980853748,6.970191462527836e-05,0.008940964051370561,0.012161424811697099,0.42369440300754707,0.576305596992453,0.015374375795692957,0.1098583492726662,0.0266400129591314,14,12,15
000568,泸州老窖,食品饮料,14,6,5,4,2,1,7,3,0.21428571428571427,-1,0.6666666666666666,0.006561718385923659,0.004104228159235841,0.0024574902266878175,0.625480692380874,0.374519307619126,0.0008233240850555593,0.005738394300868099,0.125473852523414,0.8745261474765859,0.011940802732271013,0.0600951809249168,0.008283624378712435,15,8,14
