stock_1,stock_2,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected,first_selected_date,last_selected_date,dynamic_persistent,always_persistent,name_1,name_2,industry_1,industry_2,same_industry,static_stable,frequency_L10,frequency_L20,frequency_L40,min_frequency,mean_frequency,max_frequency,frequency_range,stable_all_block_lengths,core_all_block_lengths,stability_class
600519,601318,31,31,0.08238858332427963,0.08238858332427963,1.0,0.08238858332427963,0.08238858332427963,2024-01-16,2026-07-14,True,True,贵州茅台,中国平安,食品饮料,非银金融,False,True,0.995,1.0,1.0,0.995,0.9983333333333334,1.0,0.005,True,True,Static stable + Dynamic persistent
000858,601318,31,31,0.06521810565355521,0.06521810565355521,1.0,0.06521810565355521,0.06521810565355521,2024-01-16,2026-07-14,True,True,五粮液,中国平安,食品饮料,非银金融,False,True,1.0,1.0,0.995,0.995,0.9983333333333334,1.0,0.005,True,True,Static stable + Dynamic persistent
600036,600519,31,31,0.059279181374151606,0.059279181374151606,1.0,0.059279181374151606,0.059279181374151606,2024-01-16,2026-07-14,True,True,招商银行,贵州茅台,银行,食品饮料,False,True,0.995,1.0,1.0,0.995,0.9983333333333334,1.0,0.005,True,True,Static stable + Dynamic persistent
000001,601398,31,31,0.05721163167269065,0.05721163167269065,1.0,0.05721163167269065,0.05721163167269065,2024-01-16,2026-07-14,True,True,平安银行,工商银行,银行,银行,True,True,0.995,1.0,1.0,0.995,0.9983333333333334,1.0,0.005,True,True,Static stable + Dynamic persistent
000001,600887,31,31,0.05286457544898218,0.05286457544898218,1.0,0.05286457544898218,0.05286457544898218,2024-01-16,2026-07-14,True,True,平安银行,伊利股份,银行,食品饮料,False,True,0.98,1.0,1.0,0.98,0.9933333333333332,1.0,0.02,True,True,Static stable + Dynamic persistent
000725,002475,30,31,0.1353927041839877,0.1353927041839877,0.967741935483871,0.13990579432345393,0.13990579432345393,2024-01-16,2026-06-15,True,False,京东方A,立讯精密,电子,电子,True,True,0.955,0.955,0.97,0.955,0.96,0.97,0.015,True,True,Static stable + Dynamic persistent
002415,002460,30,31,0.08091367914498859,0.08091367914498859,0.967741935483871,0.08361080178315489,0.08361080178315489,2024-02-21,2026-07-14,True,False,海康威视,赣锋锂业,电子,新能源,False,True,0.975,0.975,0.96,0.96,0.97,0.975,0.015,True,True,Static stable + Dynamic persistent
000001,000858,30,31,0.0440378344589143,0.0440378344589143,0.967741935483871,0.04550576227421144,0.04550576227421144,2024-01-16,2026-07-14,True,False,平安银行,五粮液,银行,食品饮料,False,True,0.985,0.985,0.995,0.985,0.9883333333333332,0.995,0.01,True,True,Static stable + Dynamic persistent
000725,002460,29,31,0.10004516012000451,0.10004516012000451,0.9354838709677419,0.10694482633517724,0.10694482633517724,2024-01-16,2026-05-18,True,False,京东方A,赣锋锂业,电子,新能源,False,True,0.88,0.84,0.84,0.84,0.8533333333333334,0.88,0.04,True,False,Static stable + Dynamic persistent
002415,002475,29,31,0.07237700363424722,0.07237700363424722,0.9354838709677419,0.07736852112626427,0.07736852112626427,2024-01-16,2026-07-14,True,False,海康威视,立讯精密,电子,电子,True,True,1.0,0.995,1.0,0.995,0.9983333333333334,1.0,0.005,True,True,Static stable + Dynamic persistent
600887,601318,29,31,0.04943510661958332,0.04943510661958332,0.9354838709677419,0.05284442431748562,0.05284442431748562,2024-01-16,2026-07-14,True,False,伊利股份,中国平安,食品饮料,非银金融,False,True,0.98,0.995,0.995,0.98,0.99,0.995,0.015,True,True,Static stable + Dynamic persistent
002460,002475,28,31,0.04161150951718828,0.04161150951718828,0.9032258064516129,0.046069885536887026,0.046069885536887026,2024-01-16,2026-07-14,True,False,赣锋锂业,立讯精密,新能源,电子,False,True,0.975,0.97,0.935,0.935,0.96,0.975,0.0399999999999999,True,True,Static stable + Dynamic persistent
000858,002415,28,31,0.028539835344206045,0.028539835344206045,0.9032258064516129,0.03159767484537098,0.03159767484537098,2024-01-16,2026-05-18,True,False,五粮液,海康威视,食品饮料,电子,False,True,0.94,0.925,0.89,0.89,0.9183333333333332,0.94,0.0499999999999999,True,False,Static stable + Dynamic persistent
000568,600030,26,31,0.03963342001381256,0.03963342001381256,0.8387096774193549,0.04725523155493035,0.04725523155493035,2024-01-16,2026-07-14,True,False,泸州老窖,中信证券,食品饮料,非银金融,False,True,0.93,0.965,0.96,0.93,0.9516666666666668,0.965,0.0349999999999999,True,True,Static stable + Dynamic persistent
600036,601288,26,31,0.030792905423763544,0.030792905423763544,0.8387096774193549,0.036714618005256536,0.036714618005256536,2024-01-16,2026-07-14,True,False,招商银行,农业银行,银行,银行,True,True,0.915,0.915,0.895,0.895,0.9083333333333332,0.915,0.02,True,False,Static stable + Dynamic persistent
000725,600030,25,31,0.08805523534210243,0.08805523534210243,0.8064516129032258,0.109188491824207,0.109188491824207,2024-01-16,2026-05-18,True,False,京东方A,中信证券,电子,非银金融,False,True,0.905,0.895,0.915,0.895,0.905,0.915,0.02,True,False,Static stable + Dynamic persistent
000568,601318,25,31,0.05379986985774593,0.05379986985774593,0.8064516129032258,0.06671183862360495,0.06671183862360495,2024-01-16,2026-07-14,True,False,泸州老窖,中国平安,食品饮料,非银金融,False,True,0.955,0.955,0.91,0.91,0.94,0.955,0.0449999999999999,True,True,Static stable + Dynamic persistent
000858,002460,25,31,0.038363819773769514,0.038363819773769514,0.8064516129032258,0.0475711365194742,0.0475711365194742,2024-01-16,2026-01-12,True,False,五粮液,赣锋锂业,食品饮料,新能源,False,True,0.84,0.855,0.855,0.84,0.85,0.855,0.015,True,False,Static stable + Dynamic persistent
600030,600887,25,31,0.03546667652246733,0.03546667652246733,0.8064516129032258,0.04397867888785949,0.04397867888785949,2024-01-16,2026-07-14,True,False,中信证券,伊利股份,非银金融,食品饮料,False,True,0.915,0.91,0.96,0.91,0.9283333333333332,0.96,0.0499999999999999,True,True,Static stable + Dynamic persistent
