block_length,resample,valid,converged,n_iter,dual_gap,n_edges,reason
20,19,True,True,5,3.097121635953215e-05,52,
20,20,True,True,5,3.530726292222397e-05,53,
20,21,True,True,4,8.625302450937511e-05,52,
20,22,True,True,5,8.290625103279936e-05,45,
20,23,True,True,5,7.684613918534922e-05,48,
20,24,True,True,5,6.206288675203453e-05,51,
20,25,True,True,5,8.548499401950238e-05,54,
20,26,True,True,4,4.5690080388016696e-05,47,
20,27,True,True,5,-2.1836931630936363e-05,50,
20,28,True,True,5,2.045102517778119e-05,43,
20,29,True,True,5,7.607114314467367e-05,51,
20,30,True,True,6,5.5814703364021057e-05,51,
20,31,True,True,4,-4.4785091804833144e-05,49,
20,32,True,True,6,6.27754791526769e-05,56,
20,33,True,True,5,4.523260044475563e-05,49,
20,34,True,True,4,6.118239363317457e-05,40,
20,35,True,True,6,-2.4384340316707664e-05,52,
20,36,True,True,5,4.018006206107927e-05,51,
20,37,True,True,6,3.372315068972398e-06,54,
20,38,True,True,5,2.9890585015124316e-05,50,
20,39,True,True,4,3.5675384391531395e-05,51,
20,40,True,True,5,-1.5216473156165478e-05,50,
20,41,True,True,3,6.182244574493012e-05,46,
20,42,True,True,5,6.518201141769708e-05,48,
20,43,True,True,5,-3.548922203711058e-05,46,
20,44,True,True,4,2.8924639082550385e-05,44,
20,45,True,True,5,-3.262725993202764e-05,51,
20,46,True,True,5,6.832786033772464e-05,50,
20,47,True,True,5,7.506262248480056e-05,51,
20,48,True,True,5,6.790045529125877e-05,50,
20,49,True,True,3,-3.268344872831008e-05,46,
20,50,True,True,6,1.602403222866755e-05,48,
20,51,True,True,5,7.354140005411125e-05,52,
20,52,True,True,4,7.892268284415138e-05,46,
20,53,True,True,5,2.464325718509741e-05,47,
20,54,True,True,4,-1.8712398053288837e-05,47,
20,55,True,True,4,-9.130064604523369e-05,51,
20,56,True,True,6,2.862518616408849e-05,44,
20,57,True,True,5,5.812942598204529e-05,47,
20,58,True,True,3,-6.433158052043808e-05,50,
20,59,True,True,3,-9.382809885893906e-05,48,
20,60,True,True,6,5.434615656696451e-05,55,
20,61,True,True,2,3.85743778830161e-05,44,
20,62,True,True,4,-6.965144529180733e-05,45,
20,63,True,True,5,8.102117778197027e-05,48,
20,64,True,True,5,1.2696351427976538e-05,52,
20,65,True,True,5,8.061817238758096e-05,51,
20,66,True,True,5,-4.276136630876337e-05,43,
20,67,True,True,5,8.256718177213074e-05,51,
20,68,True,True,5,3.25849250160104e-05,51,
20,69,True,True,5,5.8278896010843795e-05,47,
20,70,True,True,5,9.890512297117127e-05,49,
20,71,True,True,5,8.424922360639187e-05,47,
20,72,True,True,6,7.747646756239845e-05,53,
20,73,True,True,6,3.2037577154753194e-05,51,
20,74,True,True,5,7.751973937963896e-05,54,
20,75,True,True,5,1.9579962833748965e-05,50,
20,76,True,True,4,-5.0447079644744264e-05,49,
20,77,True,True,5,4.350069826841718e-05,51,
20,78,True,True,4,3.367425210587527e-05,53,
20,79,True,True,5,3.837295972886068e-05,50,
20,80,True,True,6,4.369638973322765e-05,54,
20,81,True,True,5,5.601752358108669e-05,48,
20,82,True,True,5,-5.692453703121103e-05,46,
20,83,True,True,5,7.620454241052954e-05,49,
20,84,True,True,5,9.363213027580031e-05,51,
20,85,True,True,6,4.286925697360999e-05,53,
20,86,True,True,6,1.933397170184037e-05,51,
20,87,True,True,5,8.378856006974189e-05,54,
20,88,True,True,4,9.567640055685445e-05,56,
20,89,True,True,5,8.825472587226102e-05,55,
20,90,True,True,5,5.424953717270142e-05,51,
20,91,True,True,6,-1.3807204804372475e-05,46,
20,92,True,True,4,-6.93246218372856e-05,45,
20,93,True,True,5,7.214561179669232e-05,44,
20,94,True,True,5,2.7706215238954002e-05,42,
20,95,True,True,5,7.028385955543115e-05,54,
