window_from,window_to,date_from,date_to,stock_1,name_1,industry_1,stock_2,name_2,industry_2,change_type
9,10,2024-09-12,2024-10-21,002475,立讯精密,电子,600030,中信证券,非银金融,lost
9,10,2024-09-12,2024-10-21,000001,平安银行,银行,002460,赣锋锂业,新能源,gained
9,10,2024-09-12,2024-10-21,000568,泸州老窖,食品饮料,600036,招商银行,银行,gained
9,10,2024-09-12,2024-10-21,000725,京东方A,电子,600887,伊利股份,食品饮料,gained
9,10,2024-09-12,2024-10-21,002460,赣锋锂业,新能源,002475,立讯精密,电子,gained
9,10,2024-09-12,2024-10-21,002475,立讯精密,电子,600519,贵州茅台,食品饮料,gained
9,10,2024-09-12,2024-10-21,600887,伊利股份,食品饮料,601318,中国平安,非银金融,gained
10,11,2024-10-21,2024-11-18,000001,平安银行,银行,002460,赣锋锂业,新能源,lost
10,11,2024-10-21,2024-11-18,000568,泸州老窖,食品饮料,000725,京东方A,电子,gained
10,11,2024-10-21,2024-11-18,000725,京东方A,电子,600030,中信证券,非银金融,gained
11,12,2024-11-18,2024-12-16,000568,泸州老窖,食品饮料,600036,招商银行,银行,lost
11,12,2024-11-18,2024-12-16,601288,农业银行,银行,603501,韦尔股份,电子,lost
12,13,2024-12-16,2025-01-14,002475,立讯精密,电子,600519,贵州茅台,食品饮料,lost
12,13,2024-12-16,2025-01-14,000001,平安银行,银行,601288,农业银行,银行,gained
12,13,2024-12-16,2025-01-14,000568,泸州老窖,食品饮料,002415,海康威视,电子,gained
12,13,2024-12-16,2025-01-14,002475,立讯精密,电子,601318,中国平安,非银金融,gained
12,13,2024-12-16,2025-01-14,600036,招商银行,银行,601288,农业银行,银行,gained
13,14,2025-01-14,2025-02-19,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,lost
13,14,2025-01-14,2025-02-19,002415,海康威视,电子,600519,贵州茅台,食品饮料,gained
14,15,2025-02-19,2025-03-19,000568,泸州老窖,食品饮料,000725,京东方A,电子,lost
14,15,2025-02-19,2025-03-19,000568,泸州老窖,食品饮料,002415,海康威视,电子,lost
14,15,2025-02-19,2025-03-19,000001,平安银行,银行,002475,立讯精密,电子,gained
15,16,2025-03-19,2025-04-17,000001,平安银行,银行,002475,立讯精密,电子,lost
15,16,2025-03-19,2025-04-17,000858,五粮液,食品饮料,002475,立讯精密,电子,lost
16,17,2025-04-17,2025-05-20,000568,泸州老窖,食品饮料,002415,海康威视,电子,gained
17,18,2025-05-20,2025-06-18,002415,海康威视,电子,600887,伊利股份,食品饮料,lost
18,19,2025-06-18,2025-07-16,002460,赣锋锂业,新能源,601288,农业银行,银行,lost
18,19,2025-06-18,2025-07-16,000001,平安银行,银行,600519,贵州茅台,食品饮料,gained
19,20,2025-07-16,2025-08-13,000001,平安银行,银行,600519,贵州茅台,食品饮料,lost
19,20,2025-07-16,2025-08-13,000568,泸州老窖,食品饮料,000725,京东方A,电子,gained
19,20,2025-07-16,2025-08-13,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,gained
20,21,2025-08-13,2025-09-10,600030,中信证券,非银金融,600887,伊利股份,食品饮料,lost
21,22,2025-09-10,2025-10-16,000568,泸州老窖,食品饮料,002415,海康威视,电子,lost
21,22,2025-09-10,2025-10-16,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,lost
21,22,2025-09-10,2025-10-16,002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,lost
21,22,2025-09-10,2025-10-16,000568,泸州老窖,食品饮料,600036,招商银行,银行,gained
21,22,2025-09-10,2025-10-16,000725,京东方A,电子,600519,贵州茅台,食品饮料,gained
21,22,2025-09-10,2025-10-16,601288,农业银行,银行,603501,韦尔股份,电子,gained
22,23,2025-10-16,2025-11-13,000568,泸州老窖,食品饮料,000725,京东方A,电子,lost
22,23,2025-10-16,2025-11-13,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,lost
22,23,2025-10-16,2025-11-13,000568,泸州老窖,食品饮料,600036,招商银行,银行,lost
22,23,2025-10-16,2025-11-13,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,lost
22,23,2025-10-16,2025-11-13,000725,京东方A,电子,600519,贵州茅台,食品饮料,lost
22,23,2025-10-16,2025-11-13,000725,京东方A,电子,600887,伊利股份,食品饮料,lost
22,23,2025-10-16,2025-11-13,002415,海康威视,电子,002475,立讯精密,电子,lost
22,23,2025-10-16,2025-11-13,002415,海康威视,电子,600519,贵州茅台,食品饮料,lost
22,23,2025-10-16,2025-11-13,002475,立讯精密,电子,601318,中国平安,非银金融,lost
22,23,2025-10-16,2025-11-13,601288,农业银行,银行,603501,韦尔股份,电子,lost
23,24,2025-11-13,2025-12-11,000001,平安银行,银行,000725,京东方A,电子,lost
23,24,2025-11-13,2025-12-11,000001,平安银行,银行,000858,五粮液,食品饮料,lost
23,24,2025-11-13,2025-12-11,002415,海康威视,电子,601318,中国平安,非银金融,lost
23,24,2025-11-13,2025-12-11,002460,赣锋锂业,新能源,603501,韦尔股份,电子,lost
23,24,2025-11-13,2025-12-11,002415,海康威视,电子,002475,立讯精密,电子,gained
23,24,2025-11-13,2025-12-11,002475,立讯精密,电子,600030,中信证券,非银金融,gained
24,25,2025-12-11,2026-01-12,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,lost
24,25,2025-12-11,2026-01-12,000725,京东方A,电子,000858,五粮液,食品饮料,lost
24,25,2025-12-11,2026-01-12,000001,平安银行,银行,000858,五粮液,食品饮料,gained
24,25,2025-12-11,2026-01-12,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,gained
25,26,2026-01-12,2026-02-09,000858,五粮液,食品饮料,002415,海康威视,电子,lost
25,26,2026-01-12,2026-02-09,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,lost
25,26,2026-01-12,2026-02-09,002415,海康威视,电子,002475,立讯精密,电子,lost
25,26,2026-01-12,2026-02-09,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,lost
25,26,2026-01-12,2026-02-09,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,gained
25,26,2026-01-12,2026-02-09,600030,中信证券,非银金融,600887,伊利股份,食品饮料,gained
26,27,2026-02-09,2026-03-17,000725,京东方A,电子,601318,中国平安,非银金融,lost
26,27,2026-02-09,2026-03-17,000001,平安银行,银行,600030,中信证券,非银金融,gained
26,27,2026-02-09,2026-03-17,000858,五粮液,食品饮料,002415,海康威视,电子,gained
26,27,2026-02-09,2026-03-17,002415,海康威视,电子,002475,立讯精密,电子,gained
26,27,2026-02-09,2026-03-17,002460,赣锋锂业,新能源,603501,韦尔股份,电子,gained
26,27,2026-02-09,2026-03-17,601398,工商银行,银行,603501,韦尔股份,电子,gained
27,28,2026-03-17,2026-04-15,000001,平安银行,银行,600030,中信证券,非银金融,lost
27,28,2026-03-17,2026-04-15,600887,伊利股份,食品饮料,601318,中国平安,非银金融,lost
27,28,2026-03-17,2026-04-15,000001,平安银行,银行,000725,京东方A,电子,gained
27,28,2026-03-17,2026-04-15,000725,京东方A,电子,601318,中国平安,非银金融,gained
27,28,2026-03-17,2026-04-15,002415,海康威视,电子,600887,伊利股份,食品饮料,gained
28,29,2026-04-15,2026-05-18,000001,平安银行,银行,000568,泸州老窖,食品饮料,lost
28,29,2026-04-15,2026-05-18,000001,平安银行,银行,000725,京东方A,电子,lost
28,29,2026-04-15,2026-05-18,000725,京东方A,电子,601318,中国平安,非银金融,lost
