window_id,window_start,window_end,network_date,window_size,step,alpha,n_nodes,n_edges,density,mean_degree,max_degree,n_components,n_isolated,mean_abs_partial,median_abs_partial,same_industry_edges,same_industry_edge_ratio
1,2023-01-04,2024-01-16,2024-01-16,252,20,0.2169100494343441,15,52,0.49523809523809526,6.933333333333334,11,1,0,0.10278445395627202,0.05508464519379762,18,0.34615384615384615
2,2023-02-08,2024-02-21,2024-02-21,252,20,0.2169100494343441,15,51,0.4857142857142857,6.8,11,1,0,0.10695086063041576,0.0724822811087731,18,0.35294117647058826
3,2023-03-08,2024-03-20,2024-03-20,252,20,0.2169100494343441,15,52,0.49523809523809526,6.933333333333334,11,1,0,0.10542784144798036,0.07148005296319257,18,0.34615384615384615
4,2023-04-06,2024-04-19,2024-04-19,252,20,0.2169100494343441,15,51,0.4857142857142857,6.8,10,1,0,0.10827073555508335,0.06869741373294304,19,0.37254901960784315
5,2023-05-09,2024-05-22,2024-05-22,252,20,0.2169100494343441,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.10157893837517458,0.06929807412703137,18,0.32727272727272727
6,2023-06-06,2024-06-20,2024-06-20,252,20,0.2169100494343441,15,51,0.4857142857142857,6.8,10,1,0,0.11043653031773806,0.08028728629056017,18,0.35294117647058826
7,2023-07-06,2024-07-18,2024-07-18,252,20,0.2169100494343441,15,51,0.4857142857142857,6.8,10,1,0,0.10987519397255241,0.06864941923222811,18,0.35294117647058826
8,2023-08-03,2024-08-15,2024-08-15,252,20,0.2169100494343441,15,53,0.5047619047619047,7.066666666666666,10,1,0,0.10816841709601681,0.06762879029730798,17,0.32075471698113206
9,2023-08-31,2024-09-12,2024-09-12,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,11,1,0,0.10561237319827933,0.07252236266448493,17,0.3148148148148148
10,2023-09-28,2024-10-21,2024-10-21,252,20,0.2169100494343441,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.11355905293068223,0.06735255317671868,17,0.3090909090909091
11,2023-11-03,2024-11-18,2024-11-18,252,20,0.2169100494343441,15,56,0.5333333333333333,7.466666666666667,10,1,0,0.11219725372838193,0.06872555382667221,17,0.30357142857142855
12,2023-12-01,2024-12-16,2024-12-16,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,10,1,0,0.11688296495428643,0.07377808323967416,17,0.3148148148148148
13,2023-12-29,2025-01-14,2025-01-14,252,20,0.2169100494343441,15,57,0.5428571428571428,7.6,10,1,0,0.11115851949940761,0.07006949111675043,19,0.3333333333333333
14,2024-01-29,2025-02-19,2025-02-19,252,20,0.2169100494343441,15,57,0.5428571428571428,7.6,10,1,0,0.11096084095951998,0.06297545567753093,19,0.3333333333333333
15,2024-03-05,2025-03-19,2025-03-19,252,20,0.2169100494343441,15,56,0.5333333333333333,7.466666666666667,10,1,0,0.11290404423178536,0.06567387091398776,19,0.3392857142857143
16,2024-04-02,2025-04-17,2025-04-17,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,10,1,0,0.11809805082047671,0.08465857242166037,19,0.35185185185185186
17,2024-05-07,2025-05-20,2025-05-20,252,20,0.2169100494343441,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.11600089936532597,0.07776495175191268,19,0.34545454545454546
18,2024-06-04,2025-06-18,2025-06-18,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,10,1,0,0.11836331412202344,0.07492648128572724,19,0.35185185185185186
19,2024-07-03,2025-07-16,2025-07-16,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,10,1,0,0.11843953640571968,0.08473553887246679,19,0.35185185185185186
20,2024-07-31,2025-08-13,2025-08-13,252,20,0.2169100494343441,15,55,0.5238095238095238,7.333333333333333,10,1,0,0.11611222008506977,0.07965532827926047,19,0.34545454545454546
21,2024-08-28,2025-09-10,2025-09-10,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,10,1,0,0.11760389675646453,0.07286258888252688,19,0.35185185185185186
22,2024-09-27,2025-10-16,2025-10-16,252,20,0.2169100494343441,15,54,0.5142857142857142,7.2,11,1,0,0.11529591985095287,0.07025872459003804,19,0.35185185185185186
23,2024-11-01,2025-11-13,2025-11-13,252,20,0.2169100494343441,15,44,0.41904761904761906,5.866666666666666,9,1,0,0.13105639823026427,0.10452871603863245,18,0.4090909090909091
24,2024-11-29,2025-12-11,2025-12-11,252,20,0.2169100494343441,15,42,0.4,5.6,9,1,0,0.1330505589740982,0.09612314775830555,19,0.4523809523809524
25,2024-12-27,2026-01-12,2026-01-12,252,20,0.2169100494343441,15,42,0.4,5.6,8,1,0,0.12990262490227827,0.08832358562680158,19,0.4523809523809524
26,2025-01-27,2026-02-09,2026-02-09,252,20,0.2169100494343441,15,40,0.38095238095238093,5.333333333333333,10,1,0,0.1316071905445264,0.0865167064991613,18,0.45
27,2025-03-04,2026-03-17,2026-03-17,252,20,0.2169100494343441,15,44,0.41904761904761906,5.866666666666666,11,1,0,0.12196820294114863,0.07841356642327442,19,0.4318181818181818
28,2025-04-01,2026-04-15,2026-04-15,252,20,0.2169100494343441,15,45,0.42857142857142855,6.0,10,1,0,0.12138222544507332,0.07557213608296937,19,0.4222222222222222
29,2025-04-30,2026-05-18,2026-05-18,252,20,0.2169100494343441,15,42,0.4,5.6,8,1,0,0.11808145692523657,0.06404548390339548,19,0.4523809523809524
30,2025-06-03,2026-06-15,2026-06-15,252,20,0.2169100494343441,15,41,0.3904761904761905,5.466666666666667,8,1,0,0.11543382544381645,0.0707910245053045,19,0.4634146341463415
31,2025-07-01,2026-07-14,2026-07-14,252,20,0.2169100494343441,15,40,0.38095238095238093,5.333333333333333,8,1,0,0.12387717878519186,0.0885756771628802,18,0.45
