window_from,window_to,date_from,date_to,edges_from,edges_to,common_edges,lost_edges,gained_edges,union_edges,net_edge_change,gross_edge_changes,jaccard,turnover,previous_edge_retention,current_inherited_share,lost_rate_previous,gained_rate_current,turnover_rank
1,2,2024-01-16,2024-02-21,52,51,46,6,5,57,-1,11,0.8070175438596491,0.19298245614035092,0.8846153846153846,0.9019607843137255,0.11538461538461539,0.09803921568627451,1
2,3,2024-02-21,2024-03-20,51,52,47,4,5,56,1,9,0.8392857142857143,0.1607142857142857,0.9215686274509803,0.9038461538461539,0.0784313725490196,0.09615384615384616,6
3,4,2024-03-20,2024-04-19,52,51,49,3,2,54,-1,5,0.9074074074074074,0.09259259259259256,0.9423076923076923,0.9607843137254902,0.057692307692307696,0.0392156862745098,16
4,5,2024-04-19,2024-05-22,51,55,49,2,6,57,4,8,0.8596491228070176,0.14035087719298245,0.9607843137254902,0.8909090909090909,0.0392156862745098,0.10909090909090909,8
5,6,2024-05-22,2024-06-20,55,51,50,5,1,56,-4,6,0.8928571428571429,0.1071428571428571,0.9090909090909091,0.9803921568627451,0.09090909090909091,0.0196078431372549,13
6,7,2024-06-20,2024-07-18,51,51,49,2,2,53,0,4,0.9245283018867925,0.07547169811320753,0.9607843137254902,0.9607843137254902,0.0392156862745098,0.0392156862745098,19
7,8,2024-07-18,2024-08-15,51,53,48,3,5,56,2,8,0.8571428571428571,0.1428571428571429,0.9411764705882353,0.9056603773584906,0.058823529411764705,0.09433962264150944,7
8,9,2024-08-15,2024-09-12,53,54,48,5,6,59,1,11,0.8135593220338984,0.18644067796610164,0.9056603773584906,0.8888888888888888,0.09433962264150944,0.1111111111111111,3
9,10,2024-09-12,2024-10-21,54,55,49,5,6,60,1,11,0.8166666666666667,0.18333333333333335,0.9074074074074074,0.8909090909090909,0.09259259259259259,0.10909090909090909,5
10,11,2024-10-21,2024-11-18,55,56,54,1,2,57,1,3,0.9473684210526315,0.052631578947368474,0.9818181818181818,0.9642857142857143,0.01818181818181818,0.03571428571428571,22
11,12,2024-11-18,2024-12-16,56,54,54,2,0,56,-2,2,0.9642857142857143,0.0357142857142857,0.9642857142857143,1.0,0.03571428571428571,0.0,25
12,13,2024-12-16,2025-01-14,54,57,53,1,4,58,3,5,0.9137931034482759,0.08620689655172409,0.9814814814814815,0.9298245614035088,0.018518518518518517,0.07017543859649122,18
13,14,2025-01-14,2025-02-19,57,57,56,1,1,58,0,2,0.9655172413793104,0.03448275862068961,0.9824561403508771,0.9824561403508771,0.017543859649122806,0.017543859649122806,27
14,15,2025-02-19,2025-03-19,57,56,55,2,1,58,-1,3,0.9482758620689655,0.051724137931034475,0.9649122807017544,0.9821428571428571,0.03508771929824561,0.017857142857142856,23
15,16,2025-03-19,2025-04-17,56,54,54,2,0,56,-2,2,0.9642857142857143,0.0357142857142857,0.9642857142857143,1.0,0.03571428571428571,0.0,25
16,17,2025-04-17,2025-05-20,54,55,54,0,1,55,1,1,0.9818181818181818,0.018181818181818188,1.0,0.9818181818181818,0.0,0.01818181818181818,28
17,18,2025-05-20,2025-06-18,55,54,54,1,0,55,-1,1,0.9818181818181818,0.018181818181818188,0.9818181818181818,1.0,0.01818181818181818,0.0,28
18,19,2025-06-18,2025-07-16,54,54,53,1,1,55,0,2,0.9636363636363636,0.036363636363636376,0.9814814814814815,0.9814814814814815,0.018518518518518517,0.018518518518518517,24
19,20,2025-07-16,2025-08-13,54,55,53,1,2,56,1,3,0.9464285714285714,0.0535714285714286,0.9814814814814815,0.9636363636363636,0.018518518518518517,0.03636363636363636,21
20,21,2025-08-13,2025-09-10,55,54,54,1,0,55,-1,1,0.9818181818181818,0.018181818181818188,0.9818181818181818,1.0,0.01818181818181818,0.0,28
21,22,2025-09-10,2025-10-16,54,54,51,3,3,57,0,6,0.8947368421052632,0.10526315789473684,0.9444444444444444,0.9444444444444444,0.05555555555555555,0.05555555555555555,15
22,23,2025-10-16,2025-11-13,54,44,44,10,0,54,-10,10,0.8148148148148148,0.18518518518518523,0.8148148148148148,1.0,0.18518518518518517,0.0,4
23,24,2025-11-13,2025-12-11,44,42,40,4,2,46,-2,6,0.8695652173913043,0.13043478260869568,0.9090909090909091,0.9523809523809523,0.09090909090909091,0.047619047619047616,11
24,25,2025-12-11,2026-01-12,42,42,40,2,2,44,0,4,0.9090909090909091,0.09090909090909094,0.9523809523809523,0.9523809523809523,0.047619047619047616,0.047619047619047616,17
25,26,2026-01-12,2026-02-09,42,40,38,4,2,44,-2,6,0.8636363636363636,0.13636363636363635,0.9047619047619048,0.95,0.09523809523809523,0.05,9
26,27,2026-02-09,2026-03-17,40,44,39,1,5,45,4,6,0.8666666666666667,0.1333333333333333,0.975,0.8863636363636364,0.025,0.11363636363636363,10
27,28,2026-03-17,2026-04-15,44,45,42,2,3,47,1,5,0.8936170212765957,0.1063829787234043,0.9545454545454546,0.9333333333333333,0.045454545454545456,0.06666666666666667,14
28,29,2026-04-15,2026-05-18,45,42,39,6,3,48,-3,9,0.8125,0.1875,0.8666666666666667,0.9285714285714286,0.13333333333333333,0.07142857142857142,2
29,30,2026-05-18,2026-06-15,42,41,39,3,2,44,-1,5,0.8863636363636364,0.11363636363636365,0.9285714285714286,0.9512195121951219,0.07142857142857142,0.04878048780487805,12
30,31,2026-06-15,2026-07-14,41,40,39,2,1,42,-1,3,0.9285714285714286,0.0714285714285714,0.9512195121951219,0.975,0.04878048780487805,0.025,20
