industry_relation,n_possible_pairs,mean_persistence,median_persistence,n_persistence_ge_080,n_persistence_equal_1,mean_abs_partial_when_selected,share_persistence_ge_080,share_persistence_equal_1
Cross industry,86,0.373218304576144,0.2096774193548387,22,8,0.049136604917242935,0.2558139534883721,0.09302325581395349
Same industry,19,0.967741935483871,1.0,18,15,0.19302059384793688,0.9473684210526315,0.7894736842105263
