window_id,window_start,window_end,network_date,code,name,industry,degree,strength
5,2023-05-09,2024-05-22,2024-05-22,600887,伊利股份,食品饮料,8,0.5462520283319499
5,2023-05-09,2024-05-22,2024-05-22,002460,赣锋锂业,新能源,10,0.50806595202772
5,2023-05-09,2024-05-22,2024-05-22,002415,海康威视,电子,9,0.523501108243614
5,2023-05-09,2024-05-22,2024-05-22,000725,京东方A,电子,7,0.5503555498588076
5,2023-05-09,2024-05-22,2024-05-22,603501,韦尔股份,电子,4,0.5016521671985417
5,2023-05-09,2024-05-22,2024-05-22,002475,立讯精密,电子,7,0.49845458099746337
5,2023-05-09,2024-05-22,2024-05-22,601318,中国平安,非银金融,10,1.1940790647341801
5,2023-05-09,2024-05-22,2024-05-22,600030,中信证券,非银金融,9,0.6846422620948397
6,2023-06-06,2024-06-20,2024-06-20,000001,平安银行,银行,8,0.92312456089106
6,2023-06-06,2024-06-20,2024-06-20,600036,招商银行,银行,8,0.9018010817731483
6,2023-06-06,2024-06-20,2024-06-20,601398,工商银行,银行,3,0.7770155721070171
6,2023-06-06,2024-06-20,2024-06-20,601288,农业银行,银行,3,0.6932717352706789
6,2023-06-06,2024-06-20,2024-06-20,600519,贵州茅台,食品饮料,6,0.7591922511313662
6,2023-06-06,2024-06-20,2024-06-20,000858,五粮液,食品饮料,10,1.1817775442447684
6,2023-06-06,2024-06-20,2024-06-20,000568,泸州老窖,食品饮料,7,0.873107462007799
6,2023-06-06,2024-06-20,2024-06-20,600887,伊利股份,食品饮料,8,0.5276418583395048
6,2023-06-06,2024-06-20,2024-06-20,002460,赣锋锂业,新能源,8,0.5497065703407504
6,2023-06-06,2024-06-20,2024-06-20,002415,海康威视,电子,8,0.5661245485139478
6,2023-06-06,2024-06-20,2024-06-20,000725,京东方A,电子,6,0.5715700996986831
6,2023-06-06,2024-06-20,2024-06-20,603501,韦尔股份,电子,4,0.5456781537574901
6,2023-06-06,2024-06-20,2024-06-20,002475,立讯精密,电子,6,0.4723586813189173
6,2023-06-06,2024-06-20,2024-06-20,601318,中国平安,非银金融,9,1.1982854918543988
6,2023-06-06,2024-06-20,2024-06-20,600030,中信证券,非银金融,8,0.7238704811597523
7,2023-07-06,2024-07-18,2024-07-18,000001,平安银行,银行,8,0.9124050167389477
7,2023-07-06,2024-07-18,2024-07-18,600036,招商银行,银行,7,0.8677610358240483
7,2023-07-06,2024-07-18,2024-07-18,601398,工商银行,银行,3,0.8013324511503763
7,2023-07-06,2024-07-18,2024-07-18,601288,农业银行,银行,2,0.6596960744475064
7,2023-07-06,2024-07-18,2024-07-18,600519,贵州茅台,食品饮料,6,0.7387377985651802
7,2023-07-06,2024-07-18,2024-07-18,000858,五粮液,食品饮料,10,1.19927136615557
7,2023-07-06,2024-07-18,2024-07-18,000568,泸州老窖,食品饮料,8,0.8870543117210321
7,2023-07-06,2024-07-18,2024-07-18,600887,伊利股份,食品饮料,7,0.5188514033701653
7,2023-07-06,2024-07-18,2024-07-18,002460,赣锋锂业,新能源,8,0.5482675039370699
7,2023-07-06,2024-07-18,2024-07-18,002415,海康威视,电子,9,0.688171236622266
7,2023-07-06,2024-07-18,2024-07-18,000725,京东方A,电子,6,0.5529404715470903
