security_id,EXPLICIT_SUSPENSION,OPEN_BUT_RETURN_MISSING,RETURN_OBSERVED,NO_RAW_RECORD,OTHER,expected_trade_days,diagnostic_raw_coverage,suspension_adjusted_coverage,missing_day_count,suspension_share_of_missing,analysis_date,next_analysis_date,window,future_return_coverage,future_valid_return_days
002139.XSHE,16,0,4,0,0,20,0.2,1.0,16,1.0,2015-04-30,2015-05-29,60,0.2,4
002165.XSHE,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
002166.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002170.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
002175.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
002177.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002178.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
002209.XSHE,4,1,15,0,0,20,0.75,0.95,5,0.8,2015-04-30,2015-05-29,60,0.75,15
002212.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002216.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
002221.XSHE,15,1,4,0,0,20,0.2,0.95,16,0.9375,2015-04-30,2015-05-29,60,0.2,4
002244.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002245.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002251.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002268.XSHE,16,0,4,0,0,20,0.2,1.0,16,1.0,2015-04-30,2015-05-29,60,0.2,4
002269.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
002292.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
002323.XSHE,7,1,12,0,0,20,0.6,0.95,8,0.875,2015-04-30,2015-05-29,60,0.6,12
002343.XSHE,13,1,6,0,0,20,0.3,0.95,14,0.9285714285714286,2015-04-30,2015-05-29,60,0.3,6
002355.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002368.XSHE,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
002370.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002379.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
002388.XSHE,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
002405.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
002407.XSHE,7,1,12,0,0,20,0.6,0.95,8,0.875,2015-04-30,2015-05-29,60,0.6,12
002414.XSHE,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
002416.XSHE,19,0,1,0,0,20,0.05,1.0,19,1.0,2015-04-30,2015-05-29,60,0.05,1
002426.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
002429.XSHE,9,0,11,0,0,20,0.55,1.0,9,1.0,2015-04-30,2015-05-29,60,0.55,11
002431.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
002438.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002443.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
