analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,mean_return_coverage,return_label_valid_share,risk_label_valid_share,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2015-04-30,60,2015-05-29,False,1993,1993,20,20,1.0,2310.0,0.9319116909182136,0.8871048670346212,0.8871048670346212,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-05-29,60,2015-06-30,False,1914,1914,21,21,1.0,2280.0,0.9025974025974026,0.85423197492163,0.85423197492163,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-06-30,60,2015-07-31,False,1802,1802,23,23,1.0,1312.0,0.8320465183612411,0.6847946725860156,0.6847946725860156,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
