factor_order,factor_name,target_name,window,m1_network_only_beta,m1_beta_bps_per_1sd,m2_industry_size_beta,m2_beta_bps_per_1sd,m3_full_control_beta,m3_beta_bps_per_1sd,m3_hac_t_stat,m3_mean_partial_r2,m3_vs_m2_same_sign,m3_vs_m2_abs_retention,m3_minus_m2_beta,m3_minus_m2_bps,m2_vs_m1_same_sign,factor_sign_flipped,factor_selected_from_fmb,window_selected_from_fmb
1,residual_degree_percentile,future_excess_return,60,-0.0007438808394777918,-7.438808394777918,0.0005130243112057745,5.130243112057745,0.00039236785169243323,3.9236785169243324,0.6696502729486961,0.0025564783654521625,True,0.764813368727577,-0.0001206564595133413,-1.206564595133413,False,False,False,False
1,residual_degree_percentile,future_excess_return,120,-0.0009604829170398455,-9.604829170398455,0.0007966715329232275,7.966715329232275,0.0008294634179908681,8.29463417990868,1.3480870048147544,0.002914344427596202,True,1.0411611105863383,3.27918850676406e-05,0.327918850676406,False,False,False,False
1,residual_degree_percentile,future_excess_return,252,-0.0004691741068131373,-4.691741068131373,0.0011796236992235754,11.796236992235754,0.001360679668314114,13.60679668314114,1.9944339557888344,0.002850539686848744,True,1.1534862085338817,0.00018105596909053856,1.8105596909053856,False,False,False,False
2,delta_degree_percentile,future_excess_return,60,-0.004026945137697197,-40.26945137697197,-0.0028449205467673748,-28.449205467673746,-0.0009318594803122741,-9.31859480312274,-2.29184603318268,0.0016856951661090012,True,0.32755202298044034,0.0019130610664551007,19.130610664551007,True,False,False,False
2,delta_degree_percentile,future_excess_return,120,-0.004042085719121396,-40.42085719121396,-0.0027587718625121634,-27.587718625121635,-0.000932174270838573,-9.32174270838573,-1.9236269901755805,0.001706685343597413,True,0.3378946564975207,0.0018265975916735904,18.265975916735904,True,False,False,False
2,delta_degree_percentile,future_excess_return,252,-0.0033299801800013283,-33.299801800013284,-0.0026203597287252646,-26.203597287252645,-0.0010670348342231087,-10.670348342231087,-2.1000047235975736,0.0017495089641456083,True,0.4072092936423629,0.001553324894502156,15.53324894502156,True,False,False,False
3,cross_industry_degree_percentile,future_excess_return,60,-0.00048581752073435406,-4.858175207343541,0.0004153620290099173,4.153620290099173,0.0002547409403713763,2.547409403713763,0.49676709786277606,0.0019953400290291623,True,0.6132985746881885,-0.000160621088638541,-1.60621088638541,False,False,False,False
3,cross_industry_degree_percentile,future_excess_return,120,-0.0008179376061163101,-8.1793760611631,0.0006004181045659298,6.0041810456592986,0.0006154279335689981,6.154279335689981,1.1833006093814782,0.0022508158215650003,True,1.0249989613719586,1.5009829003068305e-05,0.15009829003068303,False,False,False,False
3,cross_industry_degree_percentile,future_excess_return,252,-0.000587732184657838,-5.877321846578379,0.0007623946427783494,7.623946427783494,0.0009183580128617641,9.183580128617642,1.5750008546775367,0.002125998940246091,True,1.2045703908871221,0.00015596337008341472,1.5596337008341472,False,False,False,False
4,cross_industry_degree_ratio,future_excess_return,60,0.0003711160723785921,3.711160723785921,-0.00040980174314923453,-4.098017431492345,-0.0006702774069862668,-6.702774069862667,-1.8158541329720308,0.001370069376236777,True,1.6356138503348843,-0.00026047566383703225,-2.6047566383703225,False,False,False,False
4,cross_industry_degree_ratio,future_excess_return,120,0.00015517917183908615,1.5517917183908614,-0.00032190426465896437,-3.2190426465896436,-0.0005523329952931145,-5.523329952931145,-1.4110594664417375,0.0014309735325731033,True,1.7158300026819269,-0.00023042873063415016,-2.3042873063415015,False,False,False,False
4,cross_industry_degree_ratio,future_excess_return,252,-0.0006040863770182729,-6.040863770182729,-0.0007013441257399796,-7.013441257399796,-0.0008212565988378143,-8.212565988378143,-2.144985738785017,0.001259952154565221,True,1.1709752298435756,-0.00011991247309783468,-1.1991247309783468,True,False,False,False
5,delta_residual_degree_percentile_1m,future_excess_return,60,0.0007907138141052145,7.907138141052145,0.0006885719840676481,6.885719840676481,0.00026174348505217805,2.6174348505217804,0.8660111252459498,0.0009388563591127943,True,0.38012508656823785,-0.0004268284990154701,-4.268284990154701,True,False,False,False
5,delta_residual_degree_percentile_1m,future_excess_return,120,0.0005010335990400147,5.010335990400146,0.0004756986268977045,4.7569862689770455,0.00025691171281337513,2.5691171281337515,0.9524124222815805,0.000889754195386934,True,0.5400724288166215,-0.0002187869140843294,-2.187869140843294,True,False,False,False
5,delta_residual_degree_percentile_1m,future_excess_return,252,0.00010817282050608127,1.0817282050608128,0.00048492264070230977,4.849226407023098,0.0002766842941439954,2.7668429414399545,0.8811272694147826,0.0010096030522565968,True,0.5705740893914041,-0.00020823834655831435,-2.0823834655831437,True,False,False,False
6,delta_cross_industry_degree_percentile_1m,future_excess_return,60,0.0008733396213910703,8.733396213910703,0.0007046781500552587,7.046781500552587,0.0002752712247495546,2.7527122474955457,0.9919443549196093,0.0008675004518900234,True,0.3906339720168259,-0.00042940692530570414,-4.2940692530570415,True,False,False,False
6,delta_cross_industry_degree_percentile_1m,future_excess_return,120,0.00046218708987466633,4.621870898746663,0.00039332525125335274,3.9332525125335276,0.00019700334178619704,1.9700334178619703,0.8322867859917947,0.0007555769273060243,True,0.5008662453235203,-0.0001963219094671557,-1.963219094671557,True,False,False,False
6,delta_cross_industry_degree_percentile_1m,future_excess_return,252,4.6235983709352115e-05,0.46235983709352113,0.0002733978995257527,2.733978995257527,0.00010986128941584972,1.0986128941584972,0.40307126134015453,0.0009144056139936055,True,0.40183662568885736,-0.00016353661010990296,-1.6353661010990297,True,False,False,False
7,neighbor_jaccard_1m,future_excess_return,60,-0.0008318334822660911,-8.318334822660912,0.0004645773908184473,4.645773908184473,0.0003415170228383515,3.415170228383515,0.695241804479334,0.0016285885318323165,True,0.7351133085419848,-0.0001230603679800958,-1.230603679800958,False,False,False,False
7,neighbor_jaccard_1m,future_excess_return,120,-0.0002328316054939693,-2.328316054939693,0.000768909865608601,7.68909865608601,9.58854512277321e-05,0.958854512277321,0.23199921568664836,0.001730388662654291,True,0.12470310957947933,-0.0006730244143808689,-6.730244143808688,False,False,False,False
7,neighbor_jaccard_1m,future_excess_return,252,0.0007348082501576753,7.348082501576752,0.0011672966919757022,11.672966919757021,0.0005302425908581541,5.302425908581541,1.261221472737723,0.0015152145464119124,True,0.45424834534628433,-0.0006370541011175481,-6.370541011175481,True,False,False,False
8,neighbor_retention_1m,future_excess_return,60,-0.00030305721469374723,-3.0305721469374722,0.0008202984187006247,8.202984187006248,0.00041680271792048654,4.1680271792048655,0.9396098603337667,0.0015027067034994652,True,0.5081110830138055,-0.0004034957007801382,-4.034957007801382,False,False,False,False
8,neighbor_retention_1m,future_excess_return,120,6.381974969253233e-05,0.6381974969253233,0.0009386224065776893,9.386224065776894,0.00013303620082585473,1.3303620082585472,0.35805392207237546,0.0015055713468238214,True,0.14173559025819335,-0.0008055862057518346,-8.055862057518345,True,False,False,False
