analysis_date,window,factor_order,factor_name,factor_orientation,target_name,model_spec,nobs,network_beta,network_beta_bps,partial_r2,status,industry_count,singleton_industry_count,control_count,control_rank,factor_residual_sd
2016-01-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2193,0.003305208255747707,33.05208255747707,0.0011976307728039925,PASS,28.0,0.0,0.0,0.0,1.0
2016-01-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2193,0.003512940120123883,35.12940120123883,0.001224266609767044,PASS,28.0,0.0,1.0,1.0,0.9143729949118033
2016-01-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2193,0.0031532298606704303,31.532298606704302,0.0009207768431024332,PASS,28.0,0.0,5.0,5.0,0.8776382424235375
2016-02-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2239,-0.01955192158525527,-195.51921585255272,0.026257119666869055,PASS,28.0,0.0,0.0,0.0,1.0
2016-02-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2239,-0.008852783740195084,-88.52783740195083,0.005316102787543464,PASS,28.0,0.0,1.0,1.0,0.9146411692111165
2016-02-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2239,-0.004142781554213042,-41.42781554213042,0.001261583997400617,PASS,28.0,0.0,5.0,5.0,0.8909576397822894
2016-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2258,-0.006055448607809748,-60.554486078097476,0.004280213050681159,PASS,28.0,0.0,0.0,0.0,1.0
2016-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2258,-0.0006934188463064967,-6.934188463064967,5.381583155339431e-05,PASS,28.0,0.0,1.0,1.0,0.9247034619653548
2016-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2258,-0.002738684548530258,-27.38684548530258,0.0008482407698021666,PASS,28.0,0.0,5.0,5.0,0.9089693555486519
2016-04-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2211,0.0021564898721804903,21.5648987218049,0.0005555109097146183,PASS,28.0,0.0,0.0,0.0,1.0
2016-04-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2211,0.0009367751846981318,9.367751846981319,9.427595029498637e-05,PASS,28.0,0.0,1.0,1.0,0.8987611658305382
2016-04-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2211,-0.0011820988937695325,-11.820988937695324,0.00014513405123295353,PASS,28.0,0.0,5.0,5.0,0.8777476813229568
2016-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2220,-0.009621322562647985,-96.21322562647985,0.00982478696407052,PASS,28.0,0.0,0.0,0.0,1.0
2016-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,2220,-0.002249826482577307,-22.49826482577307,0.0005126272859422576,PASS,28.0,0.0,1.0,1.0,0.9089856231418965
2016-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,2220,-0.002698437290383954,-26.98437290383954,0.000717171099623104,PASS,28.0,0.0,5.0,5.0,0.8934755459608212
2016-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,2259,0.00813590007543302,81.35900075433021,0.007801568481356158,PASS,28.0,0.0,0.0,0.0,1.0
