factor_order,factor_name,factor_orientation,target_name,model_spec,window,month_count,mean_network_beta,mean_network_beta_bps_per_1sd,median_network_beta,std_network_beta,positive_beta_share,negative_beta_share,mean_cross_section_n,mean_partial_r2,naive_se,naive_t_stat,hac_lag,hac_se,hac_t_stat,factor_sign_flipped,window_selected
1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,60,133,-0.0007438808394777918,-7.438808394777918,-0.00044121265645509614,0.011121800520160152,0.48120300751879697,0.518796992481203,3861.5714285714284,0.006982029344588582,0.0009643824110089411,-0.7713546317166241,4,0.000850939781875665,-0.8741874047046068,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,60,133,0.0005130243112057745,5.130243112057745,-6.064198370679026e-06,0.007895501543539091,0.49624060150375937,0.5037593984962406,3861.5714285714284,0.003759075164752924,0.0006846268102795824,0.7493488474345166,4,0.0006873571134772058,0.7463723021799897,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,60,133,0.00039236785169243323,3.9236785169243324,0.0003313259573424578,0.006202121153285335,0.5338345864661654,0.46616541353383456,3861.5714285714284,0.0025564783654521625,0.0005377921084210146,0.7295901995372255,4,0.0005859295031191508,0.6696502729486961,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,120,133,-0.0009604829170398455,-9.604829170398455,-0.000657342004437183,0.01156426421778143,0.45112781954887216,0.5488721804511278,3843.5864661654136,0.007924060395652754,0.0010027488793449325,-0.9578499032253237,4,0.0008494957571613202,-1.130650634735835,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,120,133,0.0007966715329232275,7.966715329232275,0.00012440215446818568,0.008396632741666923,0.5112781954887218,0.48872180451127817,3843.5864661654136,0.003916466531894475,0.0007280803960732034,1.0942081907711847,4,0.000650130343572699,1.2254027839175021,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,120,133,0.0008294634179908681,8.29463417990868,0.000383510263256951,0.006960912386732365,0.5338345864661654,0.46616541353383456,3843.5864661654136,0.002914344427596202,0.000603587652751957,1.374221977883524,4,0.0006152892320958525,1.3480870048147544,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,252,127,-0.0004691741068131373,-4.691741068131373,0.00025674820144859354,0.010980492667021533,0.5118110236220472,0.4881889763779528,3758.251968503937,0.00776529096684714,0.0009743611644677463,-0.48151971150187206,4,0.0008191656512335611,-0.5727463134063541,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M2_INDUSTRY_SIZE,252,127,0.0011796236992235754,11.796236992235754,0.0010052865456772486,0.00821154290160539,0.5826771653543307,0.41732283464566927,3758.251968503937,0.003461247916334676,0.0007286566046089225,1.618902088805867,4,0.0006846448404190928,1.722971721369419,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,M3_FULL_CONTROLS,252,127,0.001360679668314114,13.60679668314114,0.0007562967119220163,0.007030668045046485,0.6141732283464567,0.3858267716535433,3758.251968503937,0.002850539686848744,0.0006238709055315862,2.1810276072334385,4,0.0006822385190368165,1.9944339557888344,False,False
2,delta_degree_percentile,ORIGINAL,future_excess_return,M1_NETWORK_ONLY,60,133,-0.004026945137697197,-40.26945137697197,-0.0035896688237665284,0.009116778753986794,0.3157894736842105,0.6842105263157895,3861.5714285714284,0.006613601120429293,0.0007905249747527633,-5.094013808933265,4,0.0008301293787594832,-4.850984967806976,False,False
