industry,n_stocks,driver_score,driver_share,mean_driver_share,mean_cross_driver_share,total_support_turnover
电子,4,0.361196165600545,0.4559801544187971,0.11399503860469927,0.3515034545572679,13
非银金融,2,0.1480805913014627,0.1869394454279497,0.09346972271397486,0.9746522103901326,10
银行,4,0.1152627025893643,0.1455095871187923,0.036377396779698076,0.45676808434771843,11
食品饮料,4,0.1104392908500623,0.1394204304798905,0.034855107619972625,0.5019604142217381,12
新能源,1,0.0571525784023218,0.0721503825545698,0.0721503825545698,1.0,4
