analysis_date,window,is_first_date,expected_node_count,actual_node_count,expected_edge_count,expected_common_node_count,dynamic_comparable_count,dynamic_comparable_share,current_common_edge_count,previous_common_edge_count,mean_neighbor_jaccard,median_neighbor_jaccard,mean_neighbor_retention,mean_abs_delta_residual_degree_percentile,mean_abs_delta_cross_industry_degree_percentile,mean_new_neighbor_count,mean_lost_neighbor_count,node_count_ok,key_unique,first_date_policy_ok,neighbor_identity_ok,neighbor_jaccard_valid,neighbor_retention_valid,common_degree_handshake_ok,delta_identity_ok,max_delta_identity_error,qa_pass,qa_errors
2015-04-30,60,True,1993,1993,19683,0,0,,0,0,,,,,,,,True,True,True,True,True,True,True,True,0.0,True,
2015-05-29,60,False,1914,1914,18070,1819,1819,0.9503657262277951,16972,17250,0.18410549745621632,0.15202876219825373,0.29403551757469637,0.17714101038916716,0.19351514206159062,10.68499175371083,10.990654205607477,True,True,True,True,True,True,True,True,0.0,True,
2015-06-30,60,False,1802,1802,15971,1663,1663,0.9228634850166482,14069,14257,0.17518709029569626,0.14285714285714285,0.28813967175726196,0.173408188656929,0.19156444973251896,9.919422730006014,10.145520144317498,True,True,True,True,True,True,True,True,0.0,True,
2015-07-31,60,False,1572,1572,11651,1423,1423,0.9052162849872774,9746,12188,0.1265615001105104,0.08333333333333333,0.18388891919106692,0.19810093307569204,0.2128201424939006,8.444132115249474,11.876317638791287,True,True,True,True,True,True,True,True,0.0,True,
2015-08-31,60,False,1645,1645,12766,1455,1455,0.8844984802431611,11290,10762,0.20187631928087008,0.14907407407407408,0.35755433791678315,0.1430199686194613,0.15053964158333671,7.30446735395189,6.578694158075601,True,True,True,True,True,True,True,True,0.0,True,
2015-09-30,60,False,1769,1769,15090,1570,1570,0.8875070661390616,13418,12190,0.19333299587579278,0.1473499361430396,0.33738264613226937,0.14531150858398456,0.15115376845556014,8.90828025477707,7.343949044585988,True,True,True,True,True,True,True,True,0.0,True,
2015-10-30,60,False,1962,1962,19104,1680,1680,0.8562691131498471,16300,13978,0.225117709678163,0.15789473684210525,0.4375982370811053,0.15063373467086683,0.15816971830852578,9.188095238095238,6.423809523809524,True,True,True,True,True,True,True,True,0.0,True,
2015-11-30,60,False,2037,2037,20591,1888,1888,0.9268532155130094,19197,18150,0.15567891376105275,0.1,0.33388407600928316,0.18019999157029631,0.18923666534363334,11.734110169491526,10.625,True,True,True,True,True,True,True,True,0.0,True,
2015-12-31,60,False,2119,2119,22259,1955,1955,0.9226050023596036,20503,19686,0.17189770447082417,0.125,0.3180374936886485,0.17015983269876225,0.18116389124992835,12.257800511508952,11.421994884910486,True,True,True,True,True,True,True,True,0.0,True,
2016-01-29,60,False,2199,2199,24016,2037,2037,0.9263301500682128,22106,21144,0.19539650534005107,0.14285714285714285,0.3245275411314019,0.14539590104499983,0.15584423530054833,11.301914580265096,10.357388316151203,True,True,True,True,True,True,True,True,0.0,True,
2016-02-29,60,False,2241,2241,24958,2128,2128,0.9495760821062026,23803,22944,0.2358069241029667,0.2,0.4129145878908846,0.13365945017273376,0.14248710960532215,10.421992481203008,9.614661654135338,True,True,True,True,True,True,True,True,0.0,True,
