factor_order,factor_name,target_name,target_role,window,year,month_count,mean_q5_minus_q1,median_q5_minus_q1,positive_spread_share,mean_portfolio_return_spearman,mean_q5_minus_q1_bps
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2015,9,-0.02616572557604928,-0.01723093834977485,0.3333333333333333,-0.2666666666666666,-261.6572557604928
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2016,12,-0.012131350864053028,-0.006652288257797346,0.5,-0.22499999999999995,-121.31350864053027
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2017,12,-0.0028772196936478734,-0.0009361321568733933,0.4166666666666667,-0.02499999999999999,-28.772196936478736
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2018,12,0.004639810819228734,0.005722925214445837,0.5833333333333334,0.18333333333333332,46.39810819228734
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2019,12,-0.007680367552756675,-0.010827299145414604,0.3333333333333333,-0.24166666666666667,-76.80367552756675
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2020,12,0.004398221076856635,0.0065878250529359545,0.5833333333333334,0.01666666666666668,43.98221076856635
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2021,12,-0.0019263346725835427,-0.01144645913325935,0.4166666666666667,-0.14166666666666664,-19.263346725835426
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2022,12,0.014348042592288468,0.010771026565573608,0.6666666666666666,0.25,143.48042592288468
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2023,12,0.0038766146910888823,0.001618810448010044,0.5833333333333334,0.024999999999999984,38.76614691088882
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2024,10,-0.0052105355182005585,-6.279726853172384e-05,0.5,-0.019999999999999973,-52.10535518200558
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2025,12,-0.00027349775383980757,0.0017484487666492238,0.5,0.008333333333333331,-2.7349775383980757
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,60,2026,6,-0.007983800807712896,-0.041719944193887665,0.16666666666666666,-0.4166666666666665,-79.83800807712896
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2015,1,0.012607852987023573,0.012607852987023573,1.0,-0.09999999999999999,126.07852987023573
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2016,12,-0.00958524663229362,-0.013667884624400672,0.4166666666666667,-0.22499999999999998,-95.85246632293621
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2017,12,0.0061431509228749145,0.01021178022502426,0.75,0.20833333333333334,61.43150922874914
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2018,12,0.0037363580294815426,0.0038744758208541456,0.5833333333333334,0.17499999999999996,37.36358029481543
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2019,12,-0.0018791268593192363,-0.001163752092192353,0.4166666666666667,-0.12499999999999999,-18.791268593192363
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2020,12,-0.0012760319070398648,0.001882335042239586,0.5833333333333334,-0.016666666666666663,-12.760319070398648
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2021,12,-0.006349624339283935,-0.011844093110481726,0.4166666666666667,-0.06666666666666665,-63.496243392839354
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2022,12,0.0066446285488207385,0.009534576540430245,0.5833333333333334,0.15833333333333333,66.44628548820738
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2023,12,0.0025640857714609084,-0.0076917506719066655,0.4166666666666667,-0.2333333333333333,25.640857714609083
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2024,12,0.00042144193018475875,0.002563898280518827,0.5,-0.016666666666666677,4.214419301847587
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2025,12,-0.004848582497086037,-0.0024178057063673456,0.4166666666666667,0.00833333333333334,-48.48582497086037
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,120,2026,7,-0.008551823189046476,-0.03962544566403515,0.14285714285714285,-0.457142857142857,-85.51823189046476
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2016,4,0.012996285181536595,0.016419973362251955,0.75,0.025000000000000036,129.96285181536595
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2017,12,0.012891072406143353,0.010101662882973851,0.8333333333333334,0.40833333333333327,128.91072406143354
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2018,12,0.0009538202859984173,0.002811255177511735,0.5833333333333334,0.17499999999999996,9.538202859984173
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2019,12,0.00567729138264893,0.00506278048382253,0.5833333333333334,0.04166666666666665,56.7729138264893
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2020,12,-0.0007599822745195714,0.0012806172329825056,0.5,-0.075,-7.5998227451957145
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2021,12,-0.013187308454041147,0.0003887494521114597,0.5,-0.2083333333333333,-131.87308454041147
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2022,12,-0.0005526481928446148,0.0013965913538602527,0.5833333333333334,0.15833333333333333,-5.526481928446148
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2023,12,0.001473315993531533,-0.008235840495121768,0.3333333333333333,-0.19999999999999996,14.733159935315332
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2024,12,-0.0035563465728053975,0.005614747428368346,0.5833333333333334,0.008333333333333323,-35.56346572805398
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2025,12,-0.010333687370586273,-0.004722730916531097,0.3333333333333333,-0.0833333333333333,-103.33687370586273
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,252,2026,7,-0.004241763986510014,-0.011453278174024384,0.14285714285714285,-0.2857142857142857,-42.41763986510014
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2015,9,-0.02615554582176966,-0.017226386167861023,0.3333333333333333,-0.2666666666666666,-261.55545821769664
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2016,12,-0.012127035908013076,-0.00664992367465711,0.5,-0.22499999999999995,-121.27035908013076
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2017,12,-0.0028764388335648546,-0.0009359520584500082,0.4166666666666667,-0.02499999999999999,-28.764388335648544
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2018,12,0.004640556007395276,0.005734271653617881,0.5833333333333334,0.18333333333333332,46.405560073952756
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2019,12,-0.007678465239011931,-0.010824495734555078,0.3333333333333333,-0.24166666666666667,-76.7846523901193
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,60,2020,12,0.004396548795363623,0.0065857900581063385,0.5833333333333334,0.01666666666666668,43.965487953636234
