factor_order,factor_name,target_name,target_role,mean_spread_w60,mean_spread_w120,mean_spread_w252,hac_t_w60,hac_t_w120,hac_t_w252,same_spread_sign_all_windows,cross_window_spread_range,factor_orientation,window_selected_from_outcome
1,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,-0.002308365913546955,-0.0007843927634585916,-0.0005583267288833699,-0.8594840947046708,-0.3594615839594666,-0.23064579377785457,True,0.0017500391846635849,ORIGINAL,False
2,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,-0.012462632493069958,-0.011493570029101011,-0.00960487904215973,-5.061330879754029,-4.511254346314275,-3.416634738950662,True,0.002857753450910227,ORIGINAL,False
3,cross_industry_degree_percentile,future_excess_return,PRIMARY_ALPHA,-0.0014100165243722063,-0.000648150583814872,0.0007322952398276538,-0.5356189213280881,-0.2780550481288495,0.2723784691757997,False,0.00214231176419986,ORIGINAL,False
4,cross_industry_degree_ratio,future_excess_return,PRIMARY_ALPHA,0.0011862544551528818,0.0015435086863436094,-0.0014395273941908116,0.4650449508277176,0.6656960188271218,-0.6625192427992498,False,0.002983036080534421,ORIGINAL,False
5,delta_residual_degree_percentile_1m,future_excess_return,PRIMARY_ALPHA,0.0021327142980837625,0.000992400595117354,-0.0003191857248828601,1.5777390731579757,0.692454870669487,-0.2457156040613985,False,0.0024519000229666224,ORIGINAL,False
6,delta_cross_industry_degree_percentile_1m,future_excess_return,PRIMARY_ALPHA,0.0019739158416049395,0.0013375657631178063,-0.0002537915886078901,1.7041741743351848,1.207475844237912,-0.201781546828406,False,0.0022277074302128295,ORIGINAL,False
7,neighbor_jaccard_1m,future_excess_return,PRIMARY_ALPHA,0.00015529996592301572,0.0005639728283654218,0.0024321012373961968,0.07456458946463301,0.2957142310029184,1.4525812731873935,True,0.002276801271473181,ORIGINAL,False
8,neighbor_retention_1m,future_excess_return,PRIMARY_ALPHA,0.0012477590233718663,0.00034766517167401245,0.0010707535702158765,0.6906457295915641,0.20621675067173226,0.7726503816015451,True,0.0009000938516978538,ORIGINAL,False
9,outside_community_degree_percentile,future_excess_return,PRIMARY_ALPHA,-0.002055717559588926,-0.004077447636012987,-0.0006427100096467287,-0.5837501649682854,-1.1798133921727572,-0.10389338796872304,True,0.003434737626366258,ORIGINAL,False
1,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,-0.0023068809249551674,-0.0007837308614023399,-0.0005571088402290747,-0.8591389908418918,-0.3592405354952595,-0.23020212209531413,True,0.0017497720847260926,ORIGINAL,False
2,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,-0.01245932715930647,-0.01149059082792284,-0.009603265418251123,-5.061587728185294,-4.511148641790694,-3.4166801275794225,True,0.0028560617410553473,ORIGINAL,False
3,cross_industry_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,-0.0014088076137136502,-0.0006475228949738777,0.0007331076858028776,-0.5352830076005609,-0.27784450717947157,0.2727387253943674,False,0.0021419152995165278,ORIGINAL,False
4,cross_industry_degree_ratio,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.0011853148391700286,0.0015419514093417796,-0.0014428140566850023,0.4647766251822211,0.6651680392767244,-0.6641683864484282,False,0.0029847654660267817,ORIGINAL,False
5,delta_residual_degree_percentile_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.002132174348884993,0.0009922656162657452,-0.00031950392445281953,1.5777041245774615,0.6925080504297214,-0.24598825844358738,False,0.0024516782733378126,ORIGINAL,False
6,delta_cross_industry_degree_percentile_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.0019735035183396157,0.0013376048823399733,-0.00025358586987731245,1.7042036465662707,1.2077475796631014,-0.201667288052909,False,0.002227089388216928,ORIGINAL,False
7,neighbor_jaccard_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.00015558493862651902,0.0005645528927027621,0.002432219735000842,0.07471771093767304,0.29608457873789984,1.452895850896303,True,0.002276634796374323,ORIGINAL,False
8,neighbor_retention_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.0012477953015260887,0.00034799291780664594,0.0010709607336861335,0.6908316739762381,0.2064648020300759,0.773014721845629,True,0.0008998023837194428,ORIGINAL,False
9,outside_community_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,-0.0020548387310354954,-0.004076444200257233,-0.0006428731442139401,-0.5836307082878535,-1.1797963361335808,-0.10394803484976031,True,0.0034335710560432927,ORIGINAL,False
