analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,turnover,total_abs_trade_weight,strategy_nav_cny,leg_gross_notional_cny,strategy_gross_exposure,trade_notional_cny
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.6199809016588815,1.239961803317763,100000000.0,100000000.0,2.0,123996180.3317763
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.4241363154958461,0.8482726309916921,100000000.0,100000000.0,2.0,84827263.09916921
2015-08-31,2015-07-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.59079708859357,1.18159417718714,100000000.0,100000000.0,2.0,118159417.71871401
2015-08-31,2015-07-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.5989158222974613,1.1978316445949226,100000000.0,100000000.0,2.0,119783164.45949227
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.8504800078231296,1.7009600156462592,100000000.0,100000000.0,2.0,170096001.56462592
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.8549081000099833,1.7098162000199666,100000000.0,100000000.0,2.0,170981620.00199667
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.49014094017148613,0.9802818803429723,100000000.0,100000000.0,2.0,98028188.03429723
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.4832516838975182,0.9665033677950364,100000000.0,100000000.0,2.0,96650336.77950364
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.844360029314729,1.688720058629458,100000000.0,100000000.0,2.0,168872005.8629458
2015-08-31,2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.8368520072800322,1.6737040145600643,100000000.0,100000000.0,2.0,167370401.45600644
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.7129150404289462,1.4258300808578923,100000000.0,100000000.0,2.0,142583008.08578923
2015-08-31,2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.6963633182205983,1.3927266364411965,100000000.0,100000000.0,2.0,139272663.64411965
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.7826730202908697,1.5653460405817394,100000000.0,100000000.0,2.0,156534604.05817395
2015-08-31,2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.7566483622250333,1.5132967244500666,100000000.0,100000000.0,2.0,151329672.44500667
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.5898459302473855,1.179691860494771,100000000.0,100000000.0,2.0,117969186.0494771
2015-08-31,2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.5403493571389684,1.0806987142779367,100000000.0,100000000.0,2.0,108069871.42779367
2015-08-31,2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.5926360897556515,1.185272179511303,100000000.0,100000000.0,2.0,118527217.9511303
2015-08-31,2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,0.42622365452427535,0.8524473090485507,100000000.0,100000000.0,2.0,85244730.90485507
2015-08-31,2015-07-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,0.5083108246862232,1.0166216493724465,100000000.0,100000000.0,2.0,101662164.93724465
