old_status,new_status,count
INCOMPLETE_DRIFT_RETURN,INCOMPLETE_DEDICATED_DRIFT_RETURN,256
INCOMPLETE_DRIFT_RETURN,PASS,54
NO_PREVIOUS_FORMATION,NO_PREVIOUS_FORMATION,54
PASS,INCOMPLETE_DEDICATED_DRIFT_RETURN,176
PASS,PASS,6626
