analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,security_id,previous_target_weight,dedicated_drift_status,drift_total_return
2018-12-28,2018-11-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600270.XSHG,0.0014903129657228018,MISSING_SOURCE_RECORD,
2021-03-31,2021-02-26,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600978.XSHG,0.0012755102040816326,MISSING_SOURCE_RECORD,
2021-09-30,2021-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600068.XSHG,0.0012004801920768306,MISSING_SOURCE_RECORD,
2022-04-29,2022-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002619.XSHE,0.0011198208286674132,MISSING_SOURCE_RECORD,
2023-02-28,2023-01-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600260.XSHG,0.001059322033898305,MISSING_SOURCE_RECORD,
2023-03-31,2023-02-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600139.XSHG,0.0010515247108307045,MISSING_SOURCE_RECORD,
2023-03-31,2023-02-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600311.XSHG,0.0010515247108307045,MISSING_SOURCE_RECORD,
2023-06-30,2023-05-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600122.XSHG,0.0010351966873706005,MISSING_SOURCE_RECORD,
2024-01-31,2023-12-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,002776.XSHE,0.0010030090270812437,MISSING_SOURCE_RECORD,
2025-04-30,2025-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,300117.XSHE,0.0009910802775024777,MISSING_SOURCE_RECORD,
2025-04-30,2025-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600070.XSHG,0.0009910802775024777,MISSING_SOURCE_RECORD,
2025-04-30,2025-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,600811.XSHG,0.0009910802775024777,MISSING_SOURCE_RECORD,
