window,network_id,transition_count,node_jaccard_mean,node_jaccard_median,node_jaccard_p10,node_jaccard_p90,full_edge_jaccard_mean,full_edge_jaccard_median,full_edge_jaccard_p10,full_edge_jaccard_p90,common_edge_jaccard_mean,common_edge_jaccard_median,common_edge_jaccard_p10,common_edge_jaccard_p90,forward_edge_retention_mean,forward_edge_retention_median,forward_edge_retention_p10,forward_edge_retention_p90,backward_edge_retention_mean,backward_edge_retention_median,backward_edge_retention_p10,backward_edge_retention_p90,symmetric_edge_retention_mean,symmetric_edge_retention_median,symmetric_edge_retention_p10,symmetric_edge_retention_p90,edge_turnover_mean,edge_turnover_median,edge_turnover_p10,edge_turnover_p90,node_degree_rank_spearman_mean,node_degree_rank_spearman_median,node_degree_rank_spearman_p10,node_degree_rank_spearman_p90,node_strength_rank_spearman_mean,node_strength_rank_spearman_median,node_strength_rank_spearman_p10,node_strength_rank_spearman_p90,node_top1pct_degree_hub_retention_mean,node_top1pct_degree_hub_retention_median,node_top1pct_degree_hub_retention_p10,node_top1pct_degree_hub_retention_p90,node_top5pct_degree_hub_retention_mean,node_top5pct_degree_hub_retention_median,node_top5pct_degree_hub_retention_p10,node_top5pct_degree_hub_retention_p90,node_top1pct_strength_hub_retention_mean,node_top1pct_strength_hub_retention_median,node_top1pct_strength_hub_retention_p10,node_top1pct_strength_hub_retention_p90,node_top5pct_strength_hub_retention_mean,node_top5pct_strength_hub_retention_median,node_top5pct_strength_hub_retention_p10,node_top5pct_strength_hub_retention_p90,community_active_node_jaccard_mean,community_active_node_jaccard_median,community_active_node_jaccard_p10,community_active_node_jaccard_p90,community_community_temporal_nmi_mean,community_community_temporal_nmi_median,community_community_temporal_nmi_p10,community_community_temporal_nmi_p90,community_community_temporal_ari_mean,community_community_temporal_ari_median,community_community_temporal_ari_p10,community_community_temporal_ari_p90,same_industry_edge_retention_mean,same_industry_edge_retention_median,same_industry_edge_retention_p10,same_industry_edge_retention_p90,cross_industry_edge_retention_mean,cross_industry_edge_retention_median,cross_industry_edge_retention_p10,cross_industry_edge_retention_p90,same_minus_cross_retention_mean,same_minus_cross_retention_median,same_minus_cross_retention_p10,same_minus_cross_retention_p90
60,B0_RAW_POSITIVE,137,0.9670204226960097,0.9872170439414114,0.9173634479993311,0.9954692193677039,0.23846565841585077,0.2260906779447675,0.16931374795976795,0.3140994259401534,0.24351103052544018,0.22998440558744485,0.18022336864655078,0.3184712246973992,0.39037964138526404,0.3808184654157638,0.31230623197033996,0.4853862777954682,0.3846267076073612,0.3695103190038025,0.3037519055222265,0.48081926286653626,0.3874131439928751,0.37396312431717943,0.30540328451277243,0.48309127335959456,0.7564889694745598,0.7700155944125552,0.6815287753026008,0.8197766313534492,0.7508031905838116,0.7497742351634235,0.6795827647103622,0.8163984306548215,0.7525070172516523,0.7520276274694859,0.681649880645863,0.8180589995009033,0.3630355396775185,0.3695652173913043,0.21512605042016808,0.4873469387755102,0.501639226944516,0.5054945054945055,0.3911626622479978,0.6204785448330588,0.36446286838486586,0.37142857142857144,0.2334841628959276,0.486984126984127,0.5025551440507932,0.5024154589371981,0.3849906103286385,0.6204785448330588,0.7738782776022106,0.7693661971830986,0.671484565600888,0.8789027917346501,0.43241245688187474,0.42417063191767734,0.31539736935300966,0.5428178230318036,0.32232004571533834,0.3225105451943919,0.17477411928271364,0.4603194020242796,0.5085429596494597,0.5105580693815988,0.4212516145516987,0.5932958331350731,0.3640519490761468,0.35842009293570964,0.28000300088388286,0.46144097766439385,0.14449101057331293,0.14430474677163554,0.07029661558724104,0.22048932755055228
60,M1_RESIDUAL_POSITIVE,137,0.9670204226960097,0.9872170439414114,0.9173634479993311,0.9954692193677039,0.2737448718278646,0.26756351309226933,0.18091043161650672,0.3580280220718284,0.28212884846663033,0.2747750858225151,0.1956591489927739,0.36849605124461554,0.4361889682043403,0.432845677130956,0.319595912341477,0.5396202474861722,0.43371651520537674,0.4283655744176865,0.32732272504905513,0.5338054072651164,0.43486895379011753,0.43109578917636865,0.3272711403807893,0.5385414872470089,0.7178711515333697,0.7252249141774849,0.6315039487553844,0.8043408510072262,0.7263125096376198,0.7427687253522433,0.5977779244958508,0.8260466930732426,0.732186434627039,0.7490528883168985,0.6051364573856108,0.8282017078022906,0.3880689870337833,0.41935483870967744,0.09845201238390096,0.625,0.5347501549783834,0.56,0.3287523314027682,0.6942608695652174,0.39718934262404165,0.42105263157894735,0.12205882352941178,0.6463235294117647,0.5471296939480312,0.5605381165919282,0.34483821263482284,0.7082105263157895,0.974286375195038,0.9923749719668087,0.9392975291138527,0.9995252760348315,0.32467133365238354,0.3063305262288463,0.20743155791493437,0.4531238868779864,0.2814157665133227,0.26082154345318315,0.14391814639732042,0.4293845657065171,0.5941857434041145,0.5954814673290026,0.5098838993031889,0.6741899746133829,0.3840400423633116,0.38807762327148776,0.27205842811850695,0.4895408084148111,0.21014570104080288,0.20778652288427585,0.14841928560889997,0.28273295831141615
120,B0_RAW_POSITIVE,134,0.9777401304729499,0.9909469841918652,0.9395606642711409,0.9979848572715844,0.4239344804953246,0.42036010734322105,0.33250520835362335,0.5101584518432708,0.4291224214974509,0.42852657417434764,0.3375523154075564,0.5137226478229885,0.6019952042075717,0.6054072416633999,0.5104521130760438,0.681249925047394,0.5915664062035167,0.5907290105934009,0.4982063251246617,0.6728666676556897,0.5966314268082857,0.5999557531493356,0.5047312433983716,0.6787539955087079,0.5708775785025492,0.5714734258256524,0.48627735217701157,0.6624476845924435,0.8759049417338132,0.8807365842126749,0.827065245853842,0.9154497316528156,0.8779871257039175,0.8823958286238904,0.8289438660029299,0.9173817326977253,0.5626698414806093,0.5714285714285714,0.42105263157894735,0.680595744680851,0.6782353625268276,0.6879206757916609,0.5872965879265092,0.7626459143968871,0.5662577502748981,0.5823643410852714,0.4294117647058823,0.680595744680851,0.6791317413780847,0.6878309011260717,0.5860566989007356,0.7611399726574823,0.847134177522805,0.8462484725623031,0.775462571119575,0.917626505916981,0.5963661678628612,0.6023200431681803,0.4893062754592691,0.6916963123809293,0.49509521711345617,0.5130523873220867,0.3347993606503145,0.653026818157039,0.7032091877759563,0.7115687602926696,0.6253845046854294,0.7775772336556447,0.5751199561711332,0.5733875427760113,0.47630679084827904,0.658336599295046,0.12808923160482305,0.13162013500591402,0.06427333569943386,0.20166935916873416
120,M1_RESIDUAL_POSITIVE,134,0.9777401304729499,0.9909469841918652,0.9395606642711409,0.9979848572715844,0.4885377544964998,0.4884860718018017,0.37270348341621046,0.5955361227232353,0.4985814964750563,0.4946806393220221,0.38714242187448517,0.6063695391282452,0.6634423913369535,0.6667092899071975,0.5613595523211196,0.7551206691527204,0.6580030971744588,0.6593471582412496,0.5538751773551377,0.7509556134400212,0.660657716093771,0.6619201368593751,0.5581869695912842,0.7549560698408603,0.5014185035249438,0.5053193606779779,0.3936304608717548,0.6128575781255148,0.8900819637260933,0.8989885921800564,0.8190222189552829,0.9402273451957274,0.8948930837082538,0.9019095358442676,0.8251583524172894,0.9426392165560177,0.6175372050750678,0.6485294117647059,0.43825000000000003,0.7834312573443009,0.7351614789977778,0.749384236453202,0.6284296576589441,0.8494857689547954,0.6349287118137296,0.6626016260162602,0.45454545454545453,0.793813387423935,0.7460182763111189,0.7615191825718142,0.6247473746780265,0.8606429463171037,0.9605217075600262,0.9732097411771421,0.9028863342138617,0.9961319348490724,0.4941895423593003,0.4924368323119023,0.3517850921881239,0.628237446668017,0.4475608347455678,0.4504543797364622,0.2847965694456689,0.6128616429575986,0.7707471824846815,0.7741260696434897,0.6997876715382718,0.831562056904903,0.6178643765682411,0.6222349925563908,0.5100052858504749,0.720836431167089,0.15288280591644024,0.15168518377052015,0.07953679590786221,0.2298981697842238
252,B0_RAW_POSITIVE,128,0.982425081041339,0.9911163359953454,0.9546922722966572,0.9982183506184447,0.601653229016857,0.6037000004402763,0.5098739283963556,0.6774803839709506,0.6077628071960908,0.6143470103962482,0.5114227245675728,0.6840957941920324,0.7601081355968293,0.7668573458709494,0.6914526037274094,0.8176493925678026,0.7469424838223432,0.7536199493367141,0.6678761476811865,0.8063224916616761,0.7533606672267473,0.7611089876063719,0.6767419552860395,0.8124135362466212,0.39223719280390923,0.38565298960375183,0.3159042058079676,0.48857727543242724,0.9412306419103007,0.9452001180916583,0.9174988141874182,0.9630836417189981,0.9432489509558643,0.9471187021508412,0.9200209420582237,0.9651917275214655,0.7340799348784875,0.7444334487877289,0.6338266384778013,0.8384864864864865,0.7967042396671962,0.8013009931872281,0.7258402057284739,0.858924794359577,0.7345347463930307,0.7391304347826086,0.617948717948718,0.8409411764705882,0.7974103558874064,0.8031178524136271,0.723015873015873,0.8581756756756757,0.9053831576274141,0.9085106441377644,0.8637019755440657,0.9431081971139453,0.7045358468431344,0.7070807025323484,0.6066839538702908,0.7934833323028185,0.6116308158352963,0.6367155019638242,0.4292149738903854,0.7379033384468243,0.832742976241919,0.8392683469449667,0.7806765621265521,0.8796556985053431,0.7361684608670739,0.7433652342969932,0.6596373767680346,0.8026202941015026,0.0965745153748451,0.09857567325553468,0.04606542454003809,0.15248921706634616
252,M1_RESIDUAL_POSITIVE,128,0.982425081041339,0.9911163359953454,0.9546922722966572,0.9982183506184447,0.6860720455553058,0.6920184534775475,0.5952287986700164,0.7559359926881863,0.6968743202605316,0.702157980505603,0.6093342280246511,0.7633620416280604,0.8231978694863219,0.8284935812025176,0.7621168300121093,0.8692559859158664,0.8155154682947745,0.8225941381609331,0.7518521952161005,0.8629670728325406,0.8192987473392466,0.8250209229776564,0.7572500679350779,0.8658029551905477,0.3031256797394683,0.29784201949439704,0.23663795837193954,0.39066577197534896,0.9581093276873143,0.9664943699768236,0.9284753959678903,0.9790359354272972,0.9612738629044274,0.9696602491803497,0.9333411918932162,0.9806507354566275,0.7780118307839841,0.8060035842293907,0.6354575163398692,0.8914806110458284,0.8568944178479854,0.8730123180291154,0.7816843546730572,0.9219012428619416,0.7896032802972075,0.8,0.6438502673796792,0.9,0.8673201674080935,0.8823781291172595,0.7770818014705883,0.9357374517374517,0.9493743852389469,0.9579419933208078,0.9239797666639471,0.9744800105979206,0.6632014646278596,0.6681416337966068,0.5370139034080089,0.7794164133118839,0.6218058812933825,0.6201839900895643,0.4635627239078032,0.7754923488086819,0.8793818904330613,0.884431019387031,0.8436642469037933,0.910391812282877,0.7918865127655912,0.799999428746712,0.7214996580348636,0.8505602962377551,0.08749537766747012,0.0849740818379287,0.03472054655549449,0.13828696613051972
