window,date_t,date_t1,common_edge_jaccard_raw,forward_edge_retention_raw,symmetric_edge_retention_raw,node_degree_rank_spearman_raw,node_strength_rank_spearman_raw,node_top1pct_degree_hub_retention_raw,node_top5pct_degree_hub_retention_raw,community_community_temporal_nmi_raw,community_community_temporal_ari_raw,same_industry_edge_retention_raw,cross_industry_edge_retention_raw,same_minus_cross_retention_raw,common_edge_jaccard_residual,forward_edge_retention_residual,symmetric_edge_retention_residual,node_degree_rank_spearman_residual,node_strength_rank_spearman_residual,node_top1pct_degree_hub_retention_residual,node_top5pct_degree_hub_retention_residual,community_community_temporal_nmi_residual,community_community_temporal_ari_residual,same_industry_edge_retention_residual,cross_industry_edge_retention_residual,same_minus_cross_retention_residual,common_edge_jaccard_residual_minus_raw,forward_edge_retention_residual_minus_raw,symmetric_edge_retention_residual_minus_raw,node_degree_rank_spearman_residual_minus_raw,node_strength_rank_spearman_residual_minus_raw,node_top1pct_degree_hub_retention_residual_minus_raw,node_top5pct_degree_hub_retention_residual_minus_raw,community_community_temporal_nmi_residual_minus_raw,community_community_temporal_ari_residual_minus_raw,same_industry_edge_retention_residual_minus_raw,cross_industry_edge_retention_residual_minus_raw,same_minus_cross_retention_residual_minus_raw
60,2015-04-30,2015-05-29,0.19680355479108436,0.3349801768831961,0.32888196898017846,0.6704837249621005,0.6730106290027957,0.15789473684210525,0.4175824175824176,0.31551873365863414,0.20420563672466968,0.5121473354231975,0.302318861518457,0.20982847390474046,0.2689854642539306,0.4205217391304348,0.4239378177780375,0.6611854024501083,0.6695926862902148,0.47368421052631576,0.6923076923076923,0.20799031389925338,0.1387520311461097,0.6280582223598637,0.3727266243491905,0.25533159801067323,0.07218190946284625,0.08554156224723869,0.09505584879785905,-0.009298322511992252,-0.0034179427125808903,0.3157894736842105,0.2747252747252747,-0.10752841975938077,-0.06545360557855998,0.11591088693666629,0.07040776283073352,0.04550312410593277
60,2015-05-29,2015-06-30,0.20337179105113032,0.34835557500182307,0.33800325479374516,0.7164491254825686,0.7171459429728706,0.4117647058823529,0.4166666666666667,0.2871954166859716,0.1519005459789748,0.5283018867924528,0.31544897783145004,0.21285290896100278,0.2586536325261053,0.40829066423511257,0.41100049424556945,0.6874147792890997,0.6963446673684832,0.6470588235294118,0.6666666666666666,0.24582186620543553,0.14799813584085958,0.6065057712486883,0.35857167924197225,0.24793409200671607,0.055281841474974974,0.059935089233289496,0.07299723945182429,-0.029034346193468896,-0.02080127560438738,0.23529411764705888,0.24999999999999994,-0.041373550480536064,-0.0039024101381152088,0.0782038844562355,0.04312270141052221,0.03508118304571328
60,2015-06-30,2015-07-31,0.16162712565255596,0.26959220622467456,0.2782771202278188,0.602713543176019,0.6053352650286606,0.06666666666666667,0.3055555555555556,0.293980663744556,0.12735434339275933,0.3930704898446834,0.24876574307304786,0.14430474677163554,0.2054297647834689,0.3066951099442074,0.34084070392997173,0.600045698045111,0.6062123722760093,0.2,0.4305555555555556,0.23936225731693864,0.12494373552725185,0.44724061810154525,0.2746145318955961,0.17262608620594916,0.043802639130912924,0.03710290371953284,0.06256358370215293,-0.0026678451309080087,0.0008771072473486852,0.13333333333333336,0.125,-0.054618406427617366,-0.0024106078655074803,0.05417012825686185,0.025848788822548235,0.028321339434313614
60,2015-07-31,2015-08-31,0.21878446944628283,0.3814423076923077,0.35902077017059597,0.7614344082605274,0.7635908592954518,0.26666666666666666,0.4657534246575342,0.46612373697675286,0.33271008841258254,0.5274542429284526,0.3623613829093281,0.16509286001912443,0.3717342622542921,0.5552871213529084,0.5419916560856158,0.7683439694351049,0.7740380522952108,0.4,0.6438356164383562,0.47193277932950983,0.4002734967281338,0.6684420772303595,0.5369330453563715,0.131509031873988,0.1529497928080093,0.17384481366060067,0.18297088591501987,0.006909561174577417,0.010447192999759047,0.13333333333333336,0.17808219178082196,0.005809042352756977,0.06756340831555124,0.14098783430190698,0.17457166244704342,-0.03358382814513644
60,2015-08-31,2015-09-30,0.23919519460858524,0.4084049028600017,0.3860492610837438,0.6894831928010761,0.6914305557106692,0.5625,0.5063291139240507,0.5192570277215213,0.36783751989184105,0.45546088303640586,0.4027284619697253,0.05273242106668058,0.33493197101600375,0.5270713699753896,0.5017963136519837,0.7520335839307408,0.7541998901480846,0.125,0.6708860759493671,0.42442447544479195,0.3012261800824827,0.6578778135048231,0.507945463093559,0.14993235041126407,0.09573677640741851,0.11866646711538792,0.11574705256823992,0.06255039112966476,0.06276933443741539,-0.4375,0.16455696202531644,-0.09483255227672932,-0.06661133980935835,0.20241693046841724,0.10521700112383375,0.09719992934458349
60,2015-09-30,2015-10-30,0.22982524608646632,0.4050749006420055,0.37375268855117944,0.7472815244343541,0.746608693246835,0.4117647058823529,0.5,0.5092321775661125,0.3151058755328866,0.48521183053557154,0.39660272120341417,0.08860910933215738,0.39555678466076694,0.6139648018314494,0.5668802430807848,0.7450800400158879,0.7499804990180221,0.47058823529411764,0.6666666666666666,0.4272701168156004,0.35567700851497513,0.7142857142857143,0.6,0.11428571428571432,0.16573153857430062,0.2088899011894439,0.19312755452960534,-0.0022014844184662374,0.0033718057711871197,0.05882352941176472,0.16666666666666663,-0.0819620607505121,0.04057113298208853,0.22907388375014276,0.2033972787965858,0.025676604953556947
60,2015-10-30,2015-11-30,0.17700876376360308,0.3149237534982009,0.30077730805945724,0.6986828774488417,0.6987425775479742,0.47368421052631576,0.42105263157894735,0.4153883353077937,0.22061602699654434,0.4219077568134172,0.3018396256650215,0.12006813114839571,0.27782529852533616,0.4473829201101928,0.4348408172008461,0.6568235720057234,0.6609150465419773,0.42105263157894735,0.42105263157894735,0.2939447212423519,0.20602874730330453,0.6106194690265486,0.42283070292197505,0.18778876610457357,0.10081653476173308,0.13245916661199192,0.13406350914138887,-0.04185930544311833,-0.037827531005996895,-0.05263157894736842,0.0,-0.1214436140654418,-0.014587279693239807,0.18871171221313143,0.12099107725695357,0.06772063495617786
60,2015-11-30,2015-12-31,0.14780326758655718,0.2687807881773399,0.2575411166015193,0.5700140619008971,0.5717735764043752,0.25,0.3469387755102041,0.38894765725740277,0.22876383181438423,0.4776186213070725,0.241741045554654,0.2358775757524185,0.26907288114184663,0.432845677130956,0.42404638085048146,0.6816962514786654,0.6902571858820461,0.4,0.5,0.2515969329818067,0.18935955876476399,0.6035136066138478,0.4033247929452422,0.20018881366860558,0.12126961355528945,0.1640648889536161,0.16650526424896217,0.11168218957776832,0.11848360947767089,0.15000000000000002,0.15306122448979592,-0.13735072427559608,-0.03940427304962024,0.1258949853067753,0.1615837473905882,-0.035688762083812914
60,2015-12-31,2016-01-29,0.22577530073943272,0.3787198593048549,0.36837958898867806,0.7474977459012428,0.7510978159345756,0.38095238095238093,0.5098039215686274,0.43073138313558695,0.3161822999470539,0.46742719903932756,0.362551980739768,0.10487521829955954,0.3244526106262441,0.5010877790389708,0.4899421965317919,0.7678302270562235,0.7735213507305704,0.47619047619047616,0.5784313725490197,0.27908438216820564,0.21931809368674435,0.630237825594564,0.4751873722461958,0.1550504533483682,0.09867730988681137,0.12236791973411593,0.12156260754311382,0.020332481154980653,0.022423534795994793,0.09523809523809523,0.06862745098039225,-0.15164700096738132,-0.09686420626030953,0.16281062655523643,0.11263539150642776,0.050175235048808664
60,2016-01-29,2016-02-29,0.29589739373509827,0.4624775122076587,0.45666793554117496,0.8356429072919844,0.8372929046913727,0.2727272727272727,0.5981308411214953,0.5163548227726014,0.46137979531334955,0.5380397532556546,0.4516839631877815,0.08635579006787308,0.3735785854905533,0.5541317991631799,0.5439493443429525,0.7956667585782755,0.800263089968651,0.5454545454545454,0.6542056074766355,0.3315214552557996,0.3017178864539055,0.6818181818181818,0.5308215647871354,0.1509966170310464,0.07768119175545501,0.09165428695552119,0.08728140880177754,-0.039976148713708914,-0.03702981472272171,0.2727272727272727,0.05607476635514019,-0.18483336751680174,-0.15966190885944403,0.1437784285625272,0.0791376015993539,0.0646408269631733
60,2016-02-29,2016-03-31,0.22014087382605144,0.3826974267968057,0.3608450115038695,0.7534309859672476,0.7534722100143182,0.2727272727272727,0.4392523364485981,0.4943649448701944,0.34698661123446917,0.4705648369132856,0.371666833116948,0.09889800379633762,0.2989891676645039,0.4629014873895236,0.4603412793688904,0.7119385187679895,0.7174967254734812,0.5,0.6261682242990654,0.2964124603815933,0.23837153825111163,0.6382282996432818,0.4331602037214462,0.20506809592183556,0.07884829383845246,0.0802040605927179,0.09949626786502092,-0.04149246719925803,-0.03597548454083699,0.2272727272727273,0.18691588785046725,-0.1979524844886011,-0.10861507298335754,0.16766346272999616,0.06149337060449822,0.10617009212549794
60,2016-03-31,2016-04-29,0.19826078138072661,0.3382352941176471,0.33091424581596596,0.667392420419873,0.6684866327070852,0.2727272727272727,0.4537037037037037,0.42404655288628024,0.3060842749206593,0.44749249892841836,0.32597296387165053,0.12151953505676782,0.2485172632916755,0.39438631875288876,0.3980998430673962,0.6224935801223123,0.6289772812027897,0.4090909090909091,0.6296296296296297,0.19989742077639422,0.17817970632095007,0.6065573770491803,0.35733675534277676,0.24922062170640358,0.05025648191094889,0.056151024635241686,0.06718559725143025,-0.04489884029756075,-0.039509351504295465,0.1363636363636364,0.17592592592592593,-0.22414913210988602,-0.12790456859970925,0.15906487812076198,0.03136379147112622,0.12770108664963575
60,2016-04-29,2016-05-31,0.2243258455713043,0.3703171854542383,0.36644794583524887,0.6557527579711575,0.6583546162668833,0.2727272727272727,0.5185185185185185,0.3484699725379649,0.20327859728165062,0.4884291725105189,0.35414165666266506,0.13428751584785387,0.21276155497504073,0.34950713800135963,0.3508712064663354,0.5946600218639014,0.6048683907156955,0.22727272727272727,0.5092592592592593,0.19345031032532134,0.1320407296474592,0.5606497249148547,0.3086363405852224,0.2520133843296323,-0.011564290596263571,-0.020810047452878677,-0.015576739368913461,-0.061092736107256074,-0.05348622555118776,-0.04545454545454544,-0.00925925925925919,-0.15501966221264357,-0.07123786763419143,0.07222055240433572,-0.04550531607744268,0.1177258684817784
