window,analysis_date_count,first_analysis_date,last_analysis_date,mean_node_count,min_node_count,max_node_count,qa_pass_share,mean_raw_isolated_share,mean_residual_isolated_share,mean_median_abs_delta_degree_percentile,mean_median_abs_delta_strength_percentile,max_raw_strength_float32_rank_diff,max_residual_strength_float32_rank_diff
60,138,2015-04-30,2026-09-03,3903.8115942028985,1572,5176,1.0,0.3049115069826278,0.02022465387059462,0.1731834866012028,0.1728456929242542,0.00026122025187858,0.00027746127527639164
120,135,2015-07-31,2026-09-03,3875.4518518518516,1506,5170,1.0,0.3233449843486605,0.04360366182261573,0.165306541583656,0.16495778220446988,0.0003320169480515167,0.0003320086366468411
252,129,2016-01-29,2026-09-03,3779.9147286821703,1487,5125,1.0,0.3132828310151008,0.08946018859240272,0.1606937333176187,0.15991314062343318,0.0003362739735509601,0.00025789426613742616
