analysis_date,window,density_fraction,common_node_count,common_valid_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_fraction,raw_residual_jaccard,raw_same_industry_edge_share,residual_same_industry_edge_share,residual_cross_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment,raw_positive_pair_share,residual_positive_pair_share,common_valid_pair_ratio,market_beta_mean,market_beta_median,market_r2_mean,market_r2_median,delta_market_r2_mean_1m,abs_delta_market_r2_mean_1m,delta_residual_edge_threshold_1m,abs_delta_residual_edge_threshold_1m,delta_residual_cross_industry_edge_share_1m,abs_delta_residual_cross_industry_edge_share_1m,delta_raw_residual_overlap_fraction_1m,abs_delta_raw_residual_overlap_fraction_1m,valid_stock_n,market_ew_return_1d,market_breadth_1d,cross_sectional_dispersion_1d,market_return_20d,market_vol_20d_ann,market_dispersion_20d,market_breadth_20d,market_return_60d,market_vol_60d_ann,market_dispersion_60d,market_breadth_60d
2021-12-31,120,0.01,4390,9628726,0.471167117357254,0.3296238780021667,0.5290018382543853,0.3596210056623222,0.272456302512281,0.3752219925846687,0.6247780074153313,5.498998226389975,7.573122929070802,0.8611393656855538,0.4932706569903433,0.9994676066849668,0.9926680606201094,0.9745460649261178,0.155321794567292,0.1375474286558211,0.002463252307073005,0.002463252307073005,0.006540924310684204,0.006540924310684204,-0.005186601314515427,0.005186601314515427,-0.014301984640471832,0.014301984640471832,4587,0.006004870772608449,0.5942882057989972,0.025713774989705902,0.025184226093547757,0.1398085347714674,0.027863350519445867,0.4907551059234894,0.0993198286172674,0.142392712883389,0.028214868990867604,0.48971433528528896
2021-12-31,252,0.01,4137,8549990,0.3989396393299103,0.256755918264389,0.5428601504111159,0.3725518525653374,0.3415010701879554,0.4311395454917601,0.5688604545082399,7.016445712141598,8.858148566373163,0.9146818885168286,0.4859929660736445,0.999377463088447,0.9900320988117745,0.9783127566651736,0.1449307267474461,0.1345681600596402,-0.0038256593440052222,0.0038256593440052222,0.0036958158016204834,0.0036958158016204834,-0.00969843330572695,0.00969843330572695,0.019707523421017115,0.019707523421017115,4587,0.006004870772608449,0.5942882057989972,0.025713774989705902,0.025184226093547757,0.1398085347714674,0.027863350519445867,0.4907551059234894,0.0993198286172674,0.142392712883389,0.028214868990867604,0.48971433528528896
2022-01-28,60,0.01,4502,10131029,0.6051925420761108,0.4172035753726959,0.3933175402230777,0.2448010419418454,0.2055374592833876,0.3008686210640608,0.6991313789359392,4.084009901751668,5.978231081750592,0.8658070172338861,0.4903567051283734,0.9999287388724812,0.9972503501984658,0.9960162446917832,0.2150847529305253,0.1854049936431316,0.060089118500861016,0.060089118500861016,0.020486593246460016,0.020486593246460016,-0.007122872594611751,0.007122872594611751,-0.09579854156636652,0.09579854156636652,4618,0.011973453255290617,0.7124296232135123,0.030167087785881345,-0.08681536553251212,0.24910051868274344,0.029338417881939916,0.43172526799306776,0.012980682093335805,0.1839763210160854,0.02850278274077387,0.4816537937896825
2022-01-28,120,0.01,4433,9818237,0.5051695108413696,0.3371261060237884,0.4794565195249638,0.3153191774398821,0.2598948890835387,0.3728789391130757,0.6271210608869243,5.220301789283858,7.489722479354236,0.8891262250035317,0.48946791567569614,0.9994613951321766,0.9936498715628254,0.9963671045017866,0.1792683015421801,0.1613204225035121,0.023946506974888093,0.023946506974888093,0.007502228021621704,0.007502228021621704,0.0023430534715930262,0.0023430534715930262,-0.04954531872942147,0.04954531872942147,4618,0.011973453255290617,0.7124296232135123,0.030167087785881345,-0.08681536553251212,0.24910051868274344,0.029338417881939916,0.43172526799306776,0.012980682093335805,0.1839763210160854,0.02850278274077387,0.4816537937896825
2022-01-28,252,0.01,4174,8703031,0.4065972566604614,0.2614375054836273,0.5444214638630357,0.3740241081789405,0.3427094105480868,0.4305297024014707,0.5694702975985293,7.016735143050753,8.814794108327254,0.9245898354263015,0.48362725583765015,0.9993087650996648,0.9886551393342844,0.988752702299699,0.151741560718872,0.1422703844834794,0.0068108339714259,0.0068108339714259,0.004681587219238337,0.004681587219238337,0.0006098430902894414,0.0006098430902894414,0.001561313451919788,0.001561313451919788,4618,0.011973453255290617,0.7124296232135123,0.030167087785881345,-0.08681536553251212,0.24910051868274344,0.029338417881939916,0.43172526799306776,0.012980682093335805,0.1839763210160854,0.02850278274077387,0.4816537937896825
2022-02-28,60,0.01,4532,10266362,0.630572497844696,0.4300520420074463,0.3563211673144171,0.2167827194879848,0.2143128488355103,0.2937475039692976,0.7062524960307024,4.261353056443176,5.8408155678191465,0.89242869090336,0.48910149476513687,0.9999139009623418,0.997400035863055,0.9987820672946388,0.2470643474534517,0.2201428508081666,0.0319795945229264,0.0319795945229264,0.012848466634750366,0.012848466634750366,0.007121117094763152,0.007121117094763152,-0.03699637290866059,0.03699637290866059,4637,0.0002926663976082514,0.42505930558550786,0.025368487501722124,-0.008841747289251467,0.266517602850915,0.026937188468204788,0.4998075651157145,-0.014128958780956435,0.19966602249314322,0.028104747192104172,0.4812026068420229
2022-02-28,120,0.01,4458,9929248,0.5158908367156982,0.3447873592376709,0.478266124159046,0.3142902525546672,0.2626797727913628,0.3622648350320267,0.6377351649679732,5.27300455614563,7.272064024406039,0.8951562092114126,0.4876832565769331,0.9994559447622378,0.9927101961473398,1.005783467540511,0.1893714483271333,0.1697041720026882,0.010103146784953193,0.010103146784953193,0.007661253213882502,0.007661253213882502,0.010614104081048903,0.010614104081048903,-0.0011903953659178068,0.0011903953659178068,4637,0.0002926663976082514,0.42505930558550786,0.025368487501722124,-0.008841747289251467,0.266517602850915,0.026937188468204788,0.4998075651157145,-0.014128958780956435,0.19966602249314322,0.028104747192104172,0.4812026068420229
2022-02-28,252,0.01,4196,8796501,0.4133758544921875,0.2692204117774963,0.5536747570056272,0.3828148334459937,0.3482748820553629,0.428318081054965,0.5716819189450351,7.12155492442794,8.75828518369472,0.9301019803214937,0.4829029178760964,0.9994763160555884,0.9883506674492948,0.9888116150462962,0.1563266825315469,0.1461973189939834,0.004585121812674925,0.004585121812674925,0.007782906293868963,0.007782906293868963,0.0022116213465057655,0.0022116213465057655,0.00925329314259149,0.00925329314259149,4637,0.0002926663976082514,0.42505930558550786,0.025368487501722124,-0.008841747289251467,0.266517602850915,0.026937188468204788,0.4998075651157145,-0.014128958780956435,0.19966602249314322,0.028104747192104172,0.4812026068420229
2022-03-31,60,0.01,4578,10476033,0.7259268760681152,0.4409205615520477,0.290893470790378,0.1702020709761737,0.1667716685757923,0.2912943871706758,0.7087056128293242,3.297452043494792,5.759547052789599,0.9614021834410029,0.49021409153636686,0.9999312764174167,0.9999240527260644,1.0105477605211557,0.3518213111246915,0.3370447063302585,0.1047569636712398,0.1047569636712398,0.010868519544601385,0.010868519544601385,0.0024531167986218128,0.0024531167986218128,-0.06542769652403913,0.06542769652403913,4667,-0.0021418537979421602,0.4420398542961217,0.028186729827124044,-0.06377304779448068,0.30792903537484584,0.02769719553559142,0.4378696435662944,-0.08547000061174204,0.2529106014485918,0.027766636466407223,0.46948111344685994
2022-03-31,120,0.01,4501,10122161,0.5624839067459106,0.3433880805969238,0.4107250471740054,0.2584354874804187,0.2373618122721569,0.3603204868554944,0.6396795131445057,4.742691823753089,7.199511204358721,0.9563554659918964,0.4851294106070828,0.999497494383964,0.9973529268316704,1.0041021644911508,0.2424002571664023,0.2259571379301422,0.053028808839269,0.053028808839269,-0.0013992786407471258,0.0013992786407471258,0.00194434817653244,0.00194434817653244,-0.06754107698504064,0.06754107698504064,4667,-0.0021418537979421602,0.4420398542961217,0.028186729827124044,-0.06377304779448068,0.30792903537484584,0.02769719553559142,0.4378696435662944,-0.08547000061174204,0.2529106014485918,0.027766636466407223,0.46948111344685994
