analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny,rebalance_type
2016-10-31,2016-09-30,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,692,0.9100655214530384,0.05084370056229507,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9491562994377049,0.9491562994377049,0.0,0,1267939881.8532207,4592243450.967911,285040189391.6637,0.0,PORTFOLIO_LEG
2016-11-30,2016-10-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,695,0.920976550802644,0.057996525749435035,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.942003474250565,0.942003474250565,0.0,0,1742108008.828206,6359610495.8425,183231686604.75143,0.0,PORTFOLIO_LEG
2017-12-29,2017-11-30,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,834,0.9234961255499843,0.05126870992556936,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9487312900744307,0.9487312900744307,0.0,0,500859054.76658756,3975425423.351571,119653623028.02176,0.0,PORTFOLIO_LEG
2018-02-28,2018-01-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,821,0.8851832140809794,0.05427425157885811,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9457257484211421,0.9457257484211421,0.0,0,553445002.8274318,4416166013.707882,107261313943.58348,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,503,1.7009600156462592,0.06989707351564661,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9301029264843532,0.9301029264843532,0.0,0,1513939957.8551614,4208348869.102147,20091492390.743626,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,782,1.683632532004272,0.05024347969685214,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9497565203031478,0.9497565203031478,0.0,0,1261425100.716519,2772984472.415103,17117791885.748226,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,433,0.9802818803429723,0.08061729178871598,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.919382708211284,0.919382708211284,0.0,0,2054517121.3230007,9441745525.5,173680672345.30786,0.0,PORTFOLIO_LEG
2015-10-30,2015-09-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,503,0.9559496940559693,0.056106780030688926,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9438932199693111,0.9438932199693111,0.0,0,1824632280.7129498,7675468513.417448,57809362807.36267,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,661,0.9671012419817989,0.06798097683189126,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9320190231681087,0.9320190231681087,0.0,0,1519243196.5930233,6351796749.636714,214657905805.77795,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,429,0.9665033677950364,0.05740373990919616,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9425962600908039,0.9425962600908039,0.0,0,1671619282.2426898,8194128353.289778,112034079556.90057,0.0,PORTFOLIO_LEG
