network,code,name,industry,degree,degree_centrality,weighted_degree,average_neighbor_corr,betweenness,closeness,component_id,component_size,is_leaf
mst,000001,平安银行,银行,2,0.14285714285714285,1.487557084559973,0.7437785422799865,0.3626373626373627,0.40907868757145244,1,15,False
mst,600036,招商银行,银行,2,0.14285714285714285,1.3070345262521257,0.6535172631260628,0.26373626373626374,0.3479300340070132,1,15,False
mst,601398,工商银行,银行,2,0.14285714285714285,1.3847253392003847,0.6923626696001923,0.14285714285714288,0.27505501821902306,1,15,False
mst,601288,农业银行,银行,1,0.07142857142857142,0.8543761153835311,0.8543761153835311,0.0,0.24173496641711648,1,15,True
mst,600519,贵州茅台,食品饮料,1,0.07142857142857142,0.8292622489017185,0.8292622489017185,0.0,0.32622117766437375,1,15,True
mst,000858,五粮液,食品饮料,4,0.2857142857142857,2.931652465084592,0.732913116271148,0.39560439560439564,0.39638720169098945,1,15,False
mst,000568,泸州老窖,食品饮料,1,0.07142857142857142,0.8757013491334861,0.8757013491334861,0.0,0.33492229769002246,1,15,True
mst,600887,伊利股份,食品饮料,1,0.07142857142857142,0.6471043685521058,0.6471043685521058,0.0,0.30276501679320494,1,15,True
mst,002460,赣锋锂业,新能源,1,0.07142857142857142,0.3944353306960623,0.3944353306960623,0.0,0.30544223093891903,1,15,True
mst,002415,海康威视,电子,2,0.14285714285714285,0.8976091373633,0.44880456868165,0.3626373626373627,0.3595252100715905,1,15,False
mst,000725,京东方A,电子,1,0.07142857142857142,0.4338461679024857,0.4338461679024857,0.0,0.22528847862777485,1,15,True
mst,603501,韦尔股份,电子,3,0.21428571428571427,1.386840344560846,0.4622801148536153,0.27472527472527475,0.289799545139016,1,15,False
mst,002475,立讯精密,电子,1,0.07142857142857142,0.4948357074630695,0.4948357074630695,0.0,0.22810137993979426,1,15,True
mst,601318,中国平安,非银金融,3,0.21428571428571427,1.9066844857185097,0.6355614952395032,0.7032967032967034,0.4844253372657618,1,15,False
mst,600030,中信证券,非银金融,3,0.21428571428571427,1.4501142039605992,0.48337140132019973,0.5384615384615385,0.4440425593151445,1,15,False
