code,n_obs,mean_daily_return,std_daily_return,annualized_volatility,min_return,max_return,name,industry
000001,865,6.979310157620545e-06,0.015013903716393037,0.23833833265106646,-0.10840929850718517,0.1169387975311027,平安银行,银行
600036,865,0.00032734011726218935,0.015587702212726902,0.24744710139483975,-0.08675874328189703,0.06904523984600086,招商银行,银行
601398,865,0.0011020360263499424,0.013131570680557512,0.20845722206653425,-0.06124362524071869,0.07922404205270062,工商银行,银行
601288,865,0.0014550022408795237,0.01518376847039413,0.24103485202467878,-0.07917802971218257,0.09598837582896302,农业银行,银行
600519,865,-0.00015968238116369308,0.015220649332845679,0.24162031756578506,-0.08223245291093129,0.09562309265363389,贵州茅台,食品饮料
000858,865,-0.0008222561087005012,0.01874865899626405,0.29762573472041126,-0.11304403760883375,0.10418176364861065,五粮液,食品饮料
000568,865,-0.0009280590893075796,0.022251128330478657,0.3532257117181822,-0.11072938989287717,0.10163544239846889,泸州老窖,食品饮料
600887,865,5.414607461496379e-05,0.015022741366050313,0.23847862599007125,-0.09671480771402452,0.09093670033284518,伊利股份,食品饮料
002460,865,-0.0003758878186217431,0.02941533306256524,0.4669539360941015,-0.10635901798741543,0.09636374841098094,赣锋锂业,新能源
002415,865,0.00023065942838239767,0.019168510759572613,0.30429067483976974,-0.0756485819620738,0.08928369752726617,海康威视,电子
000725,865,0.0006103001466163894,0.02122235458381891,0.33689443478409903,-0.10948423284168851,0.09747234280882,京东方A,电子
603501,865,0.00017333162734207283,0.02357846142188263,0.3742964713189911,-0.10598719774020626,0.09609681390614355,韦尔股份,电子
002475,865,0.0007292068243329617,0.028364527031926486,0.45027290749467913,-0.10867135530512773,0.09589970715359719,立讯精密,电子
601318,865,0.000425045162444309,0.018843077306679987,0.2991245789318401,-0.11286153780022445,0.1177527183861482,中国平安,非银金融
600030,865,0.0005465329254173107,0.018873200640469764,0.2996027720310477,-0.09987675730156997,0.10541222062927069,中信证券,非银金融
