stock_1,stock_2,distance_weight,correlation
000858,000568,0.498595328631374,0.8757013491334861
601398,601288,0.5396737618533421,0.8543761153835311
600519,000858,0.5843590524639478,0.8292622489017185
000001,600036,0.6683033705806488,0.776685302435272
000001,601318,0.7604317429924912,0.7108717821247009
000858,600887,0.8401138392478654,0.6471043685521058
601318,600030,0.8760956510603993,0.6162282050965275
000858,601318,0.9169683762297571,0.5795844984972813
600036,601398,0.9691757076847792,0.5303492238168537
603501,002475,1.0051510260024912,0.49483570746306954
002415,603501,1.041000990205782,0.4581584691952907
002415,600030,1.0588194669838582,0.4394506681680092
000725,603501,1.0640994616082788,0.4338461679024857
002460,600030,1.1005132160078201,0.39443533069606235
