stock_1,stock_2,correlation_weight,distance
000858,000568,0.8757013491334861,0.498595328631374
601398,601288,0.8543761153835311,0.5396737618533421
600519,000858,0.8292622489017185,0.5843590524639478
600519,000568,0.7905470194400602,0.6472294501333198
000001,600036,0.776685302435272,0.6683033705806488
000001,601318,0.7108717821247009,0.7604317429924912
000858,600887,0.6471043685521058,0.8401138392478654
600519,600887,0.6470191197426762,0.8402153060464012
600036,601318,0.6469287094658355,0.8403229028583769
601318,600030,0.6162282050965275,0.8760956510603993
000568,600887,0.6148118465356324,0.877710833320824
000858,601318,0.5795844984972813,0.9169683762297571
600519,601318,0.5722052645510013,0.9249807948806275
000568,601318,0.5530088388855992,0.9455063840232925
000001,000858,0.5398930484379859,0.9592778028934206
600036,601398,0.5303492238168537,0.9691757076847792
600887,601318,0.5252841126029394,0.9743878974998208
