code,000001,600036,601398,601288,600519,000858,000568,600887,002460,002415,000725,603501,002475,601318,600030
000001,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
600036,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
601398,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
601288,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
600519,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
000858,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
000568,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
600887,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
002460,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
002415,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
000725,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
603501,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
002475,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
601318,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
600030,865,865,865,865,865,865,865,865,865,865,865,865,865,865,865
