network,n_nodes,n_edges,density,n_components,same_industry_edge_ratio,industry_assortativity
threshold,15,17,0.1619047619047619,6,0.5882352941176471,0.3407202216066482
mst,15,14,0.13333333333333333,1,0.7142857142857143,0.6266666666666667
