network,code,name,industry,degree,degree_centrality,weighted_degree,average_neighbor_corr,betweenness,closeness,component_id,component_size,is_leaf
threshold,000001,平安银行,银行,3,0.21428571428571427,2.027450132997959,0.6758167109993196,0.03296703296703297,0.4600782021932476,1,10,False
threshold,600036,招商银行,银行,3,0.21428571428571427,1.953963235717961,0.6513210785726536,0.15384615384615385,0.455693819637595,1,10,False
threshold,601398,工商银行,银行,2,0.14285714285714285,1.3847253392003847,0.6923626696001923,0.08791208791208792,0.3125461959097885,1,10,False
threshold,601288,农业银行,银行,1,0.07142857142857142,0.8543761153835311,0.8543761153835311,0.0,0.2534377181820435,1,10,False
threshold,600519,贵州茅台,食品饮料,4,0.2857142857142857,2.839033652635456,0.709758413158864,0.0,0.4098856764784317,1,10,False
threshold,000858,五粮液,食品饮料,5,0.3571428571428571,3.4715455135225777,0.6943091027045155,0.02197802197802198,0.4466647549161962,1,10,False
threshold,000568,泸州老窖,食品饮料,4,0.2857142857142857,2.834069053994778,0.7085172634986945,0.0,0.4107996222184957,1,10,False
threshold,600887,伊利股份,食品饮料,4,0.2857142857142857,2.434219447433354,0.6085548618583385,0.0,0.3846912981119888,1,10,False
threshold,002460,赣锋锂业,新能源,0,0.0,0.0,,0.0,0.0,2,1,False
threshold,002415,海康威视,电子,0,0.0,0.0,,0.0,0.0,3,1,False
threshold,000725,京东方A,电子,0,0.0,0.0,,0.0,0.0,4,1,False
threshold,603501,韦尔股份,电子,0,0.0,0.0,,0.0,0.0,5,1,False
threshold,002475,立讯精密,电子,0,0.0,0.0,,0.0,0.0,6,1,False
threshold,601318,中国平安,非银金融,7,0.5,4.204111411223885,0.6005873444605551,0.19780219780219782,0.5564596832539708,1,10,False
threshold,600030,中信证券,非银金融,1,0.07142857142857142,0.6162282050965275,0.6162282050965275,0.0,0.3323952139468319,1,10,False
