regime_type,sample_scope,factor_name,window,regime,alpha_ic,alpha_ic_t,idio_ic,idio_ic_t,mean_capacity_yi,median_capacity_yi,p10_capacity_yi,zero_capacity_share
NETWORK,COMMON_DATE,cross_industry_degree_percentile,60,HIGH,-0.0021743427074035,-0.2514455521814738,-0.0748498265047362,-7.438883697559895,18.5567853520365,16.795300872360762,9.14210569583418,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,60,LOW,0.0064847454449325,0.7843063882627176,-0.0654219108790714,-11.9240371386584,11.950070747328848,9.375616402027632,6.645411364864692,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,60,MEDIUM,0.0280391036474418,2.9836194258219684,-0.0711922581016383,-6.323487241414245,16.59869890848433,13.67382616151199,6.10280966264024,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,120,HIGH,0.0083239291510685,1.2024743191196692,-0.053841576404762,-6.66670055685894,17.853304172784927,16.11932675516985,8.846861773165907,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,120,LOW,0.0106759385726993,0.8027014893823381,-0.0565611474247245,-6.845030514865933,10.30581247235678,9.740704886362934,7.070371086332056,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,120,MEDIUM,0.0150740731493701,1.3075325986102502,-0.0603214540045788,-6.525011526088295,16.767196341151784,13.531464110874516,6.474862046369534,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,252,HIGH,0.0080999696898121,1.2459425595259088,-0.0493371504912113,-7.711447135750575,18.802819928627603,16.15714297634865,8.520111010441992,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,252,LOW,0.0209741563191475,1.3273018804911954,-0.0387565263777428,-2.860332757064471,9.690971637640004,8.69568460396593,6.21689524409565,0.0
NETWORK,COMMON_DATE,cross_industry_degree_percentile,252,MEDIUM,-0.0015312384261252,-0.1346447757236908,-0.0510391970486444,-5.661584850400292,18.83248230120777,13.94353984126882,7.120947588852798,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,60,HIGH,-0.000857436054321,-0.1623443238468757,0.0024346799858429,0.3925235757621118,19.73796832331184,17.067571700080133,9.830732682349057,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,60,LOW,0.0029422480479237,0.5698139326621195,0.014643799502612,1.706335175266463,13.514251174478598,11.481988914372243,7.804336682591701,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,60,MEDIUM,-0.006152958678728,-1.0187425485631096,-0.0018190464360047,-0.2375446024442604,18.455528361153053,14.383031392478614,6.987570906795904,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,120,HIGH,0.0013774344471278,0.2408041406512839,-0.0043255710471302,-0.6483309657541462,17.842563406362107,15.5466413468104,8.522267531636345,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,120,LOW,0.0013298089494415,0.2686454582444705,0.0152191149079122,2.114492507923454,10.957442579213302,11.347302487715965,7.243810082655741,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,120,MEDIUM,0.0015508878416924,0.3059453302401371,-0.0054886275303514,-0.8087687232447258,17.093015731108423,12.683671823177718,7.025856829791339,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,252,HIGH,-0.003894203861078,-0.6997132836808889,-0.0133047828661609,-2.5580513577329693,16.68838437837953,14.188856067905956,7.452595269568594,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,252,LOW,0.0004349029161758,0.0827825031352119,0.0116435124983567,2.5031874173567896,9.25474934962572,8.868690123441187,5.913668129194635,0.0
NETWORK,COMMON_DATE,cross_industry_degree_ratio,252,MEDIUM,0.0060310653980616,1.101550160138887,-0.0122001151083919,-1.5274862941855705,17.125772182171694,11.78172206905082,5.890028614272292,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,HIGH,-0.0006542100577224,-0.1016658003657819,-0.010305982108703,-1.4410360127340165,18.46630946289587,17.31595126046686,9.12869017064432,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,LOW,0.0113401478591698,2.885698181039647,-0.0069071590435836,-1.0563637732685034,11.863774920807082,9.727586917618012,6.868589576798247,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,MEDIUM,0.0063949005137057,1.3636366597126837,-0.0155508806471138,-2.442675993809416,16.77780645952275,13.767221471653777,5.7169101557358974,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,HIGH,-0.0014063672594422,-0.4878868361714592,0.0022038319144106,0.3467840185315051,17.32291089987909,15.345650576567358,8.579470588657298,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,LOW,0.0093872740499645,1.4568449212548906,-0.0023363044583605,-0.3882405256227538,9.677218913052954,9.036454262953372,6.6244381122076295,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,MEDIUM,0.0032500333942336,0.9473059500916852,-0.0039746019543294,-0.7998910903666225,16.200791032816973,12.518905264669671,6.246659178238293,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,HIGH,0.0013623474442121,0.3777557297067719,0.0089314447124577,2.0561303359406917,17.452595040870584,14.676061535771767,7.759017150915668,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,LOW,0.0086381302693248,1.7938578619530887,-0.0016659352216889,-0.3715643581590611,8.569692635195976,7.580912319961137,5.976266314605475,0.0
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,MEDIUM,-0.0064386683785317,-0.9781714164201076,-0.0089191422926763,-1.7974734086413573,17.16180473365031,13.38723199478509,5.833053304412426,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,60,HIGH,-0.0218769279027367,-4.884926484077041,0.012860944214572,1.45821657105341,19.379218127347485,19.569932219846653,9.456091314952246,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,60,LOW,-0.0041108896516004,-0.558679594102381,-0.004596832131247,-0.6673293032751706,11.696459117003272,9.725624647765365,6.604399033518616,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,60,MEDIUM,0.0048365605096452,0.5263483258286158,0.007983071495681,0.8746304074391723,17.07868940423478,14.083012508076976,6.0559281174133,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,120,HIGH,-0.0186197651066842,-2.962237282458569,0.0302822845045183,4.493576795349782,18.965183200134184,17.051395035334707,9.333666160460256,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,120,LOW,-0.0219556940016539,-3.52012083795254,0.0047067161809222,0.6294978695196789,10.246898262011351,9.370146135873489,6.912291775765596,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,120,MEDIUM,0.0053069114033618,0.7574871868318792,0.0309667906106983,3.231580516249599,16.688592106231166,13.352515436428416,6.906727550165959,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,252,HIGH,-0.0180809294336004,-2.7031409828726427,0.0628924428774264,8.41447364508973,19.191938190579453,16.18109483962234,8.788416471444242,0.0
NETWORK,COMMON_DATE,delta_degree_percentile,252,LOW,-0.0107535337755597,-1.9778556359888664,0.0446062444317625,4.3847363481789605,9.655019109590883,8.478441076553484,6.619338672437647,0.0
