analysis_date,window,universe_n,industry_id1_coverage,log_market_value_coverage,momentum_120_20_coverage,reversal_20_coverage,volatility_60_coverage,log_turnover_20_coverage,all_controls_complete_share
2017-02-28,252,2136,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-03-31,60,2663,1.0,1.0,0.9579421704844161,1.0,0.994742771310552,1.0,0.9579421704844161
2017-03-31,120,2490,1.0,1.0,0.9931726907630523,1.0,1.0,1.0,0.9931726907630523
2017-03-31,252,2163,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-04-28,60,2696,1.0,1.0,0.9484421364985163,1.0,0.994807121661721,1.0,0.9484421364985163
2017-04-28,120,2519,1.0,1.0,0.9940452560539896,1.0,1.0,1.0,0.9940452560539896
2017-04-28,252,2189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-05-31,60,2699,1.0,1.0,0.9492404594294183,1.0,0.9970359392367544,1.0,0.9492404594294183
2017-05-31,120,2528,1.0,1.0,0.9920886075949367,1.0,1.0,1.0,0.9920886075949367
2017-05-31,252,2210,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-30,60,2750,1.0,1.0,0.9483636363636364,1.0,0.9956363636363637,1.0,0.9483636363636364
2017-06-30,120,2594,1.0,1.0,0.9880493446414803,1.0,1.0,1.0,0.9880493446414803
2017-06-30,252,2231,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-07-31,60,2783,1.0,1.0,0.9536471433704635,1.0,0.9956881063600431,1.0,0.9536471433704635
2017-07-31,120,2639,1.0,1.0,0.9901477832512315,1.0,1.0,1.0,0.9901477832512315
2017-07-31,252,2271,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-08-31,60,2834,1.0,1.0,0.9544812985179958,1.0,0.997529992942837,1.0,0.9544812985179958
2017-08-31,120,2674,1.0,1.0,0.9906507105459985,1.0,1.0,1.0,0.9906507105459985
2017-08-31,252,2284,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-09-29,60,2897,1.0,1.0,0.9609941318605454,1.0,0.9975837072833966,1.0,0.9609941318605454
2017-09-29,120,2754,1.0,1.0,0.9894698620188817,1.0,1.0,1.0,0.9894698620188817
2017-09-29,252,2344,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-10-31,60,2941,1.0,1.0,0.9632777966678001,1.0,0.995579734784087,1.0,0.9632777966678001
2017-10-31,120,2795,1.0,1.0,0.9917710196779964,1.0,1.0,1.0,0.9917710196779964
2017-10-31,252,2379,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-11-30,60,2959,1.0,1.0,0.9682325109834403,1.0,0.9966204798918553,1.0,0.9682325109834403
2017-11-30,120,2837,1.0,1.0,0.9940077546704265,1.0,1.0,1.0,0.9940077546704265
2017-11-30,252,2433,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-12-29,60,2995,1.0,1.0,0.9662771285475793,1.0,0.9973288814691152,1.0,0.9662771285475793
2017-12-29,120,2851,1.0,1.0,0.9950894423009471,1.0,1.0,1.0,0.9950894423009471
2017-12-29,252,2485,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-01-31,60,3026,1.0,1.0,0.965300727032386,1.0,0.9970257766027759,1.0,0.965300727032386
2018-01-31,120,2901,1.0,1.0,0.9944846604619096,1.0,1.0,1.0,0.9944846604619096
2018-01-31,252,2527,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-02-28,60,2961,1.0,1.0,0.9652144545761567,1.0,0.9983113812901047,1.0,0.9652144545761567
2018-02-28,120,2854,1.0,1.0,0.9947442186405046,1.0,1.0,1.0,0.9947442186405046
2018-02-28,252,2537,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-03-30,60,3008,1.0,1.0,0.9694148936170213,1.0,0.9973404255319149,1.0,0.9694148936170213
2018-03-30,120,2901,1.0,1.0,0.9937952430196484,1.0,1.0,1.0,0.9937952430196484
2018-03-30,252,2566,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-04-27,60,3025,1.0,1.0,0.9752066115702479,1.0,0.9986776859504132,1.0,0.9752066115702479
2018-04-27,120,2942,1.0,1.0,0.9932019034670292,1.0,1.0,1.0,0.9932019034670292
2018-04-27,252,2593,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-05-31,60,3097,1.0,1.0,0.9822408782692928,1.0,1.0,1.0,0.9822408782692928
2018-05-31,120,2966,1.0,1.0,0.9956169925826028,1.0,1.0,1.0,0.9956169925826028
2018-05-31,252,2630,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-06-29,60,3080,1.0,1.0,0.9866883116883117,1.0,0.9993506493506493,1.0,0.9866883116883117
2018-06-29,120,2972,1.0,1.0,0.9962987886944819,1.0,1.0,1.0,0.9962987886944819
2018-06-29,252,2647,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-07-31,60,3166,1.0,1.0,0.9895767530006317,1.0,0.9990524320909665,1.0,0.9895767530006317
2018-07-31,120,3020,1.0,1.0,0.9970198675496689,1.0,1.0,1.0,0.9970198675496689
2018-07-31,252,2695,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-08-31,60,3263,1.0,1.0,0.9917254060680355,1.0,0.998467667790377,1.0,0.9917254060680355
2018-08-31,120,3102,1.0,1.0,0.9993552546744036,1.0,1.0,1.0,0.9993552546744036
2018-08-31,252,2774,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-09-28,60,3334,1.0,1.0,0.991001799640072,1.0,0.9988002399520096,1.0,0.991001799640072
2018-09-28,120,3146,1.0,1.0,0.998410680228862,1.0,1.0,1.0,0.998410680228862
2018-09-28,252,2834,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-10-31,60,3359,1.0,1.0,0.9928550163739208,1.0,0.9997022923489134,1.0,0.9928550163739208
2018-10-31,120,3207,1.0,1.0,0.9981290926099158,1.0,1.0,1.0,0.9981290926099158
2018-10-31,252,2899,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-11-30,60,3374,1.0,1.0,0.9931831653823355,1.0,0.999407231772377,1.0,0.9931831653823355
2018-11-30,120,3273,1.0,1.0,0.9975557592422853,1.0,1.0,1.0,0.9975557592422853
2018-11-30,252,2953,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018-12-28,60,3426,1.0,1.0,0.9929947460595446,1.0,0.9997081144191476,1.0,0.9929947460595446
2018-12-28,120,3343,1.0,1.0,0.9985043374214777,1.0,1.0,1.0,0.9985043374214777
2018-12-28,252,3008,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-31,60,3492,1.0,1.0,0.9934135166093929,1.0,0.9994272623138603,1.0,0.9934135166093929
2019-01-31,120,3389,1.0,1.0,0.9997049277072882,1.0,1.0,1.0,0.9997049277072882
2019-01-31,252,3066,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-02-28,60,3522,1.0,1.0,0.9923339011925043,1.0,0.998580352072686,1.0,0.9923339011925043
2019-02-28,120,3422,1.0,1.0,0.9982466393921683,1.0,1.0,1.0,0.9982466393921683
2019-02-28,252,3099,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-03-29,60,3517,1.0,1.0,0.9945976684674438,1.0,0.9991470002843332,1.0,0.9945976684674438
2019-03-29,120,3470,1.0,1.0,0.999135446685879,1.0,1.0,1.0,0.999135446685879
2019-03-29,252,3161,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-04-30,60,3515,1.0,1.0,0.9914651493598862,1.0,0.9991465149359886,1.0,0.9914651493598862
2019-04-30,120,3516,1.0,1.0,0.9988623435722411,1.0,1.0,1.0,0.9988623435722411
2019-04-30,252,3237,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-05-31,60,3512,1.0,1.0,0.9914578587699316,1.0,0.9997152619589977,1.0,0.9914578587699316
2019-05-31,120,3532,1.0,1.0,0.9991506228765572,1.0,1.0,1.0,0.9991506228765572
2019-05-31,252,3300,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-06-28,60,3528,1.0,1.0,0.9897959183673469,1.0,0.9997165532879818,1.0,0.9897959183673469
2019-06-28,120,3546,1.0,1.0,0.9983079526226735,1.0,1.0,1.0,0.9983079526226735
2019-06-28,252,3356,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-07-31,60,3548,1.0,1.0,0.9912626832018039,1.0,0.9988726042841037,1.0,0.9912626832018039
2019-07-31,120,3561,1.0,1.0,0.998595900028082,1.0,1.0,1.0,0.998595900028082
2019-07-31,252,3401,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-08-30,60,3566,1.0,1.0,0.9901850813236119,1.0,0.9997195737521032,1.0,0.9901850813236119
2019-08-30,120,3570,1.0,1.0,0.9977591036414566,1.0,1.0,1.0,0.9977591036414566
2019-08-30,252,3451,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2019-09-30,60,3588,1.0,1.0,0.9899665551839465,1.0,0.9994425863991081,1.0,0.9899665551839465
2019-09-30,120,3580,1.0,1.0,0.9983240223463687,1.0,1.0,1.0,0.9983240223463687
2019-09-30,252,3482,1.0,1.0,1.0,1.0,1.0,1.0,1.0
