factor_order,factor_name,method,window,target_name,month_count,mean_value,median_value,std_value,positive_share,negative_share,hac_lag,hac_se,hac_t_stat,mean_q5_minus_q1_bps
1,residual_degree_percentile,RAW_COMMON,60,future_excess_return,130,-0.0017212753367902114,0.0005493801320240455,0.03295932952786032,0.5153846153846153,0.4846153846153846,4,0.002728185985348227,-0.6309230184578148,-17.212753367902113
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.0020296241615487807,0.0009743182510010403,0.02029618527959631,0.5112781954887218,0.48872180451127817,4,0.0017499626565169873,1.1598099845104202,20.29624161548781
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.001328340768441726,0.002061163267718536,0.015790183337109968,0.5413533834586466,0.45864661654135336,4,0.0014734227711803937,0.901534029759538,13.28340768441726
2,delta_degree_percentile,RAW_COMMON,60,future_excess_return,133,-0.012031748526010024,-0.009934635051907049,0.02671147236777515,0.3157894736842105,0.6842105263157895,4,0.0024359526850267314,-4.939237366951564,-120.31748526010024
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,-0.007637774955258343,-0.008765182874368583,0.01352584301459398,0.2556390977443609,0.7443609022556391,4,0.001013811161488093,-7.533725456373412,-76.37774955258342
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,-0.0027890572519617177,-0.0013312825313453857,0.012574210593954162,0.42105263157894735,0.5789473684210527,4,0.0010159698947885037,-2.7452164343337366,-27.890572519617177
3,cross_industry_degree_percentile,RAW_COMMON,60,future_excess_return,130,-0.0010081581997294458,1.662978413016769e-05,0.032183203882857676,0.5,0.5,4,0.0026816436300618756,-0.3759478658639604,-10.081581997294457
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.0017386025207457064,0.000505747636713517,0.018021527544914304,0.5037593984962406,0.49624060150375937,4,0.0016079859996088427,1.081229887056627,17.386025207457063
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.0010967752939483612,0.0023926121149535316,0.013921693778095694,0.5413533834586466,0.45864661654135336,4,0.001288965300210763,0.8508959036903662,10.967752939483612
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,-0.0006233341434221616,-0.0009647089504070325,0.014563435564196014,0.47368421052631576,0.5263157894736842,4,0.000999693876320952,-0.623525019195016,-6.233341434221616
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,-0.001105738685839021,-0.00038360975798620855,0.01344695480971164,0.48120300751879697,0.518796992481203,4,0.0009395577437887171,-1.1768714516472272,-11.05738685839021
5,delta_residual_degree_percentile_1m,RAW_COMMON,60,future_excess_return,133,0.0022803004850445235,0.0026264543626972475,0.015340853303089182,0.5413533834586466,0.45864661654135336,4,0.001385595907146948,1.6457182597629372,22.803004850445234
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.0019335537852414241,0.0016789154924876015,0.011024759421716185,0.5864661654135338,0.41353383458646614,4,0.0010181211817501814,1.899139139721645,19.33553785241424
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.001178352224410964,0.000820594951106974,0.009486310023145117,0.5413533834586466,0.45864661654135336,4,0.0008552505155967672,1.3777860438806593,11.783522244109639
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,future_excess_return,133,0.0020081152320354802,0.0021395215687060026,0.01371826489205538,0.5789473684210527,0.42105263157894735,4,0.0011851756351935574,1.6943608798602448,20.081152320354803
