analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,spread_status,q1_return,q2_return,q3_return,q4_return,q5_return,q5_minus_q1,q5_minus_q1_bps,portfolio_spearman
2015-05-29,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-05-29,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-05-29,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-05-29,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-05-29,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,1,residual_degree_percentile,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,2,delta_degree_percentile,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-06-30,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,INSUFFICIENT_SORT_OBS,,,,,,,,
2015-07-31,60,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1458,PASS,0.005060745459762469,0.003283300207723567,0.01915797095709284,-0.007773487275125285,0.00779080442992502,0.0027300589701625515,27.300589701625515,0.09999999999999999
2015-07-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,PASS,0.009989190935091432,-0.008210429868054937,0.012769092492679325,0.009792017062786191,0.002150554872924437,-0.007838636062166995,-78.38636062166995,-0.19999999999999998
2015-07-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,PASS,0.009294313720678318,-0.00526164279545212,0.013079342365185412,0.008388207446089894,0.0009954957776095634,-0.008298817943068755,-82.98817943068755,-0.19999999999999998
2015-07-31,60,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1458,PASS,0.040183930680003595,0.01405249035527005,0.00467077119857315,-0.019895304161581803,-0.013341298368436623,-0.05352522904844022,-535.2522904844021,-0.8999999999999998
2015-07-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,PASS,0.030709454674259434,0.007483302166716748,0.012703721461083374,-0.015170146700010415,-0.009267647311170715,-0.03997710198543015,-399.77101985430147,-0.7999999999999999
2015-07-31,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,PASS,0.014540684732742908,0.015054708304751132,0.0074571986821944025,0.0001407396108100353,-0.010656283024384256,-0.025196967757127164,-251.96967757127163,-0.8999999999999998
2015-07-31,60,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,1458,PASS,0.005410283096742954,0.0038092392994783387,0.01585901264974112,-0.002967156404359135,0.006279530799673454,0.0008692477029305003,8.692477029305003,0.09999999999999999
2015-07-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,PASS,0.008539982565828507,-0.008255071019891558,0.013864428089533457,0.009139859256475763,0.0031988403056784137,-0.005341142260150093,-53.41142260150093,0.09999999999999999
