analysis_date,window,factor_order,factor_name,method,target_name,common_sample_n,pair_n,alpha_rank_ic,ic_status
2015-05-29,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-05-29,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,1,residual_degree_percentile,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,2,delta_degree_percentile,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-06-30,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,0,0,,INSUFFICIENT_OBS
2015-07-31,60,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1458,1458,0.021418354860915676,PASS
2015-07-31,60,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,1458,0.04598919098495614,PASS
2015-07-31,60,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,1458,0.008370800356197399,PASS
2015-07-31,60,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1458,1458,-0.14630851330434722,PASS
2015-07-31,60,2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,1458,-0.1268712436933624,PASS
2015-07-31,60,2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,1458,-0.08915802952503384,PASS
2015-07-31,60,3,cross_industry_degree_percentile,RAW_COMMON,future_excess_return,1458,1458,0.028045628223208895,PASS
2015-07-31,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,1458,0.04506801228352786,PASS
2015-07-31,60,3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,1458,0.0077062966196127175,PASS
2015-07-31,60,4,cross_industry_degree_ratio,RAW_COMMON,future_excess_return,1276,1276,0.009104422902085463,PASS
2015-07-31,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,future_excess_return,1276,1276,-0.002914907571153121,PASS
2015-07-31,60,4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1276,1276,-0.0004867059910163931,PASS
2015-07-31,60,5,delta_residual_degree_percentile_1m,RAW_COMMON,future_excess_return,1364,1364,0.018732595466342563,PASS
2015-07-31,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1364,1364,0.015374598375204078,PASS
2015-07-31,60,5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1364,1364,0.007057418191653827,PASS
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,future_excess_return,1364,1364,0.021305313043489555,PASS
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1364,1364,0.025675381320921075,PASS
2015-07-31,60,6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1364,1364,0.020270686808385344,PASS
2015-07-31,60,7,neighbor_jaccard_1m,RAW_COMMON,future_excess_return,1353,1353,0.05320266287795682,PASS
2015-07-31,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1353,1353,0.08307464667382093,PASS
2015-07-31,60,7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1353,1353,0.03986940499393694,PASS
2015-07-31,60,8,neighbor_retention_1m,RAW_COMMON,future_excess_return,1334,1334,0.055709933096466935,PASS
2015-07-31,60,8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,future_excess_return,1334,1334,0.08546310956990177,PASS
2015-07-31,60,8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1334,1334,0.03928092098313232,PASS
2015-07-31,60,9,outside_community_degree_percentile,RAW_COMMON,future_excess_return,1458,1458,0.027890003722937512,PASS
2015-07-31,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1458,1458,0.050929880802213334,PASS
2015-07-31,60,9,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1458,1458,-0.0036837255655143967,PASS
2015-07-31,120,1,residual_degree_percentile,RAW_COMMON,future_excess_return,1522,1522,0.07497658182948633,PASS
2015-07-31,120,1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,future_excess_return,1522,1522,0.08537824263294434,PASS
2015-07-31,120,1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,future_excess_return,1522,1522,0.052992434136473796,PASS
2015-07-31,120,2,delta_degree_percentile,RAW_COMMON,future_excess_return,1522,1522,-0.11817121945410632,PASS
