factor_order,factor_name,method,window,target_name,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_share,negative_share,hac_lag,hac_se,hac_t_stat
1,residual_degree_percentile,RAW_COMMON,60,future_excess_return,133,0.0025183334854784935,0.011143060231801913,0.10132928319074222,0.5263157894736842,0.47368421052631576,4,0.007994874073179623,0.3149935148980943
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.011823536063747855,0.008424399215257727,0.06789381272775329,0.5714285714285714,0.42857142857142855,4,0.006503874296453668,1.8179219838542713
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.005875741541460843,0.0032084126501096396,0.05414264597765921,0.5338345864661654,0.46616541353383456,4,0.005245189411820273,1.120215321151147
2,delta_degree_percentile,RAW_COMMON,60,future_excess_return,133,-0.04975584960809376,-0.04832099386594754,0.09753743021128858,0.3233082706766917,0.6766917293233082,4,0.008186953277622675,-6.077456157480582
2,delta_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,-0.03886821070272217,-0.04099811490816386,0.041626850642051,0.19548872180451127,0.8045112781954887,4,0.0033773523766314727,-11.508485454955347
2,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,-0.007488967799366835,-0.010248111971019415,0.04470962438590386,0.42105263157894735,0.5789473684210527,4,0.00372921061293794,-2.008191163401975
3,cross_industry_degree_percentile,RAW_COMMON,60,future_excess_return,133,0.007091878234128986,0.01007583787074563,0.10011971539958577,0.5413533834586466,0.45864661654135336,4,0.008489485301230946,0.8353719904669237
3,cross_industry_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.011664576396810258,0.009949325909955831,0.0628431307154111,0.5864661654135338,0.41353383458646614,4,0.006207959709421686,1.878971021526957
3,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.006155540982639683,0.005615870941015237,0.04913465159586457,0.556390977443609,0.44360902255639095,4,0.004846139729342116,1.2701946964858406
4,cross_industry_degree_ratio,RAW_COMMON,60,future_excess_return,133,0.009016826659819357,0.009839150062553932,0.07216611368465728,0.5488721804511278,0.45112781954887216,4,0.005922500513073827,1.5224695447328125
4,cross_industry_degree_ratio,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,-0.0006105528070513173,-0.0014505255847047632,0.03730965270927649,0.49624060150375937,0.5037593984962406,4,0.0028164333501582844,-0.21678226719514027
4,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,-0.0019700066894730362,-0.0004867059910163931,0.03536379913759538,0.49624060150375937,0.5037593984962406,4,0.002632840471724075,-0.748243849420549
5,delta_residual_degree_percentile_1m,RAW_COMMON,60,future_excess_return,133,0.009521708582076814,0.007754741804985488,0.05197863880066461,0.5488721804511278,0.45112781954887216,4,0.004843511174269051,1.9658690234184841
5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.008050223658135605,0.00752726518756846,0.035141587702193625,0.5714285714285714,0.42857142857142855,4,0.0035576939011799282,2.262764555282765
5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.0028542703957086923,0.0025763681356112803,0.029449238773775564,0.5413533834586466,0.45864661654135336,4,0.0028617202372024806,0.997396726138027
6,delta_cross_industry_degree_percentile_1m,RAW_COMMON,60,future_excess_return,133,0.011134463896586129,0.011902396380388145,0.0490677743513959,0.5939849624060151,0.40601503759398494,4,0.004667943470714941,2.385303928044522
6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.008517640112082898,0.00656770931676144,0.033493743535988885,0.6015037593984962,0.39849624060150374,4,0.0034391294327930067,2.476684951390591
6,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.0036859789468535005,0.004010544242215424,0.02777347639000823,0.5789473684210527,0.42105263157894735,4,0.0026780635614667724,1.3763597697564331
7,neighbor_jaccard_1m,RAW_COMMON,60,future_excess_return,133,-0.0013806063038267254,0.0001616656166103991,0.07896669997885711,0.5037593984962406,0.49624060150375937,4,0.006453563857066304,-0.21392928533821448
7,neighbor_jaccard_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.009006202124884337,0.008002536088086957,0.048777505305821006,0.5939849624060151,0.40601503759398494,4,0.004381416275761164,2.055545868743031
7,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.00842356703949706,0.010909697652020153,0.04395611394938778,0.5714285714285714,0.42857142857142855,4,0.004103462196983134,2.052795087448367
8,neighbor_retention_1m,RAW_COMMON,60,future_excess_return,133,0.003398205351538588,0.0026662997611920356,0.07750054147109843,0.518796992481203,0.48120300751879697,4,0.005369331625422728,0.6328916871978543
8,neighbor_retention_1m,INDUSTRY_SIZE_COMMON,60,future_excess_return,133,0.012029418486518261,0.008443217677918193,0.049522939266397246,0.6165413533834586,0.38345864661654133,4,0.004296201515991673,2.8000126255114837
8,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,future_excess_return,133,0.00855878846488546,0.010718573169910822,0.042604213795826476,0.6165413533834586,0.38345864661654133,4,0.004034301963024438,2.1215041767644736
9,outside_community_degree_percentile,RAW_COMMON,60,future_excess_return,133,0.012077360943256177,0.010494714972983935,0.1172430920207502,0.5338345864661654,0.46616541353383456,4,0.00882184659644501,1.3690286734438413
