industry_level,window,month_count,corr_gap_raw_mean_corr,corr_gap_pc1_evr,corr_gap_ew_median_r2,corr_top1_enrichment_pc1_evr,corr_top1_enrichment_ew_median_r2,corr_top5_enrichment_pc1_evr
industry_id1,60,138,-0.5246454698087095,-0.5212508672566541,-0.5278730741479343,-0.5788483976189023,-0.5798644771600927,-0.5627063369495995
industry_id1,120,135,-0.5567146571687525,-0.5557896050397733,-0.560610019874032,-0.6254332326850446,-0.6245106733961494,-0.6229909739571545
industry_id1,252,129,-0.5838031189744556,-0.5823649788051298,-0.5848042706857579,-0.6696055018155374,-0.664621652002313,-0.6650249062868295
industry_id2,60,138,-0.5528098243614118,-0.5479803217341841,-0.5531725885754796,-0.6073447240015005,-0.6064365728505007,-0.5949488036356676
industry_id2,120,135,-0.5799847397146649,-0.5787053961012583,-0.5826724873245146,-0.6092550309763727,-0.6053099993796837,-0.5919404497710004
industry_id2,252,129,-0.6189793035429458,-0.6170920415386716,-0.6186739157214168,-0.6650257502014286,-0.6567134845773224,-0.6627295248628564
