year,window,industry_level,analysis_month_count,exact_same_pair_share,same_mean_corr,cross_mean_corr,same_cross_gap,same_mean_abs_corr,cross_mean_abs_corr,top5_same_enrichment,top1_same_enrichment,top1_abs_same_enrichment,max_daily_industry_change_count
2015,60,industry_id1,9,0.04905255186083041,0.5787548273987961,0.5431355598824799,0.03561926751631646,0.5795257457398456,0.5445232964216999,1.8539298321573416,2.6192496309849393,2.6192496309849393,59
2015,60,industry_id2,9,0.019118675624094358,0.5871287685228403,0.544092210799851,0.043036557722989255,0.5877563317861259,0.5454635942472486,2.226860329447884,3.5001724736651987,3.5001724736651987,63
2015,120,industry_id1,6,0.04906408780465129,0.6563217430003876,0.6242199505172721,0.032101792483115565,0.6563217430003876,0.6242693613127134,1.8102490470924513,2.214842583770577,2.214842583770577,59
2015,120,industry_id2,6,0.019416103397264937,0.6631176624928362,0.6250685464939539,0.038049115998882166,0.6631176624928362,0.62511641791071,2.371390559881357,3.7075179885923237,3.7075179885923237,63
2016,60,industry_id1,12,0.04956442461835454,0.4872724662003672,0.4601852710541481,0.0270871951462191,0.4891357276599048,0.4625958167637556,1.7004911189521537,2.612736651720507,2.612736651720507,84
2016,60,industry_id2,12,0.018797266987083783,0.49579119773857944,0.46087963251517344,0.03491156522340602,0.49758289663421484,0.46327425074786427,2.053068209418795,3.6317008754936015,3.6317008754936015,107
2016,120,industry_id1,12,0.04948590327663091,0.5373621542899608,0.509481261573372,0.027880892716588803,0.5375521132850464,0.5097697724016356,1.817655172445349,2.644282992346303,2.644282992346303,84
2016,120,industry_id2,12,0.018837430217269732,0.5465029184366493,0.5101804863004062,0.03632243213624306,0.5466608688206916,0.5104665537882764,2.3684511023043093,3.996854237430835,3.996854237430835,107
2016,252,industry_id1,12,0.04927418113832501,0.6253929796534684,0.5920877266610421,0.03330525299242627,0.6253929796534684,0.5920889939085441,1.9899543089844327,3.1934829025885763,3.1934829025885763,84
2016,252,industry_id2,12,0.018932683772652635,0.6312308385242645,0.5930269201759439,0.038203918348320626,0.6312308385242645,0.5930281481407423,2.5005577845932483,4.810600393358382,4.810600393358382,107
