window,density_fraction,density_percent,network_id,date_t,date_t1,common_node_count,common_edge_jaccard,forward_edge_retention
60,0.002,0.2,B0_RAW_POSITIVE,2015-04-30,2015-05-29,1819,0.2039543997149982,0.3488726386349787
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-04-30,2015-05-29,1819,0.3305455236647025,0.49124293785310735
60,0.002,0.2,B0_RAW_POSITIVE,2015-05-29,2015-06-30,1663,0.2108345534407028,0.35318850735809393
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-05-29,2015-06-30,1663,0.3306854289605084,0.4895833333333333
60,0.002,0.2,B0_RAW_POSITIVE,2015-06-30,2015-07-31,1423,0.15209701869631126,0.24896608767576509
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-06-30,2015-07-31,1423,0.2624384909786769,0.350109409190372
60,0.002,0.2,B0_RAW_POSITIVE,2015-07-31,2015-08-31,1455,0.16470588235294117,0.2975909305621162
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-07-31,2015-08-31,1455,0.368160741885626,0.5440840566468708
60,0.002,0.2,B0_RAW_POSITIVE,2015-08-31,2015-09-30,1570,0.17863677950594695,0.31981981981981983
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-08-31,2015-09-30,1570,0.2936212459667411,0.47875354107648727
60,0.002,0.2,B0_RAW_POSITIVE,2015-09-30,2015-10-30,1680,0.1693034723649065,0.3180239289849479
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-09-30,2015-10-30,1680,0.37958916083916083,0.6126984126984127
60,0.002,0.2,B0_RAW_POSITIVE,2015-10-30,2015-11-30,1888,0.12607493857493857,0.23852411388727485
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-10-30,2015-11-30,1888,0.266202552627217,0.4380796508456083
60,0.002,0.2,B0_RAW_POSITIVE,2015-11-30,2015-12-31,1955,0.11450905101481075,0.21470815119568012
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-11-30,2015-12-31,1955,0.2700435052827843,0.4340659340659341
60,0.002,0.2,B0_RAW_POSITIVE,2015-12-31,2016-01-29,2037,0.18656914893617021,0.323943661971831
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2015-12-31,2016-01-29,2037,0.36219624730852046,0.5481843575418994
60,0.002,0.2,B0_RAW_POSITIVE,2016-01-29,2016-02-29,2128,0.240320252001575,0.39132293225048087
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-01-29,2016-02-29,2128,0.37456242707117854,0.5635286372613562
60,0.002,0.2,B0_RAW_POSITIVE,2016-02-29,2016-03-31,2127,0.15970961887477314,0.29470864032150035
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-02-29,2016-03-31,2127,0.32855133614627285,0.4964930924548353
60,0.002,0.2,B0_RAW_POSITIVE,2016-03-31,2016-04-29,2148,0.15328915071183113,0.2726478934730408
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-03-31,2016-04-29,2148,0.3003371544167229,0.45588536335721597
60,0.002,0.2,B0_RAW_POSITIVE,2016-04-29,2016-05-31,2152,0.17718268525311812,0.3058252427184466
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-04-29,2016-05-31,2152,0.2719155844155844,0.4244984160506864
60,0.002,0.2,B0_RAW_POSITIVE,2016-05-31,2016-06-30,2183,0.16295166588456123,0.286509900990099
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-05-31,2016-06-30,2183,0.2732488325550367,0.4423326133909287
60,0.002,0.2,B0_RAW_POSITIVE,2016-06-30,2016-07-29,2209,0.1432519576232151,0.24339659557816473
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-06-30,2016-07-29,2209,0.22473158089596446,0.37186032264651825
60,0.002,0.2,B0_RAW_POSITIVE,2016-07-29,2016-08-31,2270,0.17835604199240562,0.303727653100038
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-07-29,2016-08-31,2270,0.29112823061630216,0.45101058710298364
60,0.002,0.2,B0_RAW_POSITIVE,2016-08-31,2016-09-30,2314,0.16358555460017196,0.28332092330603126
60,0.002,0.2,M1_RESIDUAL_POSITIVE,2016-08-31,2016-09-30,2314,0.32053442465093884,0.48621508124885887
60,0.002,0.2,B0_RAW_POSITIVE,2016-09-30,2016-10-31,2359,0.1686310063463282,0.2938388625592417
