window,density_fraction,network_id,giant_component_share_mean,giant_component_share_median,isolated_node_share_mean,isolated_node_share_median,degree_gini_mean,degree_gini_median,strength_gini_mean,strength_gini_median,top1pct_degree_share_mean,top1pct_degree_share_median,top5pct_degree_share_mean,top5pct_degree_share_median,top1pct_strength_share_mean,top1pct_strength_share_median,top5pct_strength_share_mean,top5pct_strength_share_median,same_industry_edge_share_mean,same_industry_edge_share_median,industry_enrichment_mean,industry_enrichment_median
60,0.002,B0_RAW_POSITIVE,0.3865826774937603,0.3709322879224877,0.5684068450253792,0.5799421572044026,0.8611112921807318,0.8684775542950349,0.8619215414242652,0.8692122076690095,0.20094848608503998,0.20732967805003005,0.5783814742316503,0.5820086175960704,0.20249385784573537,0.20873297748512462,0.580072524466046,0.5826295871770003,0.2638795784659161,0.24152435914693882,5.070567970122366,4.6958174840733165
60,0.002,M1_RESIDUAL_POSITIVE,0.6487000153143391,0.6821301073587659,0.3035849966830448,0.2765251832820439,0.7276364340871517,0.7160257783696754,0.7355667896757959,0.7244728897835949,0.11559936323623404,0.10791035028599147,0.38158682136922606,0.3553349656913752,0.12043993528311292,0.11412798853389557,0.39250138086724506,0.36563668141706596,0.4088097472067354,0.394012866284345,7.869727035795469,7.610707338314249
60,0.005,B0_RAW_POSITIVE,0.5495174624682826,0.5244756343582413,0.4188108602231357,0.43543098872567515,0.8213476226299251,0.8295588706139384,0.8225672534599684,0.8306532915609292,0.14974646846695336,0.1531429383325854,0.48804812522377683,0.49161004144934073,0.15158455893426317,0.15553839184553955,0.4908802212683764,0.4941100763437686,0.2102833387269647,0.19382918196238674,4.03374119006316,3.7761370828482717
60,0.005,M1_RESIDUAL_POSITIVE,0.903576832113205,0.9365409844969311,0.08652496365096427,0.05957395989069322,0.6099582763841014,0.6023798626087111,0.6222503318277076,0.6114990210571587,0.07933197046032,0.07502712165847203,0.28464935768572763,0.27017672183813674,0.0838065681807188,0.07917170797733192,0.29605591836964124,0.27978953028585807,0.3115371764275425,0.2973187407845557,5.98421105624722,5.602309613848384
60,0.01,B0_RAW_POSITIVE,0.6735938292795923,0.6600934490626799,0.3049115069826278,0.31775072310014674,0.7838841594498992,0.7929103003372915,0.7857255648328694,0.793944014812893,0.11634375197771626,0.12022596927149468,0.41236532697447326,0.4203489640189958,0.11842870508572477,0.12160936834714144,0.4164015227343267,0.4225751378251221,0.17790477674766636,0.16336721173718044,3.41023934928197,3.17336815555789
60,0.01,M1_RESIDUAL_POSITIVE,0.9780732770860989,0.9957387687610987,0.020224653870594623,0.00426123123890131,0.5140863761424542,0.5104206761942546,0.5298714565773275,0.5228376458716347,0.05911954996314261,0.05698721514527012,0.22415180871693532,0.21385834309327884,0.0632865415738278,0.060870362131757415,0.2357614454740386,0.22437300065378288,0.25195217434202805,0.23804800919860913,4.83389909066508,4.471254407404536
60,0.02,B0_RAW_POSITIVE,0.7872223427362857,0.7823640460470067,0.19999166370946053,0.20399705758401038,0.7365936148619276,0.7490590402603297,0.7395530007819537,0.7513650489764478,0.08824305599545325,0.0904452082533862,0.3365214543016721,0.3448385210713531,0.09052222941095536,0.092645397989536,0.3418713798795084,0.35001974982705397,0.1507455122626876,0.1401633485338869,2.8890054809619112,2.7216469779664463
60,0.02,M1_RESIDUAL_POSITIVE,0.9955425539326982,1.0,0.004106714509184987,0.0,0.4168708465003315,0.41070152379634883,0.4363692275436343,0.4298335905704119,0.043682760306764046,0.04174538757711145,0.17445378418395602,0.16898379726317203,0.04758101267445442,0.04643230525616479,0.18611252741807668,0.17973942124864206,0.20275064033716172,0.19444112803441888,3.887316126270341,3.5985407534679053
120,0.002,B0_RAW_POSITIVE,0.3760482007490086,0.33952347582340575,0.5816190805487341,0.6141640866873065,0.8662618656948786,0.8739732669532885,0.8670865513914146,0.8743390455132933,0.21458758574206788,0.2256283015847607,0.590327993925442,0.6041128599970762,0.21616647623070284,0.2285972127435006,0.5919642612357897,0.6054194019115654,0.3141506429986297,0.2899992684175872,6.068548141303855,5.564324900582424
120,0.002,M1_RESIDUAL_POSITIVE,0.5454538503293332,0.5701594533029612,0.4007825185053988,0.38880248833592534,0.7742760257874619,0.7652432044341375,0.7821690494810667,0.7745747546600086,0.12656537275319305,0.11854714064914992,0.4177288702148322,0.3975879193270498,0.13243614217706678,0.12305560937804946,0.4312136746174016,0.4141314226505118,0.4857891182342143,0.48006628326347595,9.391334792229843,9.186290296905547
