analysis_date,window,density_fraction,giant_component_share_raw,isolated_node_share_raw,degree_gini_raw,strength_gini_raw,top1pct_degree_share_raw,top1pct_strength_share_raw,same_industry_edge_share_raw,industry_enrichment_raw,giant_component_share_residual,isolated_node_share_residual,degree_gini_residual,strength_gini_residual,top1pct_degree_share_residual,top1pct_strength_share_residual,same_industry_edge_share_residual,industry_enrichment_residual,giant_component_share_residual_minus_raw,isolated_node_share_residual_minus_raw,degree_gini_residual_minus_raw,strength_gini_residual_minus_raw,top1pct_degree_share_residual_minus_raw,top1pct_strength_share_residual_minus_raw,same_industry_edge_share_residual_minus_raw,industry_enrichment_residual_minus_raw
2023-03-31,252,0.01,0.7652753872633391,0.22827022375215147,0.7430301531012298,0.7451998197020264,0.1260304933400026,0.12869535398969634,0.350376998462365,6.790415434662125,0.8939328743545611,0.10004302925989673,0.6158487552005545,0.6316035142979863,0.0694899868467367,0.07594010815907136,0.5028714870597825,9.74580615270904,0.12865748709122204,-0.12822719449225473,-0.12718139790067529,-0.11359630540404009,-0.056540506493265905,-0.05275524583062498,0.1524944885974175,2.9553907180469148
2023-04-28,252,0.01,0.7697579781537802,0.22317412722210322,0.7380895611867142,0.7403764494207141,0.1222715840875296,0.12479994409181226,0.35826005544030987,6.934732441939169,0.8856286142642964,0.10965945598629256,0.6149856419168278,0.6294021882980381,0.06317349879756944,0.06845998962076805,0.5229471481284306,10.12253110129385,0.11587063611051618,-0.11351467123581066,-0.1231039192698864,-0.11097426112267605,-0.05909808528996016,-0.056339954471044215,0.1646870926881207,3.187798659354681
2023-05-31,252,0.01,0.8095136518771331,0.18323378839590443,0.6924072700295585,0.6953946670795896,0.10425374969264814,0.10620802707552457,0.41516633427132565,8.0263040251774,0.8683873720136519,0.12393344709897611,0.6299881310355926,0.6437267245116403,0.06606471236419602,0.07130668712872545,0.531295249023304,10.271394484039455,0.058873720136518815,-0.05930034129692832,-0.062419138993965895,-0.051667942567949376,-0.03818903732845212,-0.034901339946799115,0.1161289147519784,2.2450904588620553
2023-06-30,252,0.01,0.8181236673773987,0.17526652452025587,0.6849256702639783,0.6878511840508714,0.09545098966671518,0.09712667404958328,0.4192803085431524,8.078435957806995,0.8658848614072495,0.12771855010660982,0.6326867246506513,0.6456338765554197,0.06727095764808616,0.07229966732386447,0.5330646921845438,10.270763709709795,0.047761194029850795,-0.047547974413646055,-0.05223894561332698,-0.04221730749545172,-0.028180032018629023,-0.024827006725718803,0.11378438364139137,2.1923277519028
2023-07-31,252,0.01,0.8207027942421676,0.17315834038950043,0.6754262915989786,0.6784922338146582,0.09397977117033104,0.09515985551863661,0.43388866970338225,8.301695903565511,0.8708721422523286,0.12171888230313294,0.6321465994599462,0.6459615421386271,0.06855923388687636,0.0736744151066963,0.5334188156809296,10.20603004003407,0.05016934801016093,-0.05143945808636749,-0.04327969213903238,-0.032530691676031065,-0.025420537283454683,-0.02148544041194031,0.09953014597754739,1.9043341364685595
2023-08-31,252,0.01,0.8105329416701637,0.18128409567771717,0.6878922278789152,0.6901811218300926,0.1010041841004184,0.10266414981672983,0.43753358291125305,8.333548821694672,0.872849349559379,0.11917750734368443,0.6294460902359933,0.6430190505794875,0.06702928870292887,0.07208839311693797,0.5377053512442194,10.241485388309231,0.06231640788921533,-0.062106588334032736,-0.05844613764292195,-0.04716207125060512,-0.03397489539748953,-0.03057575669979186,0.10017176833296632,1.9079365666145591
2023-09-28,252,0.01,0.8298271193501354,0.16579879191835034,0.6690854246332767,0.6717899163992747,0.09365750345031118,0.09476120341059682,0.4633919813900197,8.79768866940356,0.8818996042491147,0.11226827744219954,0.6226187011337898,0.6358814315276107,0.06531721162776567,0.06976873601738623,0.5598357738679073,10.628714009487904,0.05207248489897931,-0.0535305144761508,-0.046466723499486884,-0.03590848487166398,-0.028340291822545507,-0.024992467393210593,0.09644379247788759,1.831025340084345
2023-10-31,252,0.01,0.8393782383419689,0.15067357512953367,0.6578913817117207,0.6610084942057779,0.08536365277025808,0.0863005727705005,0.4685848351251708,8.870151876649132,0.8936787564766839,0.10259067357512953,0.614307767327452,0.6282867502220644,0.06335456037675853,0.06775703935851111,0.5629635358926101,10.656708647109669,0.05430051813471504,-0.04808290155440413,-0.04358361438426872,-0.032721743983713525,-0.022009092393499546,-0.018543533411989388,0.09437870076743926,1.7865567704605372
2023-11-30,252,0.01,0.8441370767960363,0.14822460776218002,0.6531972146878804,0.6562614134958786,0.07995839230598707,0.08071150083675702,0.4841328035741691,9.149916903929538,0.8996696944673823,0.09516928158546656,0.6114180750202138,0.626213720383402,0.0633408932012346,0.06789815331186659,0.5629145848609383,10.638861150210209,0.055532617671345985,-0.05305532617671346,-0.041779139667666554,-0.03004769311247668,-0.01661749910475248,-0.012813347524890425,0.07878178128676916,1.4889442462806706
2023-12-29,252,0.01,0.8407735033943633,0.152232051018309,0.668072068233245,0.6708125337307911,0.08509431406414034,0.08601918329886199,0.47201056588438484,8.881845049156976,0.9158609339642049,0.0810532812178564,0.5897756297563721,0.604559972564378,0.05436604693690948,0.0576675110626948,0.5783297775068577,10.882458661714612,0.07508743056984157,-0.0711787698004526,-0.07829643847687295,-0.0662525611664131,-0.030728267127230854,-0.02835167223616719,0.10631921162247282,2.000613612557636
