analysis_date,window,factor_name,method,portfolio_leg,canonical_status,canonical_turnover,delist_cash_carry_n,pre_audit_status,pre_audit_turnover,status_transition,turnover_difference
2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-07-31,120,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,,0,NO_PREVIOUS_FORMATION,,NO_PREVIOUS_FORMATION -> NO_PREVIOUS_FORMATION,
2015-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.6199809016588815,0,PASS,0.6199809016588815,PASS -> PASS,0.0
2015-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.4241363154958461,0,PASS,0.4241363154958461,PASS -> PASS,0.0
2015-08-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.59079708859357,0,PASS,0.59079708859357,PASS -> PASS,0.0
2015-08-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.5989158222974613,0,PASS,0.5989158222974613,PASS -> PASS,0.0
2015-08-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.8504800078231296,0,PASS,0.8504800078231296,PASS -> PASS,0.0
2015-08-31,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.8549081000099833,0,PASS,0.8549081000099833,PASS -> PASS,0.0
2015-08-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.49014094017148613,0,PASS,0.4901409401714861,PASS -> PASS,5.551115123125783e-17
2015-08-31,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.4832516838975182,0,PASS,0.4832516838975182,PASS -> PASS,0.0
2015-08-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.844360029314729,0,PASS,0.844360029314729,PASS -> PASS,0.0
2015-08-31,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.8368520072800322,0,PASS,0.8368520072800322,PASS -> PASS,0.0
2015-08-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,PASS,0.7129150404289462,0,PASS,0.7129150404289462,PASS -> PASS,0.0
2015-08-31,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,PASS,0.6963633182205983,0,PASS,0.6963633182205983,PASS -> PASS,0.0
